Date,GACDISA066MSFRBNY
2001-07-01,-13.30
2001-08-01,-8.00
2001-09-01,-12.50
2001-10-01,-14.70
2001-11-01,-21.50
2001-12-01,-9.80
2002-01-01,1.40
2002-02-01,13.30
2002-03-01,13.70
2002-04-01,20.20
2002-05-01,12.90
2002-06-01,8.90
2002-07-01,-1.90
2002-08-01,8.30
2002-09-01,6.40
2002-10-01,-3.80
2002-11-01,4.00
2002-12-01,2.40
2003-01-01,8.10
2003-02-01,-3.50
2003-03-01,6.30
2003-04-01,-14.50
2003-05-01,15.70
2003-06-01,25.10
2003-07-01,19.30
2003-08-01,15.60
2003-09-01,20.40
2003-10-01,36.80
2003-11-01,34.00
2003-12-01,27.40
2004-01-01,32.50
2004-02-01,37.00
2004-03-01,32.50
2004-04-01,39.00
2004-05-01,37.00
2004-06-01,27.10
2004-07-01,35.00
2004-08-01,15.20
2004-09-01,28.40
2004-10-01,24.60
2004-11-01,15.30
2004-12-01,21.60
2005-01-01,15.60
2005-02-01,17.10
2005-03-01,24.20
2005-04-01,8.30
2005-05-01,-4.90
2005-06-01,7.80
2005-07-01,23.80
2005-08-01,23.70
2005-09-01,16.90
2005-10-01,12.10
2005-11-01,18.00
2005-12-01,22.90
2006-01-01,17.50
2006-02-01,20.80
2006-03-01,33.10
2006-04-01,18.40
2006-05-01,18.60
2006-06-01,26.50
2006-07-01,16.60
2006-08-01,11.70
2006-09-01,15.00
2006-10-01,18.70
2006-11-01,23.00
2006-12-01,20.10
2007-01-01,7.40
2007-02-01,24.40
2007-03-01,13.20
2007-04-01,3.90
2007-05-01,10.00
2007-06-01,24.30
2007-07-01,26.20
2007-08-01,22.90
2007-09-01,14.80
2007-10-01,25.80
2007-11-01,26.00
2007-12-01,8.70
2008-01-01,7.20
2008-02-01,-7.80
2008-03-01,-14.80
2008-04-01,-3.10
2008-05-01,-3.80
2008-06-01,-8.10
2008-07-01,-5.20
2008-08-01,-0.80
2008-09-01,-7.90
2008-10-01,-25.70
2008-11-01,-22.50
2008-12-01,-25.30
2009-01-01,-26.40
2009-02-01,-35.10
2009-03-01,-33.80
2009-04-01,-19.40
2009-05-01,-6.00
2009-06-01,-9.60
2009-07-01,0.10
2009-08-01,12.80
2009-09-01,21.10
2009-10-01,33.20
2009-11-01,25.80
2009-12-01,5.20
2010-01-01,15.00
2010-02-01,20.90
2010-03-01,19.60
2010-04-01,27.20
2010-05-01,18.10
2010-06-01,19.90
2010-07-01,5.50
2010-08-01,10.30
2010-09-01,10.20
2010-10-01,15.50
2010-11-01,-7.30
2010-12-01,11.80
2011-01-01,9.50
2011-02-01,11.20
2011-03-01,12.10
2011-04-01,18.90
2011-05-01,10.30
2011-06-01,-5.30
2011-07-01,-5.80
2011-08-01,-3.50
2011-09-01,-3.90
2011-10-01,-5.30
2011-11-01,5.10
2011-12-01,11.60
2012-01-01,11.40
2012-02-01,16.50
2012-03-01,15.10
2012-04-01,7.30
2012-05-01,14.80
2012-06-01,1.50
2012-07-01,3.50
2012-08-01,-2.30
2012-09-01,-6.40
2012-10-01,-4.00
2012-11-01,-0.50
2012-12-01,-5.70
2013-01-01,-7.50
2013-02-01,7.50
2013-03-01,4.50
2013-04-01,3.70
2013-05-01,-0.40
2013-06-01,4.40
2013-07-01,5.70
2013-08-01,10.30
2013-09-01,8.20
2013-10-01,4.40
2013-11-01,2.90
2013-12-01,3.30
2014-01-01,12.40
2014-02-01,4.30
2014-03-01,2.40
2014-04-01,2.90
2014-05-01,19.00
2014-06-01,15.60
2014-07-01,21.50
2014-08-01,16.90
2014-09-01,29.90
2014-10-01,7.20
2014-11-01,13.00
2014-12-01,-2.40
2015-01-01,11.90
2015-02-01,7.70
2015-03-01,3.30
2015-04-01,-1.50
2015-05-01,5.50
2015-06-01,-5.00
2015-07-01,2.50
2015-08-01,-12.60
2015-09-01,-12.60
2015-10-01,-12.10
2015-11-01,-8.50
2015-12-01,-6.00
2016-01-01,-16.60
2016-02-01,-16.90
2016-03-01,-3.10
2016-04-01,7.50
2016-05-01,-5.80
2016-06-01,2.50
2016-07-01,2.20
2016-08-01,-4.10
2016-09-01,-1.60
2016-10-01,-7.60
2016-11-01,3.50
2016-12-01,9.30
2017-01-01,6.70
2017-02-01,17.10
2017-03-01,14.60
2017-04-01,4.10
2017-05-01,3.00
2017-06-01,18.10
2017-07-01,12.70
2017-08-01,24.20
2017-09-01,23.80
2017-10-01,28.10
2017-11-01,20.90
2017-12-01,19.60
2018-01-01,17.70
2018-02-01,13.10
2018-03-01,22.50
2018-04-01,15.80
2018-05-01,20.10
2018-06-01,25.00
