Date,UANMUO
2008-08-01,11187000000.00
2008-09-01,10664000000.00
2008-10-01,9839000000.00
2008-11-01,9706000000.00
2008-12-01,9532000000.00
2009-01-01,9077000000.00
2009-02-01,8711000000.00
2009-03-01,8503000000.00
2009-04-01,8137000000.00
2009-05-01,7870000000.00
2009-06-01,7719000000.00
2009-07-01,7882000000.00
2009-08-01,7966000000.00
2009-09-01,7842000000.00
2009-10-01,8068000000.00
2009-11-01,8245000000.00
2009-12-01,8529000000.00
2010-01-01,8846000000.00
2010-02-01,9157000000.00
2010-03-01,10045000000.00
2010-04-01,10218000000.00
2010-05-01,10420000000.00
2010-06-01,10480000000.00
2010-07-01,10793000000.00
2010-08-01,11018000000.00
2010-09-01,11508000000.00
2010-10-01,11859000000.00
2010-11-01,12302000000.00
2010-12-01,13267000000.00
2011-01-01,13670000000.00
2011-02-01,14141000000.00
2011-03-01,14301000000.00
2011-04-01,14601000000.00
2011-05-01,14257000000.00
2011-06-01,14573000000.00
2011-07-01,14611000000.00
2011-08-01,14534000000.00
2011-09-01,14360000000.00
2011-10-01,14490000000.00
2011-11-01,14568000000.00
2011-12-01,14810000000.00
2012-01-01,14931000000.00
2012-02-01,14797000000.00
2012-03-01,14742000000.00
2012-04-01,14917000000.00
2012-05-01,14372000000.00
2012-06-01,13572000000.00
2012-07-01,13137000000.00
2012-08-01,12707000000.00
2012-09-01,12506000000.00
2012-10-01,12664000000.00
2012-11-01,12561000000.00
2012-12-01,12381000000.00
2013-01-01,12977000000.00
2013-02-01,13045000000.00
2013-03-01,12903000000.00
2013-04-01,12874000000.00
2013-05-01,12896000000.00
2013-06-01,12825000000.00
2013-07-01,12629000000.00
2013-08-01,12340000000.00
2013-09-01,12236000000.00
2013-10-01,12544000000.00
2013-11-01,12285000000.00
2013-12-01,12687000000.00
2014-01-01,12582000000.00
2014-02-01,12629000000.00
2014-03-01,12832000000.00
2014-04-01,12700000000.00
2014-05-01,12503000000.00
2014-06-01,12255000000.00
2014-07-01,12312000000.00
2014-08-01,12046000000.00
2014-09-01,12004000000.00
2014-10-01,12054000000.00
2014-11-01,12237000000.00
2014-12-01,12381000000.00
2015-01-01,12295000000.00
2015-02-01,12390000000.00
2015-03-01,11866000000.00
2015-04-01,11614000000.00
2015-05-01,11306000000.00
2015-06-01,11202000000.00
2015-07-01,10628000000.00
2015-08-01,10178000000.00
2015-09-01,10169000000.00
2015-10-01,10244000000.00
2015-11-01,10815000000.00
2015-12-01,10896000000.00
2016-01-01,10999000000.00
2016-02-01,11019000000.00
2016-03-01,11026000000.00
2016-04-01,10597000000.00
2016-05-01,10270000000.00
2016-06-01,10143000000.00
2016-07-01,10257000000.00
2016-08-01,10177000000.00
2016-09-01,10045000000.00
2016-10-01,10073000000.00
2016-11-01,10273000000.00
2016-12-01,10157000000.00
2017-01-01,10154000000.00
2017-02-01,10552000000.00
2017-03-01,10625000000.00
2017-04-01,10942000000.00
2017-05-01,10564000000.00
2017-06-01,10330000000.00
2017-07-01,10315000000.00
2017-08-01,10025000000.00
2017-09-01,9860000000.00
2017-10-01,10043000000.00
2017-11-01,10353000000.00
2017-12-01,10506000000.00
2018-01-01,10282000000.00
2018-02-01,10468000000.00
2018-03-01,10623000000.00
2018-04-01,10733000000.00
