Date,TBSDODNS
1945-10-01,55940000000.00
1946-10-01,63908000000.00
1947-10-01,72561000000.00
1948-10-01,79968000000.00
1949-10-01,82933000000.00
1950-10-01,92084000000.00
1951-10-01,103806000000.00
1952-01-01,105429000000.00
1952-04-01,107712000000.00
1952-07-01,110118000000.00
1952-10-01,112537000000.00
1953-01-01,114297000000.00
1953-04-01,116105000000.00
1953-07-01,117753000000.00
1953-10-01,117609000000.00
1954-01-01,119137000000.00
1954-04-01,120313000000.00
1954-07-01,122482000000.00
1954-10-01,123758000000.00
1955-01-01,125485000000.00
1955-04-01,128878000000.00
1955-07-01,131806000000.00
1955-10-01,136054000000.00
1956-01-01,139223000000.00
1956-04-01,143001000000.00
1956-07-01,146132000000.00
1956-10-01,148890000000.00
1957-01-01,151976000000.00
1957-04-01,155694000000.00
1957-07-01,158445000000.00
1957-10-01,161010000000.00
1958-01-01,163417000000.00
1958-04-01,165493000000.00
1958-07-01,168230000000.00
1958-10-01,172145000000.00
1959-01-01,174820000000.00
1959-04-01,179937000000.00
1959-07-01,183278000000.00
1959-10-01,186894000000.00
1960-01-01,190620000000.00
1960-04-01,194599000000.00
1960-07-01,197125000000.00
1960-10-01,200616000000.00
1961-01-01,203006000000.00
1961-04-01,206357000000.00
1961-07-01,209874000000.00
1961-10-01,214704000000.00
1962-01-01,217937000000.00
1962-04-01,223073000000.00
1962-07-01,227384000000.00
1962-10-01,232768000000.00
1963-01-01,236659000000.00
1963-04-01,241366000000.00
1963-07-01,245710000000.00
1963-10-01,252156000000.00
1964-01-01,256242000000.00
1964-04-01,262031000000.00
1964-07-01,267787000000.00
1964-10-01,274192000000.00
1965-01-01,281383000000.00
1965-04-01,288848000000.00
1965-07-01,296181000000.00
1965-10-01,303787000000.00
1966-01-01,313349000000.00
1966-04-01,323869000000.00
1966-07-01,331871000000.00
1966-10-01,338202000000.00
1967-01-01,346563000000.00
1967-04-01,355873000000.00
1967-07-01,364078000000.00
1967-10-01,370856000000.00
1968-01-01,380822000000.00
1968-04-01,390904000000.00
1968-07-01,401071000000.00
1968-10-01,412656000000.00
1969-01-01,423624000000.00
1969-04-01,437807000000.00
1969-07-01,450239000000.00
1969-10-01,460784000000.00
1970-01-01,473750000000.00
1970-04-01,488703000000.00
1970-07-01,501097000000.00
1970-10-01,511941000000.00
1971-01-01,522999000000.00
1971-04-01,537847000000.00
1971-07-01,551889000000.00
1971-10-01,563398000000.00
1972-01-01,579276000000.00
1972-04-01,596705000000.00
1972-07-01,613216000000.00
1972-10-01,634365000000.00
1973-01-01,659441000000.00
1973-04-01,685410000000.00
1973-07-01,710306000000.00
1973-10-01,727578000000.00
1974-01-01,751318000000.00
1974-04-01,779452000000.00
1974-07-01,802156000000.00
1974-10-01,820315000000.00
1975-01-01,831801000000.00
1975-04-01,841543000000.00
1975-07-01,851525000000.00
1975-10-01,860266000000.00
1976-01-01,873896000000.00
1976-04-01,891335000000.00
1976-07-01,910679000000.00
1976-10-01,931428000000.00
1977-01-01,960388000000.00
1977-04-01,988022000000.00
1977-07-01,1015394000000.00
1977-10-01,1050133000000.00
1978-01-01,1081920000000.00
1978-04-01,1117332000000.00
1978-07-01,1148272000000.00
1978-10-01,1184262000000.00
1979-01-01,1221343000000.00
1979-04-01,1266458000000.00
1979-07-01,1308984000000.00
1979-10-01,1343789000000.00
1980-01-01,1383614000000.00
1980-04-01,1404259000000.00
1980-07-01,1431479000000.00
1980-10-01,1474673000000.00
1981-01-01,1509028000000.00
1981-04-01,1566302000000.00
1981-07-01,1617642000000.00
1981-10-01,1658457000000.00
1982-01-01,1700124000000.00
1982-04-01,1746192000000.00
1982-07-01,1789873000000.00
1982-10-01,1807588000000.00
1983-01-01,1858041000000.00
1983-04-01,1896473000000.00
1983-07-01,1945750000000.00
1983-10-01,1996223000000.00
1984-01-01,2071525000000.00
1984-04-01,2158678000000.00
1984-07-01,2235208000000.00
1984-10-01,2320616000000.00
1985-01-01,2377928000000.00
1985-04-01,2443881000000.00
1985-07-01,2500359000000.00
1985-10-01,2571990000000.00
1986-01-01,2636246000000.00
1986-04-01,2708912000000.00
1986-07-01,2784841000000.00
1986-10-01,2865996000000.00
1987-01-01,2928834000000.00
1987-04-01,2980456000000.00
1987-07-01,3045039000000.00
1987-10-01,3110821000000.00
1988-01-01,3182022000000.00
1988-04-01,3259409000000.00
1988-07-01,3324759000000.00
1988-10-01,3407695000000.00
1989-01-01,3475199000000.00
1989-04-01,3546077000000.00
1989-07-01,3585808000000.00
1989-10-01,3645685000000.00
1990-01-01,3699947000000.00
1990-04-01,3733979000000.00
1990-07-01,3760008000000.00
1990-10-01,3775977000000.00
1991-01-01,3752520000000.00
1991-04-01,3752584000000.00
1991-07-01,3721649000000.00
1991-10-01,3688580000000.00
1992-01-01,3690389000000.00
1992-04-01,3683718000000.00
1992-07-01,3685526000000.00
1992-10-01,3680382000000.00
1993-01-01,3697308000000.00
1993-04-01,3731508000000.00
1993-07-01,3767420000000.00
1993-10-01,3805564000000.00
1994-01-01,3866164000000.00
1994-04-01,3912511000000.00
1994-07-01,3963519000000.00
1994-10-01,4016889000000.00
1995-01-01,4086290000000.00
1995-04-01,4160308000000.00
1995-07-01,4207559000000.00
1995-10-01,4269163000000.00
1996-01-01,4314867000000.00
1996-04-01,4388076000000.00
1996-07-01,4450045000000.00
1996-10-01,4489418000000.00
1997-01-01,4563964000000.00
1997-04-01,4654250000000.00
1997-07-01,4776210000000.00
1997-10-01,4868315000000.00
1998-01-01,5010433000000.00
1998-04-01,5162986000000.00
1998-07-01,5292710000000.00
1998-10-01,5425153000000.00
1999-01-01,5588427000000.00
1999-04-01,5695412000000.00
1999-07-01,5901520000000.00
1999-10-01,6025304000000.00
2000-01-01,6190877000000.00
2000-04-01,6359304000000.00
2000-07-01,6462865000000.00
2000-10-01,6575595000000.00
2001-01-01,6621674000000.00
2001-04-01,6729010000000.00
2001-07-01,6802117000000.00
2001-10-01,6869398000000.00
2002-01-01,6926950000000.00
2002-04-01,6956505000000.00
2002-07-01,6984181000000.00
2002-10-01,7027419000000.00
2003-01-01,7054775000000.00
2003-04-01,7066980000000.00
2003-07-01,7116157000000.00
2003-10-01,7113222000000.00
2004-01-01,7264302000000.00
2004-04-01,7315602000000.00
2004-07-01,7441515000000.00
2004-10-01,7550306000000.00
2005-01-01,7692373000000.00
2005-04-01,7833738000000.00
2005-07-01,7968112000000.00
2005-10-01,8155093000000.00
2006-01-01,8368511000000.00
2006-04-01,8570949000000.00
2006-07-01,8709452000000.00
2006-10-01,8972027000000.00
2007-01-01,9220874000000.00
2007-04-01,9517979000000.00
2007-07-01,9827459000000.00
2007-10-01,10097931000000.00
2008-01-01,10318056000000.00
2008-04-01,10513276000000.00
2008-07-01,10648798000000.00
2008-10-01,10664508000000.00
2009-01-01,10603518000000.00
2009-04-01,10512350000000.00
2009-07-01,10363705000000.00
2009-10-01,10143198000000.00
2010-01-01,10126543000000.00
2010-04-01,10043511000000.00
2010-07-01,10091860000000.00
2010-10-01,9994992000000.00
2011-01-01,10019997000000.00
2011-04-01,10089454000000.00
2011-07-01,10168656000000.00
2011-10-01,10257597000000.00
2012-01-01,10340127000000.00
2012-04-01,10424796000000.00
2012-07-01,10585471000000.00
2012-10-01,10760411000000.00
2013-01-01,10857494000000.00
2013-04-01,10979363000000.00
2013-07-01,11158780000000.00
2013-10-01,11244528000000.00
2014-01-01,11415707000000.00
2014-04-01,11562128000000.00
2014-07-01,11738998000000.00
2014-10-01,11943769000000.00
2015-01-01,12162904000000.00
2015-04-01,12410388000000.00
2015-07-01,12572086000000.00
2015-10-01,12742158000000.00
2016-01-01,13033781000000.00
2016-04-01,13168054000000.00
2016-07-01,13368646000000.00
2016-10-01,13437451000000.00
2017-01-01,13705682000000.00
2017-04-01,13907850000000.00
2017-07-01,14116894000000.00
2017-10-01,14271167000000.00
2018-01-01,14426213000000.00
