Date,SUUR0000SAT
1999-12-01,100.00
2000-01-01,99.90
2000-02-01,100.80
2000-03-01,103.00
2000-04-01,102.80
2000-05-01,102.90
2000-06-01,104.20
2000-07-01,103.90
2000-08-01,102.80
2000-09-01,103.80
2000-10-01,103.70
2000-11-01,104.20
2000-12-01,103.60
2001-01-01,103.60
2001-02-01,103.80
2001-03-01,103.20
2001-04-01,104.70
2001-05-01,106.60
2001-06-01,106.10
2001-07-01,103.60
2001-08-01,102.80
2001-09-01,104.30
2001-10-01,102.40
2001-11-01,101.10
2001-12-01,99.70
2002-01-01,99.90
2002-02-01,99.70
2002-03-01,101.20
2002-04-01,103.30
2002-05-01,103.30
2002-06-01,103.00
2002-07-01,103.20
2002-08-01,103.30
2002-09-01,103.30
2002-10-01,103.90
2002-11-01,104.00
2002-12-01,103.30
2003-01-01,104.20
2003-02-01,106.40
2003-03-01,107.60
2003-04-01,106.50
2003-05-01,105.20
2003-06-01,104.90
2003-07-01,104.80
2003-08-01,105.70
2003-09-01,106.40
2003-10-01,104.90
2003-11-01,104.00
2003-12-01,103.40
2004-01-01,105.00
2004-02-01,106.30
2004-03-01,107.50
2004-04-01,108.40
2004-05-01,110.50
2004-06-01,110.80
2004-07-01,109.70
2004-08-01,108.90
2004-09-01,109.00
2004-10-01,111.20
2004-11-01,111.70
2004-12-01,110.20
2005-01-01,109.70
2005-02-01,111.00
2005-03-01,112.90
2005-04-01,115.80
2005-05-01,115.00
2005-06-01,114.80
2005-07-01,116.30
2005-08-01,118.20
2005-09-01,123.50
2005-10-01,122.30
2005-11-01,116.70
2005-12-01,114.50
2006-01-01,116.70
2006-02-01,116.60
2006-03-01,117.80
2006-04-01,122.50
2006-05-01,124.90
2006-06-01,124.70
2006-07-01,125.80
2006-08-01,125.40
2006-09-01,120.60
2006-10-01,116.60
2006-11-01,115.90
2006-12-01,117.00
2007-01-01,116.31
2007-02-01,116.48
2007-03-01,120.44
2007-04-01,123.68
2007-05-01,126.70
2007-06-01,126.27
2007-07-01,125.58
2007-08-01,123.64
2007-09-01,123.74
2007-10-01,124.12
2007-11-01,128.02
2007-12-01,127.52
2008-01-01,128.04
2008-02-01,127.94
2008-03-01,131.36
2008-04-01,134.09
2008-05-01,139.08
2008-06-01,143.46
2008-07-01,144.13
2008-08-01,140.26
2008-09-01,138.50
2008-10-01,131.45
2008-11-01,116.81
2008-12-01,109.30
2009-01-01,110.96
2009-02-01,113.14
2009-03-01,113.26
2009-04-01,114.97
2009-05-01,117.98
2009-06-01,123.53
2009-07-01,122.87
2009-08-01,123.88
2009-09-01,123.69
2009-10-01,124.60
2009-11-01,126.67
2009-12-01,126.50
2010-01-01,128.21
2010-02-01,127.46
2010-03-01,129.31
2010-04-01,130.56
2010-05-01,131.14
2010-06-01,129.51
2010-07-01,129.69
2010-08-01,129.96
2010-09-01,129.18
2010-10-01,130.42
2010-11-01,131.17
2010-12-01,133.06
2011-01-01,135.09
2011-02-01,136.59
2011-03-01,142.38
2011-04-01,146.17
2011-05-01,148.31
2011-06-01,145.91
2011-07-01,145.36
2011-08-01,145.32
2011-09-01,144.79
2011-10-01,142.66
2011-11-01,142.09
2011-12-01,140.04
2012-01-01,141.75
2012-02-01,144.50
2012-03-01,148.95
2012-04-01,150.29
2012-05-01,148.88
2012-06-01,146.07
2012-07-01,144.72
2012-08-01,147.70
2012-09-01,149.27
2012-10-01,148.27
2012-11-01,144.70
2012-12-01,142.92
2013-01-01,143.24
2013-02-01,148.11
2013-03-01,149.13
2013-04-01,147.69
2013-05-01,148.16
2013-06-01,148.45
2013-07-01,148.32
2013-08-01,147.86
2013-09-01,147.10
2013-10-01,145.14
2013-11-01,143.81
2013-12-01,143.88
2014-01-01,144.21
2014-02-01,145.01
2014-03-01,147.66
2014-04-01,150.00
2014-05-01,150.88
2014-06-01,150.99
2014-07-01,149.90
2014-08-01,147.65
2014-09-01,146.42
2014-10-01,143.96
2014-11-01,140.02
2014-12-01,135.19
2015-01-01,129.13
2015-02-01,131.44
2015-03-01,135.46
2015-04-01,136.14
2015-05-01,139.91
2015-06-01,140.93
2015-07-01,140.25
2015-08-01,137.88
2015-09-01,134.39
2015-10-01,133.06
2015-11-01,132.08
2015-12-01,130.28
2016-01-01,129.30
2016-02-01,126.84
2016-03-01,130.04
2016-04-01,133.05
2016-05-01,135.19
2016-06-01,136.31
2016-07-01,133.87
2016-08-01,132.33
2016-09-01,132.48
2016-10-01,133.09
2016-11-01,132.45
2016-12-01,133.03
2017-01-01,135.27
2017-02-01,135.15
2017-03-01,135.82
2017-04-01,137.39
2017-05-01,137.32
2017-06-01,136.67
2017-07-01,135.29
2017-08-01,136.28
2017-09-01,139.60
2017-10-01,137.74
2017-11-01,138.86
2017-12-01,137.95
2018-01-01,139.46
2018-02-01,140.82
2018-03-01,141.19
2018-04-01,143.03
2018-05-01,145.15
