Date,GDPNOW
2011-07-01,3.24
2011-10-01,5.17
2012-01-01,3.02
2012-04-01,0.22
2012-07-01,1.85
2012-10-01,0.08
2013-01-01,2.87
2013-04-01,1.30
2013-07-01,2.32
2013-10-01,3.12
2014-01-01,0.35
2014-04-01,2.67
2014-07-01,2.70
2014-10-01,3.49
2015-01-01,0.10
2015-04-01,2.43
2015-07-01,1.06
2015-10-01,1.02
2016-01-01,0.62
2016-04-01,1.83
2016-07-01,2.10
2016-10-01,2.88
2017-01-01,0.17
2017-04-01,2.82
2017-07-01,2.72
2017-10-01,3.41
2018-01-01,1.98
2018-04-01,3.83
