Date,SUUR0000SAH1
1999-12-01,100.00
2000-01-01,100.80
2000-02-01,101.30
2000-03-01,102.00
2000-04-01,102.00
2000-05-01,102.10
2000-06-01,102.60
2000-07-01,103.10
2000-08-01,103.40
2000-09-01,103.30
2000-10-01,103.60
2000-11-01,103.50
2000-12-01,103.40
2001-01-01,104.20
2001-02-01,104.90
2001-03-01,105.70
2001-04-01,105.80
2001-05-01,105.90
2001-06-01,106.60
2001-07-01,107.00
2001-08-01,107.50
2001-09-01,107.10
2001-10-01,107.30
2001-11-01,107.40
2001-12-01,107.60
2002-01-01,108.20
2002-02-01,109.10
2002-03-01,109.60
2002-04-01,109.80
2002-05-01,109.80
2002-06-01,110.00
2002-07-01,110.40
2002-08-01,110.80
2002-09-01,110.60
2002-10-01,110.80
2002-11-01,110.80
2002-12-01,110.70
2003-01-01,111.40
2003-02-01,111.70
2003-03-01,112.10
2003-04-01,112.10
2003-05-01,112.40
2003-06-01,112.50
2003-07-01,113.00
2003-08-01,113.20
2003-09-01,112.90
2003-10-01,113.30
2003-11-01,113.00
2003-12-01,113.00
2004-01-01,113.60
2004-02-01,114.00
2004-03-01,115.00
2004-04-01,115.30
2004-05-01,115.40
2004-06-01,115.60
2004-07-01,116.10
2004-08-01,116.30
2004-09-01,116.30
2004-10-01,116.60
2004-11-01,116.30
2004-12-01,116.40
2005-01-01,116.90
2005-02-01,117.60
2005-03-01,118.30
2005-04-01,118.30
2005-05-01,118.20
2005-06-01,118.50
2005-07-01,119.00
2005-08-01,119.00
2005-09-01,118.50
2005-10-01,119.10
2005-11-01,119.10
2005-12-01,119.30
2006-01-01,119.90
2006-02-01,120.60
2006-03-01,121.40
2006-04-01,121.80
2006-05-01,122.00
2006-06-01,122.60
2006-07-01,123.30
2006-08-01,123.60
2006-09-01,123.40
2006-10-01,123.80
2006-11-01,123.90
2006-12-01,124.10
2007-01-01,124.80
2007-02-01,125.47
2007-03-01,125.93
2007-04-01,126.30
2007-05-01,126.31
2007-06-01,126.87
2007-07-01,127.37
2007-08-01,127.51
2007-09-01,127.38
2007-10-01,127.66
2007-11-01,127.64
2007-12-01,127.74
2008-01-01,128.43
2008-02-01,128.86
2008-03-01,129.51
2008-04-01,129.56
2008-05-01,129.60
2008-06-01,130.11
2008-07-01,130.61
2008-08-01,130.54
2008-09-01,130.46
2008-10-01,130.60
2008-11-01,130.48
2008-12-01,130.35
2009-01-01,130.93
2009-02-01,131.22
2009-03-01,131.57
2009-04-01,131.73
2009-05-01,131.73
2009-06-01,131.99
2009-07-01,132.03
2009-08-01,131.97
2009-09-01,131.57
2009-10-01,131.58
2009-11-01,131.00
2009-12-01,130.87
2010-01-01,130.89
2010-02-01,130.90
2010-03-01,130.90
2010-04-01,130.89
2010-05-01,130.92
2010-06-01,131.14
2010-07-01,131.26
2010-08-01,131.19
2010-09-01,131.16
2010-10-01,131.23
2010-11-01,131.29
2010-12-01,131.42
2011-01-01,131.66
2011-02-01,131.86
2011-03-01,132.06
2011-04-01,132.14
2011-05-01,132.31
2011-06-01,132.67
2011-07-01,133.11
2011-08-01,133.24
2011-09-01,133.29
2011-10-01,133.55
2011-11-01,133.69
2011-12-01,133.93
2012-01-01,134.27
2012-02-01,134.50
2012-03-01,134.83
2012-04-01,135.07
2012-05-01,135.29
2012-06-01,135.57
2012-07-01,135.79
2012-08-01,135.94
2012-09-01,136.14
2012-10-01,136.45
2012-11-01,136.57
2012-12-01,136.75
2013-01-01,137.12
2013-02-01,137.45
2013-03-01,137.76
2013-04-01,137.94
2013-05-01,138.27
2013-06-01,138.58
2013-07-01,138.87
2013-08-01,139.10
2013-09-01,139.24
2013-10-01,139.43
2013-11-01,139.74
2013-12-01,140.07
2014-01-01,140.49
2014-02-01,140.80
2014-03-01,141.31
2014-04-01,141.57
2014-05-01,142.00
2014-06-01,142.27
2014-07-01,142.73
2014-08-01,142.95
2014-09-01,143.16
2014-10-01,143.50
2014-11-01,143.73
2014-12-01,143.92
2015-01-01,144.46
2015-02-01,144.86
2015-03-01,145.36
2015-04-01,145.72
2015-05-01,146.03
2015-06-01,146.47
2015-07-01,147.09
2015-08-01,147.27
2015-09-01,147.64
2015-10-01,147.97
2015-11-01,148.20
2015-12-01,148.40
2016-01-01,148.93
2016-02-01,149.37
2016-03-01,149.80
2016-04-01,150.17
2016-05-01,150.72
2016-06-01,151.39
2016-07-01,151.69
2016-08-01,151.99
2016-09-01,152.39
2016-10-01,152.87
2016-11-01,153.11
2016-12-01,153.50
2017-01-01,154.01
2017-02-01,154.41
2017-03-01,154.74
2017-04-01,155.04
2017-05-01,155.47
2017-06-01,155.98
2017-07-01,156.22
2017-08-01,156.87
2017-09-01,157.23
2017-10-01,157.75
2017-11-01,157.90
2017-12-01,158.31
2018-01-01,158.80
2018-02-01,159.19
2018-03-01,159.82
2018-04-01,160.27
2018-05-01,160.89
