Date,RTWVDNY684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.73
1988-03-01,99.60
1988-04-01,98.69
1988-05-01,98.95
1988-06-01,100.40
1988-07-01,102.78
1988-08-01,103.69
1988-09-01,103.94
1988-10-01,101.81
1988-11-01,99.24
1988-12-01,98.91
1989-01-01,101.28
1989-02-01,101.63
1989-03-01,103.31
1989-04-01,103.28
1989-05-01,106.07
1989-06-01,107.83
1989-07-01,105.29
1989-08-01,106.31
1989-09-01,107.22
1989-10-01,105.22
1989-11-01,105.03
1989-12-01,103.26
1990-01-01,102.50
1990-02-01,102.60
1990-03-01,103.87
1990-04-01,103.07
1990-05-01,101.58
1990-06-01,102.04
1990-07-01,100.00
1990-08-01,98.10
1990-09-01,97.78
1990-10-01,95.61
1990-11-01,94.78
1990-12-01,95.65
1991-01-01,95.21
1991-02-01,94.40
1991-03-01,97.97
1991-04-01,99.17
1991-05-01,99.53
1991-06-01,100.98
1991-07-01,101.00
1991-08-01,99.85
1991-09-01,98.64
1991-10-01,97.95
1991-11-01,96.33
1991-12-01,95.43
1992-01-01,95.42
1992-02-01,96.99
1992-03-01,98.79
1992-04-01,98.14
1992-05-01,97.46
1992-06-01,96.24
1992-07-01,94.50
1992-08-01,93.81
1992-09-01,94.61
1992-10-01,97.00
1992-11-01,100.31
1992-12-01,100.30
1993-01-01,101.60
1993-02-01,102.59
1993-03-01,102.06
1993-04-01,99.84
1993-05-01,99.72
1993-06-01,100.67
1993-07-01,101.63
1993-08-01,101.69
1993-09-01,100.36
1993-10-01,101.26
1993-11-01,102.28
1993-12-01,101.91
1994-01-01,102.62
1994-02-01,102.89
1994-03-01,103.09
1994-04-01,103.57
1994-05-01,102.77
1994-06-01,101.88
1994-07-01,100.75
1994-08-01,100.51
1994-09-01,99.35
1994-10-01,98.48
1994-11-01,98.93
1994-12-01,100.39
1995-01-01,100.62
1995-02-01,99.81
1995-03-01,98.16
1995-04-01,95.67
1995-05-01,95.63
1995-06-01,95.68
1995-07-01,95.12
1995-08-01,96.67
1995-09-01,97.13
1995-10-01,96.60
1995-11-01,96.96
1995-12-01,97.82
1996-01-01,98.69
1996-02-01,98.83
1996-03-01,98.83
1996-04-01,99.13
1996-05-01,99.73
1996-06-01,99.72
1996-07-01,99.52
1996-08-01,98.99
1996-09-01,99.57
1996-10-01,99.82
1996-11-01,99.17
1996-12-01,100.35
1997-01-01,101.37
1997-02-01,103.20
1997-03-01,104.19
1997-04-01,104.70
1997-05-01,103.52
1997-06-01,103.54
1997-07-01,104.45
1997-08-01,105.90
1997-09-01,105.72
1997-10-01,105.67
1997-11-01,106.58
1997-12-01,109.19
1998-01-01,110.94
1998-02-01,110.06
1998-03-01,109.74
1998-04-01,110.03
1998-05-01,110.39
1998-06-01,111.88
1998-07-01,112.71
1998-08-01,114.43
1998-09-01,112.42
1998-10-01,111.02
1998-11-01,111.39
1998-12-01,110.80
1999-01-01,110.97
1999-02-01,112.28
1999-03-01,113.90
1999-04-01,113.76
1999-05-01,113.24
1999-06-01,114.16
1999-07-01,115.03
1999-08-01,114.01
1999-09-01,113.68
1999-10-01,112.97
1999-11-01,113.93
1999-12-01,114.08
2000-01-01,113.83
2000-02-01,115.66
2000-03-01,116.87
2000-04-01,117.46
2000-05-01,120.36
2000-06-01,118.57
2000-07-01,119.01
2000-08-01,120.32
2000-09-01,122.16
2000-10-01,123.89
2000-11-01,124.80
2000-12-01,122.51
2001-01-01,122.27
2001-02-01,123.85
2001-03-01,126.19
2001-04-01,127.15
2001-05-01,127.18
2001-06-01,128.15
2001-07-01,128.06
2001-08-01,125.96
2001-09-01,126.33
2001-10-01,126.80
2001-11-01,127.67
2001-12-01,127.09
2002-01-01,128.79
2002-02-01,129.62
2002-03-01,129.16
2002-04-01,128.70
2002-05-01,126.57
2002-06-01,124.85
2002-07-01,122.82
2002-08-01,124.31
2002-09-01,125.03
2002-10-01,125.74
2002-11-01,124.14
2002-12-01,123.00
2003-01-01,121.17
2003-02-01,120.94
2003-03-01,120.46
2003-04-01,119.41
2003-05-01,114.81
2003-06-01,113.96
2003-07-01,115.76
2003-08-01,117.17
2003-09-01,115.89
2003-10-01,112.93
2003-11-01,112.39
2003-12-01,110.08
2004-01-01,108.89
2004-02-01,109.88
2004-03-01,111.37
2004-04-01,112.19
2004-05-01,114.21
2004-06-01,113.08
2004-07-01,111.61
2004-08-01,111.61
2004-09-01,111.01
2004-10-01,109.34
2004-11-01,106.11
2004-12-01,104.75
2005-01-01,105.96
2005-02-01,106.47
2005-03-01,105.92
2005-04-01,107.44
2005-05-01,108.14
2005-06-01,109.41
2005-07-01,110.05
2005-08-01,108.75
2005-09-01,109.37
2005-10-01,110.79
2005-11-01,111.10
2005-12-01,109.60
2006-01-01,108.89
2006-02-01,109.37
2006-03-01,109.85
2006-04-01,108.99
2006-05-01,106.27
2006-06-01,107.41
2006-07-01,107.69
2006-08-01,106.72
2006-09-01,106.67
2006-10-01,106.61
2006-11-01,105.62
2006-12-01,104.72
2007-01-01,106.37
2007-02-01,106.28
2007-03-01,106.26
2007-04-01,104.67
2007-05-01,104.01
2007-06-01,103.91
2007-07-01,102.34
2007-08-01,102.32
2007-09-01,100.77
2007-10-01,98.38
2007-11-01,96.88
2007-12-01,97.94
2008-01-01,97.60
2008-02-01,96.56
2008-03-01,94.80
2008-04-01,94.72
2008-05-01,95.10
2008-06-01,95.84
2008-07-01,95.25
2008-08-01,98.18
2008-09-01,100.24
2008-10-01,105.95
2008-11-01,107.69
2008-12-01,105.71
2009-01-01,106.83
2009-02-01,109.42
2009-03-01,110.25
2009-04-01,107.81
2009-05-01,103.99
2009-06-01,102.37
2009-07-01,101.69
2009-08-01,100.14
2009-09-01,99.33
2009-10-01,97.70
2009-11-01,97.12
2009-12-01,97.52
2010-01-01,97.55
2010-02-01,98.99
2010-03-01,98.63
2010-04-01,97.75
2010-05-01,100.97
2010-06-01,101.61
2010-07-01,99.73
2010-08-01,98.74
2010-09-01,97.65
2010-10-01,94.63
2010-11-01,94.84
2010-12-01,95.25
2011-01-01,94.47
2011-02-01,93.92
2011-03-01,93.28
2011-04-01,91.74
2011-05-01,92.04
2011-06-01,91.77
2011-07-01,91.04
2011-08-01,91.74
2011-09-01,94.74
2011-10-01,95.14
