Date,U25BTI
1992-01-01,7737000000.00
1992-02-01,7991000000.00
1992-03-01,8074000000.00
1992-04-01,8506000000.00
1992-05-01,8679000000.00
1992-06-01,8569000000.00
1992-07-01,8591000000.00
1992-08-01,8742000000.00
1992-09-01,8553000000.00
1992-10-01,8900000000.00
1992-11-01,8944000000.00
1992-12-01,8963000000.00
1993-01-01,9048000000.00
1993-02-01,9097000000.00
1993-03-01,9268000000.00
1993-04-01,9359000000.00
1993-05-01,9679000000.00
1993-06-01,9755000000.00
1993-07-01,9680000000.00
1993-08-01,9824000000.00
1993-09-01,9752000000.00
1993-10-01,9822000000.00
1993-11-01,9953000000.00
1993-12-01,9676000000.00
1994-01-01,9618000000.00
1994-02-01,10023000000.00
1994-03-01,10184000000.00
1994-04-01,10493000000.00
1994-05-01,10650000000.00
1994-06-01,10564000000.00
1994-07-01,10720000000.00
1994-08-01,10723000000.00
1994-09-01,10386000000.00
1994-10-01,10366000000.00
1994-11-01,10319000000.00
1994-12-01,10065000000.00
1995-01-01,9828000000.00
1995-02-01,10031000000.00
1995-03-01,10176000000.00
1995-04-01,10433000000.00
1995-05-01,10773000000.00
1995-06-01,10890000000.00
1995-07-01,10818000000.00
1995-08-01,11082000000.00
1995-09-01,10987000000.00
1995-10-01,10993000000.00
1995-11-01,10982000000.00
1995-12-01,11080000000.00
1996-01-01,10998000000.00
1996-02-01,11103000000.00
1996-03-01,11447000000.00
1996-04-01,11594000000.00
1996-05-01,11860000000.00
1996-06-01,11776000000.00
1996-07-01,11709000000.00
1996-08-01,11802000000.00
1996-09-01,11626000000.00
1996-10-01,11517000000.00
1996-11-01,11545000000.00
1996-12-01,11533000000.00
1997-01-01,11162000000.00
1997-02-01,11508000000.00
1997-03-01,11458000000.00
1997-04-01,12141000000.00
1997-05-01,12297000000.00
1997-06-01,12151000000.00
1997-07-01,12084000000.00
1997-08-01,11927000000.00
1997-09-01,12065000000.00
1997-10-01,12591000000.00
1997-11-01,12574000000.00
1997-12-01,12281000000.00
1998-01-01,12485000000.00
1998-02-01,13068000000.00
1998-03-01,13196000000.00
1998-04-01,13617000000.00
1998-05-01,13841000000.00
1998-06-01,13850000000.00
1998-07-01,14215000000.00
1998-08-01,14282000000.00
1998-09-01,13708000000.00
1998-10-01,14111000000.00
1998-11-01,14716000000.00
1998-12-01,13820000000.00
1999-01-01,14004000000.00
1999-02-01,14452000000.00
1999-03-01,14227000000.00
1999-04-01,14910000000.00
1999-05-01,15599000000.00
1999-06-01,15368000000.00
1999-07-01,15276000000.00
1999-08-01,15376000000.00
1999-09-01,15079000000.00
1999-10-01,15360000000.00
1999-11-01,15667000000.00
1999-12-01,15329000000.00
2000-01-01,15247000000.00
2000-02-01,15775000000.00
2000-03-01,15805000000.00
2000-04-01,16257000000.00
2000-05-01,16416000000.00
2000-06-01,16621000000.00
2000-07-01,17486000000.00
2000-08-01,17514000000.00
2000-09-01,17430000000.00
2000-10-01,17795000000.00
2000-11-01,17952000000.00
2000-12-01,17356000000.00
2001-01-01,17170000000.00
2001-02-01,16967000000.00
2001-03-01,16936000000.00
2001-04-01,16905000000.00
2001-05-01,16996000000.00
2001-06-01,16733000000.00
2001-07-01,17037000000.00
2001-08-01,17020000000.00
2001-09-01,17028000000.00
2001-10-01,17202000000.00
2001-11-01,16727000000.00
2001-12-01,16605000000.00
2002-01-01,16564000000.00
2002-02-01,17011000000.00
2002-03-01,17025000000.00
2002-04-01,17394000000.00
2002-05-01,17478000000.00
2002-06-01,17252000000.00
2002-07-01,17828000000.00
2002-08-01,18376000000.00
2002-09-01,18208000000.00
2002-10-01,18215000000.00
2002-11-01,18579000000.00
2002-12-01,17351000000.00
2003-01-01,17032000000.00
2003-02-01,18326000000.00
2003-03-01,17892000000.00
2003-04-01,18025000000.00
2003-05-01,18261000000.00
2003-06-01,18316000000.00
2003-07-01,18925000000.00
2003-08-01,19130000000.00
2003-09-01,18744000000.00
2003-10-01,18914000000.00
2003-11-01,18895000000.00
2003-12-01,18201000000.00
2004-01-01,17738000000.00
2004-02-01,19174000000.00
2004-03-01,19946000000.00
2004-04-01,20932000000.00
2004-05-01,21213000000.00
2004-06-01,21503000000.00
2004-07-01,21459000000.00
2004-08-01,21620000000.00
2004-09-01,20379000000.00
2004-10-01,20045000000.00
2004-11-01,20413000000.00
2004-12-01,19920000000.00
2005-01-01,19838000000.00
2005-02-01,20218000000.00
2005-03-01,20199000000.00
