Date,SUUR0000SA0E
1999-12-01,100.00
2000-01-01,100.20
2000-02-01,103.70
2000-03-01,108.90
2000-04-01,107.80
2000-05-01,108.00
2000-06-01,115.30
2000-07-01,115.40
2000-08-01,111.90
2000-09-01,115.90
2000-10-01,114.00
2000-11-01,113.40
2000-12-01,112.60
2001-01-01,116.80
2001-02-01,116.40
2001-03-01,114.40
2001-04-01,117.50
2001-05-01,123.70
2001-06-01,124.70
2001-07-01,117.40
2001-08-01,114.80
2001-09-01,117.90
2001-10-01,108.70
2001-11-01,102.60
2001-12-01,98.30
2002-01-01,98.60
2002-02-01,97.80
2002-03-01,101.90
2002-04-01,107.90
2002-05-01,108.50
2002-06-01,110.40
2002-07-01,110.90
2002-08-01,111.20
2002-09-01,111.40
2002-10-01,110.70
2002-11-01,110.30
2002-12-01,108.60
2003-01-01,112.40
2003-02-01,118.90
2003-03-01,125.40
2003-04-01,121.50
2003-05-01,118.10
2003-06-01,120.60
2003-07-01,120.90
2003-08-01,124.40
2003-09-01,128.00
2003-10-01,120.90
2003-11-01,117.40
2003-12-01,116.40
2004-01-01,121.30
2004-02-01,123.90
2004-03-01,125.60
2004-04-01,128.00
2004-05-01,135.10
2004-06-01,140.30
2004-07-01,137.20
2004-08-01,136.20
2004-09-01,135.50
2004-10-01,138.10
2004-11-01,138.50
2004-12-01,134.40
2005-01-01,132.90
2005-02-01,135.60
2005-03-01,140.20
2005-04-01,148.70
2005-05-01,147.40
2005-06-01,149.30
2005-07-01,155.40
2005-08-01,162.70
2005-09-01,180.00
2005-10-01,175.40
2005-11-01,160.80
2005-12-01,154.50
2006-01-01,162.10
2006-02-01,159.20
2006-03-01,160.70
2006-04-01,171.70
2006-05-01,178.60
2006-06-01,180.60
2006-07-01,183.80
2006-08-01,183.60
2006-09-01,170.30
2006-10-01,154.90
2006-11-01,154.00
2006-12-01,158.10
2007-01-01,156.59
2007-02-01,157.16
2007-03-01,167.87
2007-04-01,176.81
2007-05-01,186.78
2007-06-01,188.54
2007-07-01,185.35
2007-08-01,178.74
2007-09-01,179.11
2007-10-01,177.40
2007-11-01,187.12
2007-12-01,185.91
2008-01-01,187.60
2008-02-01,187.70
2008-03-01,197.14
2008-04-01,205.58
2008-05-01,220.37
2008-06-01,236.20
2008-07-01,240.18
2008-08-01,228.43
2008-09-01,222.09
2008-10-01,199.64
2008-11-01,163.28
2008-12-01,146.39
2009-01-01,149.18
2009-02-01,152.25
2009-03-01,150.80
2009-04-01,152.39
2009-05-01,158.71
2009-06-01,174.64
2009-07-01,171.58
2009-08-01,174.10
2009-09-01,171.68
2009-10-01,169.29
2009-11-01,173.67
2009-12-01,172.28
2010-01-01,177.15
2010-02-01,174.42
2010-03-01,178.67
2010-04-01,180.73
2010-05-01,181.76
2010-06-01,179.63
2010-07-01,180.18
2010-08-01,180.41
2010-09-01,178.25
2010-10-01,178.93
2010-11-01,179.71
2010-12-01,184.71
2011-01-01,188.97
2011-02-01,191.92
2011-03-01,204.27
2011-04-01,213.09
2011-05-01,218.78
2011-06-01,213.87
2011-07-01,212.80
2011-08-01,212.01
2011-09-01,211.05
2011-10-01,202.92
2011-11-01,200.54
2011-12-01,195.66
2012-01-01,199.50
2012-02-01,204.02
2012-03-01,212.99
2012-04-01,214.78
2012-05-01,210.34
2012-06-01,205.08
2012-07-01,201.21
2012-08-01,209.94
2012-09-01,214.93
2012-10-01,209.93
2012-11-01,199.89
2012-12-01,195.34
2013-01-01,196.23
2013-02-01,207.10
2013-03-01,208.16
2013-04-01,204.34
2013-05-01,206.98
2013-06-01,210.48
2013-07-01,210.16
2013-08-01,209.04
2013-09-01,207.71
2013-10-01,199.22
2013-11-01,194.63
2013-12-01,195.83
2014-01-01,200.20
2014-02-01,202.66
2014-03-01,209.62
2014-04-01,211.19
2014-05-01,214.04
2014-06-01,217.63
2014-07-01,215.80
2014-08-01,210.02
2014-09-01,206.78
2014-10-01,196.48
2014-11-01,185.65
2014-12-01,175.54
2015-01-01,160.61
2015-02-01,164.37
2015-03-01,171.38
2015-04-01,170.26
2015-05-01,179.67
2015-06-01,185.14
2015-07-01,184.38
2015-08-01,178.64
2015-09-01,168.50
2015-10-01,162.51
2015-11-01,158.00
2015-12-01,152.68
2016-01-01,149.63
2016-02-01,142.31
2016-03-01,149.12
2016-04-01,155.32
2016-05-01,161.65
2016-06-01,168.02
2016-07-01,164.09
2016-08-01,161.82
2016-09-01,163.90
2016-10-01,163.19
2016-11-01,160.10
2016-12-01,161.88
2017-01-01,167.35
2017-02-01,166.15
2017-03-01,166.47
2017-04-01,170.26
2017-05-01,170.33
2017-06-01,171.29
2017-07-01,169.27
2017-08-01,172.51
2017-09-01,181.74
2017-10-01,174.49
2017-11-01,176.52
2017-12-01,173.92
2018-01-01,177.27
2018-02-01,179.61
2018-03-01,178.83
2018-04-01,183.88
2018-05-01,190.40
