Date,U31AVS
2008-08-01,14933000000.00
2008-09-01,14071000000.00
2008-10-01,12204000000.00
2008-11-01,8871000000.00
2008-12-01,7594000000.00
2009-01-01,6917000000.00
2009-02-01,6505000000.00
2009-03-01,6435000000.00
2009-04-01,5783000000.00
2009-05-01,5626000000.00
2009-06-01,5949000000.00
2009-07-01,6308000000.00
2009-08-01,6671000000.00
2009-09-01,7152000000.00
2009-10-01,7377000000.00
2009-11-01,6710000000.00
2009-12-01,6855000000.00
2010-01-01,7717000000.00
2010-02-01,8202000000.00
2010-03-01,9922000000.00
2010-04-01,9762000000.00
2010-05-01,10099000000.00
2010-06-01,10531000000.00
2010-07-01,9198000000.00
2010-08-01,10150000000.00
2010-09-01,10162000000.00
2010-10-01,9502000000.00
2010-11-01,9147000000.00
2010-12-01,9188000000.00
2011-01-01,10627000000.00
2011-02-01,10587000000.00
2011-03-01,12842000000.00
2011-04-01,11937000000.00
2011-05-01,12334000000.00
2011-06-01,12618000000.00
2011-07-01,11075000000.00
2011-08-01,12156000000.00
2011-09-01,11626000000.00
2011-10-01,11510000000.00
2011-11-01,10733000000.00
2011-12-01,10926000000.00
2012-01-01,11775000000.00
2012-02-01,12064000000.00
2012-03-01,12937000000.00
2012-04-01,12218000000.00
2012-05-01,12942000000.00
2012-06-01,11768000000.00
2012-07-01,10841000000.00
2012-08-01,11954000000.00
2012-09-01,10750000000.00
2012-10-01,11001000000.00
2012-11-01,10287000000.00
2012-12-01,9969000000.00
2013-01-01,11177000000.00
2013-02-01,10558000000.00
2013-03-01,11341000000.00
2013-04-01,11529000000.00
2013-05-01,11146000000.00
2013-06-01,10915000000.00
2013-07-01,10903000000.00
2013-08-01,11562000000.00
2013-09-01,10877000000.00
2013-10-01,11543000000.00
2013-11-01,10585000000.00
2013-12-01,10271000000.00
2014-01-01,10931000000.00
2014-02-01,10618000000.00
2014-03-01,11490000000.00
2014-04-01,11547000000.00
2014-05-01,11455000000.00
2014-06-01,11440000000.00
2014-07-01,11337000000.00
2014-08-01,11511000000.00
2014-09-01,11648000000.00
2014-10-01,11760000000.00
2014-11-01,10197000000.00
2014-12-01,10398000000.00
2015-01-01,10255000000.00
2015-02-01,9376000000.00
2015-03-01,10011000000.00
2015-04-01,9693000000.00
2015-05-01,9343000000.00
2015-06-01,9609000000.00
2015-07-01,8976000000.00
2015-08-01,9182000000.00
2015-09-01,8933000000.00
2015-10-01,8766000000.00
2015-11-01,7773000000.00
2015-12-01,7453000000.00
2016-01-01,7893000000.00
2016-02-01,8012000000.00
2016-03-01,8385000000.00
2016-04-01,8227000000.00
2016-05-01,8320000000.00
2016-06-01,8612000000.00
2016-07-01,7987000000.00
2016-08-01,8762000000.00
2016-09-01,8183000000.00
2016-10-01,8088000000.00
2016-11-01,7739000000.00
2016-12-01,7785000000.00
2017-01-01,8511000000.00
2017-02-01,8369000000.00
2017-03-01,9501000000.00
2017-04-01,8890000000.00
2017-05-01,9634000000.00
2017-06-01,9612000000.00
2017-07-01,8633000000.00
2017-08-01,9803000000.00
2017-09-01,9044000000.00
2017-10-01,9477000000.00
2017-11-01,8758000000.00
2017-12-01,8361000000.00
2018-01-01,9618000000.00
2018-02-01,9381000000.00
2018-03-01,10737000000.00
2018-04-01,10730000000.00
