Date,CIU1030000000000I
2001-01-01,78.10
2001-04-01,78.80
2001-07-01,80.00
2001-10-01,80.60
2002-01-01,81.60
2002-04-01,82.50
2002-07-01,83.60
2002-10-01,84.30
2003-01-01,86.40
2003-04-01,87.40
2003-07-01,88.90
2003-10-01,89.70
2004-01-01,92.20
2004-04-01,93.60
2004-07-01,94.80
2004-10-01,95.70
2005-01-01,97.60
2005-04-01,98.30
2005-07-01,99.50
2005-10-01,100.00
2006-01-01,100.90
2006-04-01,101.60
2006-07-01,102.80
2006-10-01,103.60
2007-01-01,104.00
2007-04-01,105.10
2007-07-01,106.10
2007-10-01,106.80
2008-01-01,107.60
2008-04-01,108.10
2008-07-01,108.90
2008-10-01,109.10
2009-01-01,109.70
2009-04-01,110.00
2009-07-01,110.50
2009-10-01,110.70
2010-01-01,112.10
2010-04-01,112.70
2010-07-01,113.60
2010-10-01,113.90
2011-01-01,115.50
2011-04-01,116.80
2011-07-01,117.20
2011-10-01,117.50
2012-01-01,118.60
2012-04-01,119.30
2012-07-01,120.00
2012-10-01,120.30
2013-01-01,121.40
2013-04-01,121.90
2013-07-01,122.70
2013-10-01,123.00
2014-01-01,123.90
2014-04-01,125.00
2014-07-01,125.70
2014-10-01,126.20
2015-01-01,127.20
2015-04-01,127.20
2015-07-01,127.90
2015-10-01,128.40
2016-01-01,129.40
2016-04-01,129.80
2016-07-01,130.80
2016-10-01,131.10
2017-01-01,132.20
2017-04-01,133.00
2017-07-01,134.00
2017-10-01,134.40
2018-01-01,135.70
