Date,U31SNO
2008-09-01,21004000000.00
2008-10-01,16675000000.00
2008-11-01,14284000000.00
2008-12-01,12256000000.00
2009-01-01,12585000000.00
2009-02-01,11899000000.00
2009-03-01,11709000000.00
2009-04-01,11623000000.00
2009-05-01,11939000000.00
2009-06-01,14183000000.00
2009-07-01,14331000000.00
2009-08-01,15257000000.00
2009-09-01,14545000000.00
2009-10-01,15123000000.00
2009-11-01,14302000000.00
2009-12-01,14897000000.00
2010-01-01,18576000000.00
2010-02-01,18677000000.00
2010-03-01,21925000000.00
2010-04-01,20748000000.00
2010-05-01,20642000000.00
2010-06-01,20185000000.00
2010-07-01,20813000000.00
2010-08-01,21280000000.00
2010-09-01,20377000000.00
2010-10-01,19106000000.00
2010-11-01,21372000000.00
2010-12-01,20300000000.00
2011-01-01,23234000000.00
2011-02-01,21165000000.00
2011-03-01,25294000000.00
2011-04-01,22722000000.00
2011-05-01,23515000000.00
2011-06-01,23093000000.00
2011-07-01,22860000000.00
2011-08-01,24833000000.00
2011-09-01,23368000000.00
2011-10-01,23016000000.00
2011-11-01,23332000000.00
2011-12-01,23413000000.00
2012-01-01,24426000000.00
2012-02-01,24031000000.00
2012-03-01,24587000000.00
2012-04-01,23614000000.00
2012-05-01,21877000000.00
2012-06-01,21132000000.00
2012-07-01,20468000000.00
2012-08-01,21294000000.00
2012-09-01,20011000000.00
2012-10-01,21926000000.00
2012-11-01,20369000000.00
2012-12-01,19802000000.00
2013-01-01,22476000000.00
2013-02-01,22410000000.00
2013-03-01,22016000000.00
2013-04-01,22656000000.00
2013-05-01,22260000000.00
2013-06-01,21633000000.00
2013-07-01,21165000000.00
2013-08-01,21602000000.00
2013-09-01,21227000000.00
2013-10-01,22963000000.00
2013-11-01,21037000000.00
2013-12-01,19829000000.00
2014-01-01,22210000000.00
2014-02-01,21397000000.00
2014-03-01,23297000000.00
2014-04-01,22466000000.00
2014-05-01,22531000000.00
2014-06-01,23083000000.00
2014-07-01,22494000000.00
2014-08-01,21938000000.00
2014-09-01,22892000000.00
2014-10-01,23043000000.00
2014-11-01,20061000000.00
2014-12-01,20272000000.00
2015-01-01,20878000000.00
2015-02-01,19658000000.00
2015-03-01,19984000000.00
2015-04-01,19850000000.00
2015-05-01,18838000000.00
2015-06-01,19757000000.00
2015-07-01,17389000000.00
2015-08-01,17868000000.00
2015-09-01,17572000000.00
2015-10-01,18175000000.00
2015-11-01,16610000000.00
2015-12-01,15939000000.00
2016-01-01,17270000000.00
2016-02-01,17325000000.00
2016-03-01,18174000000.00
2016-04-01,17246000000.00
2016-05-01,17153000000.00
2016-06-01,17614000000.00
2016-07-01,16302000000.00
2016-08-01,17506000000.00
2016-09-01,16846000000.00
2016-10-01,17147000000.00
2016-11-01,17022000000.00
2016-12-01,16298000000.00
2017-01-01,17974000000.00
2017-02-01,18039000000.00
2017-03-01,20114000000.00
2017-04-01,18339000000.00
2017-05-01,19214000000.00
2017-06-01,19347000000.00
2017-07-01,17548000000.00
2017-08-01,19551000000.00
2017-09-01,17865000000.00
2017-10-01,19347000000.00
2017-11-01,18919000000.00
2017-12-01,17874000000.00
2018-01-01,20226000000.00
2018-02-01,20441000000.00
2018-03-01,22966000000.00
2018-04-01,22374000000.00
2018-05-01,22448000000.00
