Date,RTWVDSC684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.61
1988-03-01,99.19
1988-04-01,98.12
1988-05-01,98.24
1988-06-01,99.55
1988-07-01,101.63
1988-08-01,102.44
1988-09-01,102.62
1988-10-01,100.52
1988-11-01,98.04
1988-12-01,97.36
1989-01-01,98.45
1989-02-01,98.47
1989-03-01,100.20
1989-04-01,99.75
1989-05-01,101.33
1989-06-01,102.78
1989-07-01,100.69
1989-08-01,101.68
1989-09-01,102.23
1989-10-01,100.86
1989-11-01,100.95
1989-12-01,100.36
1990-01-01,100.12
1990-02-01,100.19
1990-03-01,101.33
1990-04-01,100.32
1990-05-01,99.35
1990-06-01,99.97
1990-07-01,98.72
1990-08-01,97.15
1990-09-01,96.87
1990-10-01,95.16
1990-11-01,94.85
1990-12-01,95.56
1991-01-01,95.22
1991-02-01,94.74
1991-03-01,98.05
1991-04-01,99.17
1991-05-01,99.47
1991-06-01,100.85
1991-07-01,100.65
1991-08-01,99.40
1991-09-01,98.22
1991-10-01,97.60
1991-11-01,96.10
1991-12-01,95.26
1992-01-01,95.24
1992-02-01,96.35
1992-03-01,97.85
1992-04-01,97.12
1992-05-01,96.45
1992-06-01,95.50
1992-07-01,93.89
1992-08-01,93.11
1992-09-01,93.87
1992-10-01,96.07
1992-11-01,99.25
1992-12-01,99.33
1993-01-01,100.21
1993-02-01,100.33
1993-03-01,106.32
1993-04-01,109.27
1993-05-01,109.39
1993-06-01,110.45
1993-07-01,111.74
1993-08-01,112.15
1993-09-01,111.13
1993-10-01,112.12
1993-11-01,113.17
1993-12-01,113.17
1994-01-01,114.38
1994-02-01,114.22
1994-03-01,114.27
1994-04-01,114.75
1994-05-01,113.77
1994-06-01,113.06
1994-07-01,111.54
1994-08-01,111.13
1994-09-01,109.86
1994-10-01,108.99
1994-11-01,109.49
1994-12-01,111.32
1995-01-01,112.16
1995-02-01,111.36
1995-03-01,110.17
1995-04-01,107.29
1995-05-01,106.87
1995-06-01,106.99
1995-07-01,106.45
1995-08-01,108.19
1995-09-01,108.95
1995-10-01,108.64
1995-11-01,109.28
1995-12-01,109.75
1996-01-01,110.52
1996-02-01,110.49
1996-03-01,110.67
1996-04-01,110.86
1996-05-01,111.38
1996-06-01,111.45
1996-07-01,111.17
1996-08-01,110.54
1996-09-01,111.21
1996-10-01,111.62
1996-11-01,110.94
1996-12-01,112.10
1997-01-01,112.89
1997-02-01,114.79
1997-03-01,116.02
1997-04-01,116.66
1997-05-01,115.54
1997-06-01,115.77
1997-07-01,116.84
1997-08-01,118.49
1997-09-01,117.93
1997-10-01,117.93
1997-11-01,118.98
1997-12-01,121.65
1998-01-01,122.93
1998-02-01,122.48
1998-03-01,122.23
1998-04-01,122.13
1998-05-01,122.15
1998-06-01,123.85
1998-07-01,124.43
1998-08-01,126.34
1998-09-01,125.11
1998-10-01,123.19
1998-11-01,123.33
1998-12-01,122.54
1999-01-01,122.93
1999-02-01,124.25
1999-03-01,125.75
1999-04-01,124.95
1999-05-01,124.10
1999-06-01,125.27
1999-07-01,125.81
1999-08-01,124.98
1999-09-01,124.74
1999-10-01,124.22
1999-11-01,124.89
1999-12-01,125.07
2000-01-01,124.60
2000-02-01,126.29
2000-03-01,127.52
2000-04-01,128.50
2000-05-01,131.58
2000-06-01,129.72
2000-07-01,129.90
2000-08-01,131.01
2000-09-01,133.07
2000-10-01,135.20
