Date,RTWVDVA684NMFRBDAL
1988-01-01,100.00
1988-02-01,101.39
1988-03-01,100.24
1988-04-01,99.37
1988-05-01,100.02
1988-06-01,102.43
1988-07-01,105.94
1988-08-01,107.44
1988-09-01,107.49
1988-10-01,105.12
1988-11-01,101.94
1988-12-01,101.67
1989-01-01,104.13
1989-02-01,104.62
1989-03-01,105.80
1989-04-01,105.49
1989-05-01,108.74
1989-06-01,110.82
1989-07-01,107.51
1989-08-01,109.21
1989-09-01,110.14
1989-10-01,107.56
1989-11-01,106.83
1989-12-01,104.29
1990-01-01,103.10
1990-02-01,102.78
1990-03-01,104.27
1990-04-01,103.24
1990-05-01,101.73
1990-06-01,102.64
1990-07-01,101.02
1990-08-01,98.70
1990-09-01,97.99
1990-10-01,95.38
1990-11-01,94.36
1990-12-01,95.51
1991-01-01,95.42
1991-02-01,94.36
1991-03-01,99.65
1991-04-01,101.91
1991-05-01,102.61
1991-06-01,105.10
1991-07-01,104.87
1991-08-01,103.25
1991-09-01,101.42
1991-10-01,100.54
1991-11-01,98.13
1991-12-01,96.31
1992-01-01,96.16
1992-02-01,97.82
1992-03-01,100.06
1992-04-01,99.49
1992-05-01,98.41
1992-06-01,96.91
1992-07-01,94.82
1992-08-01,94.18
1992-09-01,95.33
1992-10-01,97.34
1992-11-01,100.67
1992-12-01,100.44
1993-01-01,101.37
1993-02-01,101.71
1993-03-01,101.05
1993-04-01,98.87
1993-05-01,98.91
1993-06-01,99.59
1993-07-01,100.73
1993-08-01,100.46
1993-09-01,99.03
1993-10-01,99.81
1993-11-01,100.70
1993-12-01,100.56
1994-01-01,101.27
1994-02-01,100.74
1994-03-01,100.37
1994-04-01,100.96
1994-05-01,99.96
1994-06-01,98.79
1994-07-01,97.23
1994-08-01,97.24
1994-09-01,96.32
1994-10-01,95.12
1994-11-01,95.43
1994-12-01,96.72
1995-01-01,96.02
1995-02-01,95.05
1995-03-01,92.81
1995-04-01,90.50
1995-05-01,90.70
1995-06-01,90.42
1995-07-01,89.96
1995-08-01,92.03
1995-09-01,92.87
1995-10-01,92.09
1995-11-01,92.25
1995-12-01,92.73
1996-01-01,93.52
1996-02-01,93.53
1996-03-01,93.91
1996-04-01,94.43
1996-05-01,95.01
1996-06-01,95.08
1996-07-01,94.71
1996-08-01,94.21
1996-09-01,94.99
1996-10-01,95.63
1996-11-01,95.08
1996-12-01,96.14
1997-01-01,97.38
1997-02-01,99.62
1997-03-01,100.61
1997-04-01,101.05
1997-05-01,99.93
1997-06-01,99.99
1997-07-01,101.10
1997-08-01,102.81
1997-09-01,102.33
1997-10-01,102.24
1997-11-01,102.82
1997-12-01,105.84
1998-01-01,107.14
1998-02-01,106.53
1998-03-01,106.78
1998-04-01,106.90
1998-05-01,106.91
1998-06-01,108.57
1998-07-01,109.21
1998-08-01,110.70
1998-09-01,109.09
1998-10-01,106.74
1998-11-01,107.35
1998-12-01,106.88
1999-01-01,106.99
1999-02-01,109.09
1999-03-01,110.78
1999-04-01,110.56
1999-05-01,110.37
1999-06-01,111.37
1999-07-01,111.88
1999-08-01,110.34
1999-09-01,109.61
1999-10-01,108.94
1999-11-01,109.77
1999-12-01,109.69
2000-01-01,109.69
2000-02-01,111.80
2000-03-01,112.54
2000-04-01,113.09
2000-05-01,115.87
2000-06-01,114.27
2000-07-01,114.79
2000-08-01,115.75
2000-09-01,117.42
2000-10-01,119.15
2000-11-01,119.89
2000-12-01,118.30
2001-01-01,118.02
2001-02-01,119.48
2001-03-01,121.90
2001-04-01,123.16
2001-05-01,123.30
2001-06-01,124.57
2001-07-01,124.66
2001-08-01,122.40
2001-09-01,122.84
2001-10-01,123.43
2001-11-01,123.95
2001-12-01,123.18
2002-01-01,124.63
2002-02-01,125.45
2002-03-01,124.89
2002-04-01,124.39
2002-05-01,122.08
2002-06-01,120.13
2002-07-01,118.05
2002-08-01,119.54
2002-09-01,120.19
2002-10-01,121.26
2002-11-01,119.46
2002-12-01,118.16
2003-01-01,115.89
2003-02-01,115.74
2003-03-01,115.50
2003-04-01,114.52
2003-05-01,109.98
2003-06-01,109.17
2003-07-01,110.78
2003-08-01,112.15
2003-09-01,110.78
2003-10-01,107.89
2003-11-01,107.32
2003-12-01,104.93
2004-01-01,103.31
2004-02-01,104.12
2004-03-01,105.79
2004-04-01,106.75
2004-05-01,108.81
2004-06-01,107.90
2004-07-01,106.41
2004-08-01,106.44
2004-09-01,105.95
2004-10-01,104.38
2004-11-01,101.18
2004-12-01,99.66
2005-01-01,100.65
2005-02-01,101.09
2005-03-01,100.67
2005-04-01,102.22
2005-05-01,102.93
2005-06-01,104.29
2005-07-01,104.85
2005-08-01,103.49
2005-09-01,104.05
2005-10-01,105.34
2005-11-01,105.64
2005-12-01,104.27
2006-01-01,103.33
2006-02-01,103.53
2006-03-01,103.92
2006-04-01,103.20
2006-05-01,100.84
2006-06-01,102.12
2006-07-01,102.09
2006-08-01,101.08
2006-09-01,101.13
2006-10-01,101.17
2006-11-01,99.90
2006-12-01,98.86
2007-01-01,100.15
2007-02-01,99.81
2007-03-01,99.83
2007-04-01,98.40
2007-05-01,97.94
2007-06-01,97.59
2007-07-01,95.71
2007-08-01,95.91
2007-09-01,94.53
2007-10-01,92.05
2007-11-01,90.74
2007-12-01,91.59
2008-01-01,91.34
2008-02-01,90.23
2008-03-01,88.67
2008-04-01,88.29
2008-05-01,88.69
2008-06-01,89.16
2008-07-01,88.39
2008-08-01,90.74
2008-09-01,93.32
2008-10-01,99.46
2008-11-01,101.05
2008-12-01,99.11
2009-01-01,100.23
2009-02-01,102.67
2009-03-01,103.25
2009-04-01,100.55
2009-05-01,97.14
2009-06-01,95.94
2009-07-01,95.19
2009-08-01,93.64
2009-09-01,93.01
2009-10-01,91.54
2009-11-01,90.93
2009-12-01,91.31
2010-01-01,91.47
2010-02-01,92.71
2010-03-01,92.19
2010-04-01,91.21
2010-05-01,93.98
2010-06-01,94.58
2010-07-01,92.68
2010-08-01,91.70
2010-09-01,90.88
2010-10-01,88.25
2010-11-01,88.28
2010-12-01,88.92
2011-01-01,88.34
2011-02-01,87.45
2011-03-01,87.13
2011-04-01,85.67
2011-05-01,86.01
2011-06-01,85.93
2011-07-01,85.04
2011-08-01,85.54
2011-09-01,88.27
2011-10-01,89.00
2011-11-01,89.17
2011-12-01,89.88
2012-01-01,89.41
2012-02-01,87.67
2012-03-01,88.52
2012-04-01,88.62
2012-05-01,90.31
2012-06-01,91.69
2012-07-01,90.71
2012-08-01,89.94
2012-09-01,89.08
2012-10-01,88.87
2012-11-01,89.06
2012-12-01,88.00
2013-01-01,87.93
2013-02-01,88.84
2013-03-01,90.19
2013-04-01,89.62
2013-05-01,90.01
2013-06-01,90.69
2013-07-01,90.93
2013-08-01,90.66
2013-09-01,90.43
2013-10-01,89.41
2013-11-01,89.87
2013-12-01,89.99
2014-01-01,91.08
2014-02-01,91.10
2014-03-01,91.22
2014-04-01,90.53
2014-05-01,90.31
2014-06-01,90.39
2014-07-01,89.79
2014-08-01,90.51
2014-09-01,91.92
2014-10-01,93.14
2014-11-01,94.08
2014-12-01,95.37
2015-01-01,97.59
2015-02-01,98.96
2015-03-01,101.38
2015-04-01,100.45
2015-05-01,99.56
2015-06-01,100.55
2015-07-01,102.18
2015-08-01,103.86
2015-09-01,105.05
2015-10-01,104.08
2015-11-01,105.37
2015-12-01,106.22
2016-01-01,108.51
2016-02-01,106.86
2016-03-01,105.11
2016-04-01,103.57
2016-05-01,104.65
2016-06-01,105.17
2016-07-01,105.59
2016-08-01,104.71
2016-09-01,105.60
2016-10-01,106.96
2016-11-01,109.47
2016-12-01,110.74
2017-01-01,110.52
2017-02-01,109.12
2017-03-01,109.23
2017-04-01,108.56
2017-05-01,108.15
2017-06-01,106.86
2017-07-01,104.44
2017-08-01,103.31
2017-09-01,102.70
2017-10-01,104.42
2017-11-01,104.72
2017-12-01,104.09
2018-01-01,101.97
