Date,U34ITI
1992-01-01,3895000000.00
1992-02-01,3911000000.00
1992-03-01,3840000000.00
1992-04-01,3885000000.00
1992-05-01,3864000000.00
1992-06-01,3754000000.00
1992-07-01,3742000000.00
1992-08-01,3638000000.00
1992-09-01,3549000000.00
1992-10-01,3555000000.00
1992-11-01,3491000000.00
1992-12-01,3154000000.00
1993-01-01,3072000000.00
1993-02-01,3250000000.00
1993-03-01,3182000000.00
1993-04-01,3216000000.00
1993-05-01,3205000000.00
1993-06-01,3184000000.00
1993-07-01,3155000000.00
1993-08-01,3153000000.00
1993-09-01,3183000000.00
1993-10-01,3211000000.00
1993-11-01,3133000000.00
1993-12-01,2839000000.00
1994-01-01,2814000000.00
1994-02-01,2798000000.00
1994-03-01,2789000000.00
1994-04-01,2765000000.00
1994-05-01,2666000000.00
1994-06-01,2747000000.00
1994-07-01,2737000000.00
1994-08-01,2733000000.00
1994-09-01,2733000000.00
1994-10-01,2710000000.00
1994-11-01,2758000000.00
1994-12-01,2692000000.00
1995-01-01,2683000000.00
1995-02-01,2764000000.00
1995-03-01,2741000000.00
1995-04-01,2763000000.00
1995-05-01,2748000000.00
1995-06-01,2767000000.00
1995-07-01,2808000000.00
1995-08-01,2860000000.00
1995-09-01,2839000000.00
1995-10-01,2891000000.00
1995-11-01,2987000000.00
1995-12-01,2969000000.00
1996-01-01,2960000000.00
1996-02-01,2986000000.00
1996-03-01,2909000000.00
1996-04-01,3084000000.00
1996-05-01,2999000000.00
1996-06-01,2988000000.00
1996-07-01,3076000000.00
1996-08-01,2952000000.00
1996-09-01,2907000000.00
1996-10-01,2851000000.00
1996-11-01,2797000000.00
1996-12-01,2763000000.00
1997-01-01,2843000000.00
1997-02-01,2848000000.00
1997-03-01,2858000000.00
1997-04-01,2912000000.00
1997-05-01,2885000000.00
1997-06-01,2875000000.00
1997-07-01,2913000000.00
1997-08-01,2874000000.00
1997-09-01,2689000000.00
1997-10-01,2643000000.00
1997-11-01,2664000000.00
1997-12-01,2697000000.00
1998-01-01,2718000000.00
1998-02-01,2780000000.00
1998-03-01,2812000000.00
1998-04-01,2881000000.00
1998-05-01,2952000000.00
1998-06-01,2951000000.00
1998-07-01,2934000000.00
1998-08-01,2890000000.00
1998-09-01,2824000000.00
1998-10-01,2847000000.00
1998-11-01,2811000000.00
1998-12-01,2637000000.00
1999-01-01,2687000000.00
1999-02-01,2869000000.00
1999-03-01,2899000000.00
1999-04-01,3036000000.00
1999-05-01,3005000000.00
1999-06-01,2906000000.00
1999-07-01,3054000000.00
1999-08-01,3011000000.00
1999-09-01,2932000000.00
1999-10-01,2964000000.00
1999-11-01,2932000000.00
1999-12-01,2818000000.00
2000-01-01,2877000000.00
2000-02-01,2847000000.00
2000-03-01,2757000000.00
2000-04-01,2869000000.00
2000-05-01,2825000000.00
2000-06-01,2801000000.00
2000-07-01,2884000000.00
2000-08-01,2871000000.00
2000-09-01,2815000000.00
2000-10-01,2832000000.00
2000-11-01,2865000000.00
2000-12-01,2776000000.00
2001-01-01,2712000000.00
2001-02-01,2688000000.00
2001-03-01,2606000000.00
2001-04-01,2612000000.00
2001-05-01,2636000000.00
2001-06-01,2671000000.00
2001-07-01,2625000000.00
2001-08-01,2657000000.00
2001-09-01,2542000000.00
2001-10-01,2521000000.00
2001-11-01,2467000000.00
2001-12-01,2529000000.00
2002-01-01,2455000000.00
2002-02-01,2435000000.00
2002-03-01,2364000000.00
2002-04-01,2347000000.00
2002-05-01,2360000000.00
2002-06-01,2317000000.00
2002-07-01,2224000000.00
2002-08-01,2191000000.00
2002-09-01,2155000000.00
2002-10-01,2208000000.00
2002-11-01,2154000000.00
2002-12-01,2051000000.00
2003-01-01,2038000000.00
2003-02-01,2042000000.00
2003-03-01,1977000000.00
2003-04-01,2005000000.00
2003-05-01,1982000000.00
2003-06-01,1972000000.00
2003-07-01,2014000000.00
2003-08-01,1973000000.00
2003-09-01,1925000000.00
2003-10-01,2097000000.00
2003-11-01,2065000000.00
2003-12-01,1964000000.00
2004-01-01,2010000000.00
2004-02-01,2025000000.00
2004-03-01,2000000000.00
2004-04-01,2030000000.00
2004-05-01,2008000000.00
2004-06-01,2016000000.00
2004-07-01,2044000000.00
2004-08-01,2057000000.00
2004-09-01,2071000000.00
2004-10-01,2131000000.00
2004-11-01,2148000000.00
2004-12-01,2130000000.00
2005-01-01,2216000000.00
2005-02-01,2314000000.00
2005-03-01,2357000000.00
2005-04-01,2460000000.00
2005-05-01,2512000000.00
2005-06-01,2513000000.00
2005-07-01,2629000000.00
2005-08-01,2686000000.00
2005-09-01,2732000000.00
2005-10-01,2767000000.00
2005-11-01,2852000000.00
2005-12-01,2884000000.00
2006-01-01,2902000000.00
2006-02-01,2890000000.00
2006-03-01,2917000000.00
2006-04-01,2916000000.00
2006-05-01,2929000000.00
2006-06-01,2937000000.00
2006-07-01,2988000000.00
2006-08-01,2923000000.00
2006-09-01,2867000000.00
2006-10-01,2822000000.00
2006-11-01,2764000000.00
2006-12-01,2783000000.00
2007-01-01,2783000000.00
2007-02-01,2807000000.00
2007-03-01,2862000000.00
2007-04-01,2849000000.00
2007-05-01,2963000000.00
2007-06-01,3032000000.00
2007-07-01,3087000000.00
2007-08-01,3008000000.00
2007-09-01,3036000000.00
2007-10-01,3068000000.00
2007-11-01,2948000000.00
2007-12-01,2898000000.00
2008-01-01,2924000000.00
2008-02-01,2938000000.00
2008-03-01,2934000000.00
2008-04-01,2949000000.00
2008-05-01,2925000000.00
2008-06-01,2856000000.00
2008-07-01,2964000000.00
2008-08-01,2924000000.00
2008-09-01,2963000000.00
2008-10-01,3042000000.00
2008-11-01,2731000000.00
2008-12-01,2642000000.00
2009-01-01,2706000000.00
2009-02-01,2581000000.00
2009-03-01,2502000000.00
2009-04-01,2585000000.00
2009-05-01,2628000000.00
2009-06-01,2615000000.00
2009-07-01,2611000000.00
2009-08-01,2739000000.00
2009-09-01,2700000000.00
2009-10-01,2781000000.00
2009-11-01,2790000000.00
2009-12-01,2766000000.00
2010-01-01,2824000000.00
2010-02-01,2869000000.00
2010-03-01,2879000000.00
2010-04-01,2912000000.00
2010-05-01,2919000000.00
