Date,UNDETI
2008-08-01,135266000000.00
2008-09-01,132111000000.00
2008-10-01,133704000000.00
2008-11-01,134839000000.00
2008-12-01,130421000000.00
2009-01-01,133695000000.00
2009-02-01,135393000000.00
2009-03-01,131534000000.00
2009-04-01,132540000000.00
2009-05-01,132210000000.00
2009-06-01,128363000000.00
2009-07-01,128773000000.00
2009-08-01,127802000000.00
2009-09-01,124275000000.00
2009-10-01,126344000000.00
2009-11-01,128171000000.00
2009-12-01,121903000000.00
2010-01-01,125795000000.00
2010-02-01,128117000000.00
2010-03-01,125951000000.00
2010-04-01,128420000000.00
2010-05-01,130477000000.00
2010-06-01,130085000000.00
2010-07-01,132419000000.00
2010-08-01,134358000000.00
2010-09-01,134241000000.00
2010-10-01,137319000000.00
2010-11-01,139609000000.00
2010-12-01,134747000000.00
2011-01-01,140493000000.00
2011-02-01,143738000000.00
2011-03-01,144669000000.00
2011-04-01,148120000000.00
2011-05-01,151167000000.00
2011-06-01,149846000000.00
2011-07-01,152870000000.00
2011-08-01,154914000000.00
2011-09-01,151560000000.00
2011-10-01,154209000000.00
2011-11-01,155953000000.00
2011-12-01,148958000000.00
2012-01-01,154929000000.00
2012-02-01,157822000000.00
2012-03-01,157461000000.00
2012-04-01,160095000000.00
2012-05-01,162284000000.00
2012-06-01,159996000000.00
2012-07-01,163368000000.00
2012-08-01,165777000000.00
2012-09-01,163070000000.00
2012-10-01,165282000000.00
2012-11-01,166403000000.00
2012-12-01,157843000000.00
2013-01-01,164021000000.00
2013-02-01,166525000000.00
2013-03-01,164135000000.00
2013-04-01,166988000000.00
2013-05-01,167056000000.00
2013-06-01,163663000000.00
2013-07-01,165657000000.00
2013-08-01,166806000000.00
2013-09-01,163942000000.00
2013-10-01,165963000000.00
2013-11-01,166639000000.00
2013-12-01,159446000000.00
2014-01-01,164527000000.00
2014-02-01,168179000000.00
2014-03-01,166387000000.00
2014-04-01,169684000000.00
2014-05-01,173447000000.00
2014-06-01,169925000000.00
2014-07-01,173924000000.00
2014-08-01,175095000000.00
2014-09-01,172709000000.00
2014-10-01,173377000000.00
2014-11-01,174693000000.00
2014-12-01,166393000000.00
2015-01-01,172583000000.00
2015-02-01,175081000000.00
2015-03-01,173075000000.00
2015-04-01,176440000000.00
2015-05-01,177368000000.00
2015-06-01,175574000000.00
2015-07-01,179122000000.00
2015-08-01,179297000000.00
2015-09-01,175949000000.00
2015-10-01,177537000000.00
2015-11-01,178052000000.00
2015-12-01,171545000000.00
2016-01-01,175024000000.00
2016-02-01,176557000000.00
2016-03-01,173967000000.00
2016-04-01,175495000000.00
2016-05-01,175315000000.00
2016-06-01,170122000000.00
2016-07-01,172022000000.00
2016-08-01,172623000000.00
2016-09-01,169335000000.00
2016-10-01,169626000000.00
2016-11-01,170515000000.00
2016-12-01,163344000000.00
2017-01-01,167510000000.00
2017-02-01,170211000000.00
2017-03-01,169516000000.00
2017-04-01,170181000000.00
2017-05-01,171633000000.00
2017-06-01,169390000000.00
2017-07-01,171331000000.00
2017-08-01,172772000000.00
2017-09-01,171458000000.00
2017-10-01,173135000000.00
2017-11-01,174325000000.00
2017-12-01,167598000000.00
2018-01-01,173149000000.00
2018-02-01,177195000000.00
2018-03-01,174897000000.00
2018-04-01,177355000000.00
2018-05-01,178800000000.00
