Date,U33IUO
1992-01-01,6870000000.00
1992-02-01,6887000000.00
1992-03-01,6829000000.00
1992-04-01,6947000000.00
1992-05-01,6801000000.00
1992-06-01,6674000000.00
1992-07-01,6755000000.00
1992-08-01,6514000000.00
1992-09-01,6432000000.00
1992-10-01,6304000000.00
1992-11-01,6068000000.00
1992-12-01,5878000000.00
1993-01-01,5665000000.00
1993-02-01,5791000000.00
1993-03-01,5768000000.00
1993-04-01,5826000000.00
1993-05-01,5666000000.00
1993-06-01,5780000000.00
1993-07-01,5764000000.00
1993-08-01,5761000000.00
1993-09-01,5698000000.00
1993-10-01,5533000000.00
1993-11-01,5546000000.00
1993-12-01,5737000000.00
1994-01-01,6102000000.00
1994-02-01,6234000000.00
1994-03-01,6593000000.00
1994-04-01,6786000000.00
1994-05-01,6737000000.00
1994-06-01,7007000000.00
1994-07-01,7084000000.00
1994-08-01,7219000000.00
1994-09-01,7271000000.00
1994-10-01,7263000000.00
1994-11-01,7402000000.00
1994-12-01,7432000000.00
1995-01-01,7710000000.00
1995-02-01,7888000000.00
1995-03-01,8220000000.00
1995-04-01,8408000000.00
1995-05-01,8619000000.00
1995-06-01,8594000000.00
1995-07-01,8637000000.00
1995-08-01,8477000000.00
1995-09-01,8389000000.00
1995-10-01,8223000000.00
1995-11-01,7914000000.00
1995-12-01,7510000000.00
1996-01-01,7646000000.00
1996-02-01,7828000000.00
1996-03-01,7897000000.00
1996-04-01,7910000000.00
1996-05-01,8081000000.00
1996-06-01,8059000000.00
1996-07-01,8260000000.00
1996-08-01,8315000000.00
1996-09-01,8282000000.00
1996-10-01,8279000000.00
1996-11-01,7976000000.00
1996-12-01,7664000000.00
1997-01-01,7856000000.00
1997-02-01,8041000000.00
1997-03-01,8011000000.00
1997-04-01,8236000000.00
1997-05-01,8034000000.00
1997-06-01,7553000000.00
1997-07-01,7425000000.00
1997-08-01,7579000000.00
1997-09-01,7161000000.00
1997-10-01,7181000000.00
1997-11-01,7178000000.00
1997-12-01,6770000000.00
1998-01-01,6825000000.00
1998-02-01,6969000000.00
1998-03-01,7177000000.00
1998-04-01,7113000000.00
1998-05-01,7093000000.00
1998-06-01,7060000000.00
1998-07-01,7111000000.00
1998-08-01,7068000000.00
1998-09-01,6639000000.00
1998-10-01,6460000000.00
1998-11-01,6470000000.00
1998-12-01,6263000000.00
1999-01-01,6293000000.00
1999-02-01,6414000000.00
1999-03-01,6391000000.00
1999-04-01,6576000000.00
1999-05-01,6644000000.00
1999-06-01,6539000000.00
1999-07-01,6778000000.00
1999-08-01,6668000000.00
1999-09-01,6629000000.00
1999-10-01,6569000000.00
1999-11-01,6593000000.00
1999-12-01,6309000000.00
2000-01-01,6462000000.00
2000-02-01,6564000000.00
2000-03-01,6452000000.00
2000-04-01,6466000000.00
2000-05-01,6413000000.00
2000-06-01,6206000000.00
2000-07-01,5990000000.00
2000-08-01,5962000000.00
2000-09-01,5960000000.00
2000-10-01,5838000000.00
2000-11-01,5755000000.00
2000-12-01,5366000000.00
2001-01-01,5373000000.00
2001-02-01,5346000000.00
2001-03-01,5201000000.00
2001-04-01,5082000000.00
2001-05-01,5202000000.00
2001-06-01,4844000000.00
2001-07-01,4710000000.00
2001-08-01,4480000000.00
2001-09-01,4138000000.00
2001-10-01,4014000000.00
2001-11-01,3866000000.00
2001-12-01,3639000000.00
2002-01-01,3667000000.00
2002-02-01,3666000000.00
2002-03-01,3608000000.00
2002-04-01,3523000000.00
2002-05-01,3491000000.00
2002-06-01,3335000000.00
2002-07-01,3368000000.00
2002-08-01,3381000000.00
2002-09-01,3346000000.00
2002-10-01,3412000000.00
2002-11-01,3408000000.00
2002-12-01,3311000000.00
2003-01-01,3305000000.00
2003-02-01,3362000000.00
2003-03-01,3309000000.00
2003-04-01,3245000000.00
2003-05-01,3181000000.00
2003-06-01,3124000000.00
2003-07-01,3122000000.00
2003-08-01,3054000000.00
2003-09-01,3087000000.00
2003-10-01,3208000000.00
2003-11-01,3350000000.00
2003-12-01,3352000000.00
2004-01-01,3494000000.00
2004-02-01,3593000000.00
2004-03-01,3688000000.00
2004-04-01,3753000000.00
2004-05-01,3837000000.00
2004-06-01,3829000000.00
2004-07-01,3798000000.00
2004-08-01,3693000000.00
2004-09-01,3642000000.00
2004-10-01,3753000000.00
2004-11-01,3758000000.00
2004-12-01,3779000000.00
2005-01-01,4115000000.00
2005-02-01,4299000000.00
2005-03-01,4261000000.00
