Date,RTWVDWI684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.31
1988-03-01,98.82
1988-04-01,97.94
1988-05-01,98.19
1988-06-01,99.21
1988-07-01,101.11
1988-08-01,102.36
1988-09-01,102.72
1988-10-01,100.55
1988-11-01,98.61
1988-12-01,97.77
1989-01-01,99.04
1989-02-01,99.25
1989-03-01,100.39
1989-04-01,100.26
1989-05-01,102.26
1989-06-01,103.78
1989-07-01,101.64
1989-08-01,102.08
1989-09-01,102.85
1989-10-01,101.30
1989-11-01,100.89
1989-12-01,99.45
1990-01-01,99.27
1990-02-01,99.73
1990-03-01,100.34
1990-04-01,99.36
1990-05-01,98.79
1990-06-01,99.09
1990-07-01,97.33
1990-08-01,95.99
1990-09-01,96.33
1990-10-01,95.01
1990-11-01,94.61
1990-12-01,95.23
1991-01-01,94.66
1991-02-01,94.24
1991-03-01,96.81
1991-04-01,97.75
1991-05-01,97.91
1991-06-01,98.92
1991-07-01,99.01
1991-08-01,98.08
1991-09-01,97.07
1991-10-01,96.55
1991-11-01,95.27
1991-12-01,94.90
1992-01-01,95.04
1992-02-01,96.45
1992-03-01,97.90
1992-04-01,97.44
1992-05-01,97.00
1992-06-01,96.14
1992-07-01,94.88
1992-08-01,94.58
1992-09-01,95.99
1992-10-01,98.25
1992-11-01,100.91
1992-12-01,100.89
1993-01-01,101.75
1993-02-01,101.79
1993-03-01,101.40
1993-04-01,100.39
1993-05-01,100.52
1993-06-01,101.48
1993-07-01,102.39
1993-08-01,103.03
1993-09-01,102.66
1993-10-01,103.40
1993-11-01,103.83
1993-12-01,104.06
1994-01-01,104.63
1994-02-01,105.14
1994-03-01,105.63
1994-04-01,106.09
1994-05-01,105.33
1994-06-01,104.76
1994-07-01,103.80
1994-08-01,103.60
1994-09-01,102.38
1994-10-01,101.72
1994-11-01,102.17
1994-12-01,104.05
1995-01-01,105.19
1995-02-01,104.42
1995-03-01,103.44
1995-04-01,100.67
1995-05-01,100.27
1995-06-01,100.65
1995-07-01,99.95
1995-08-01,101.40
1995-09-01,101.98
1995-10-01,101.73
1995-11-01,102.27
1995-12-01,102.91
1996-01-01,103.61
1996-02-01,103.69
1996-03-01,103.73
1996-04-01,103.83
1996-05-01,104.22
1996-06-01,104.27
1996-07-01,104.25
1996-08-01,103.96
1996-09-01,104.32
1996-10-01,104.42
1996-11-01,103.67
1996-12-01,104.72
1997-01-01,105.38
1997-02-01,106.99
1997-03-01,108.06
1997-04-01,108.84
1997-05-01,107.61
1997-06-01,107.63
1997-07-01,108.38
1997-08-01,110.07
1997-09-01,110.05
1997-10-01,110.27
1997-11-01,111.67
1997-12-01,114.65
1998-01-01,116.10
1998-02-01,115.37
1998-03-01,114.94
1998-04-01,115.41
1998-05-01,116.01
1998-06-01,117.85
1998-07-01,118.91
1998-08-01,121.41
1998-09-01,119.73
1998-10-01,118.18
1998-11-01,118.12
1998-12-01,117.75
1999-01-01,117.29
1999-02-01,117.93
1999-03-01,119.52
1999-04-01,118.63
1999-05-01,117.55
1999-06-01,118.44
1999-07-01,119.36
1999-08-01,118.54
1999-09-01,117.80
1999-10-01,117.41
1999-11-01,117.85
1999-12-01,117.95
2000-01-01,117.36
2000-02-01,118.79
2000-03-01,119.77
2000-04-01,120.61
2000-05-01,123.26
2000-06-01,121.77
2000-07-01,122.03
2000-08-01,122.87
2000-09-01,124.41
2000-10-01,126.45
2000-11-01,127.66
2000-12-01,125.73
2001-01-01,125.66
2001-02-01,126.91
2001-03-01,129.30
2001-04-01,129.82
2001-05-01,129.37
2001-06-01,129.89
2001-07-01,130.17
2001-08-01,128.64
2001-09-01,129.88
2001-10-01,130.46
2001-11-01,131.56
2001-12-01,130.70
2002-01-01,132.29
2002-02-01,132.78
2002-03-01,132.14
2002-04-01,131.59
2002-05-01,129.26
2002-06-01,127.50
2002-07-01,126.20
2002-08-01,127.84
2002-09-01,128.65
2002-10-01,129.43
2002-11-01,127.84
2002-12-01,126.72
2003-01-01,124.72
2003-02-01,124.10
2003-03-01,123.27
2003-04-01,122.10
2003-05-01,116.96
2003-06-01,115.87
2003-07-01,117.50
2003-08-01,118.91
2003-09-01,117.31
2003-10-01,114.27
2003-11-01,113.23
2003-12-01,111.59
2004-01-01,109.94
2004-02-01,111.41
2004-03-01,112.66
2004-04-01,113.73
2004-05-01,116.30
2004-06-01,115.21
2004-07-01,113.30
2004-08-01,113.10
2004-09-01,112.23
2004-10-01,110.24
2004-11-01,106.69
2004-12-01,105.94
2005-01-01,106.84
2005-02-01,107.40
2005-03-01,106.75
2005-04-01,108.31
2005-05-01,109.00
2005-06-01,109.41
2005-07-01,109.44
2005-08-01,108.10
2005-09-01,108.19
2005-10-01,109.40
2005-11-01,109.30
2005-12-01,107.66
2006-01-01,106.94
2006-02-01,106.96
2006-03-01,107.74
2006-04-01,107.46
2006-05-01,105.38
2006-06-01,106.79
2006-07-01,106.83
2006-08-01,105.75
2006-09-01,105.65
2006-10-01,105.68
2006-11-01,104.78
2006-12-01,104.37
2007-01-01,105.77
2007-02-01,105.48
2007-03-01,105.67
2007-04-01,103.94
2007-05-01,102.66
2007-06-01,101.76
2007-07-01,99.93
2007-08-01,100.40
2007-09-01,98.82
2007-10-01,95.94
2007-11-01,94.99
2007-12-01,96.17
2008-01-01,96.27
2008-02-01,95.06
2008-03-01,94.29
2008-04-01,94.15
2008-05-01,94.23
2008-06-01,95.17
2008-07-01,94.52
2008-08-01,96.88
2008-09-01,99.04
2008-10-01,107.49
2008-11-01,108.65
2008-12-01,107.67
2009-01-01,108.50
2009-02-01,111.05
2009-03-01,111.93
2009-04-01,108.54
2009-05-01,104.42
2009-06-01,103.25
2009-07-01,102.61
2009-08-01,100.68
2009-09-01,100.15
2009-10-01,98.47
2009-11-01,97.78
2009-12-01,97.75
2010-01-01,97.53
2010-02-01,98.72
2010-03-01,97.42
2010-04-01,96.33
2010-05-01,99.51
2010-06-01,99.91
2010-07-01,98.47
2010-08-01,97.57
2010-09-01,96.70
2010-10-01,94.05
2010-11-01,93.93
2010-12-01,94.30
2011-01-01,93.33
2011-02-01,92.58
2011-03-01,92.07
2011-04-01,90.56
2011-05-01,90.99
2011-06-01,91.30
2011-07-01,90.04
2011-08-01,91.37
2011-09-01,94.14
2011-10-01,95.27
2011-11-01,95.51
2011-12-01,96.02
2012-01-01,95.25
2012-02-01,93.31
2012-03-01,94.03
2012-04-01,94.28
2012-05-01,96.17
2012-06-01,97.70
2012-07-01,96.23
2012-08-01,95.13
2012-09-01,94.17
2012-10-01,94.13
2012-11-01,94.53
2012-12-01,93.61
2013-01-01,93.59
2013-02-01,94.54
2013-03-01,95.58
2013-04-01,94.94
2013-05-01,95.53
2013-06-01,97.06
2013-07-01,97.43
2013-08-01,97.39
2013-09-01,97.06
2013-10-01,96.17
2013-11-01,96.87
2013-12-01,97.39
2014-01-01,99.01
2014-02-01,99.25
2014-03-01,99.44
2014-04-01,98.55
2014-05-01,98.10
2014-06-01,98.06
2014-07-01,97.46
2014-08-01,98.49
2014-09-01,99.84
2014-10-01,101.19
2014-11-01,102.21
2014-12-01,104.19
2015-01-01,106.97
2015-02-01,108.78
