Date,WJFUELUSGULF
1990-04-06,0.55
1990-04-13,0.54
1990-04-20,0.54
1990-04-27,0.53
1990-05-04,0.52
1990-05-11,0.52
1990-05-18,0.52
1990-05-25,0.51
1990-06-01,0.50
1990-06-08,0.49
1990-06-15,0.50
1990-06-22,0.49
1990-06-29,0.50
1990-07-06,0.49
1990-07-13,0.51
1990-07-20,0.55
1990-07-27,0.56
1990-08-03,0.60
1990-08-10,0.72
1990-08-17,0.78
1990-08-24,0.95
1990-08-31,0.82
1990-09-07,0.90
1990-09-14,0.92
1990-09-21,0.99
1990-09-28,1.22
1990-10-05,1.24
1990-10-12,1.38
1990-10-19,1.23
1990-10-26,1.00
1990-11-02,1.06
1990-11-09,1.02
1990-11-16,0.95
1990-11-23,0.91
1990-11-30,0.96
1990-12-07,0.85
1990-12-14,0.76
1990-12-21,0.77
1990-12-28,0.82
1991-01-04,0.76
1991-01-11,0.79
1991-01-18,0.80
1991-01-25,0.70
1991-02-01,0.67
1991-02-08,0.68
1991-02-15,0.68
1991-02-22,0.61
1991-03-01,0.56
1991-03-08,0.56
1991-03-15,0.56
1991-03-22,0.57
1991-03-29,0.55
1991-04-05,0.54
1991-04-12,0.56
1991-04-19,0.56
1991-04-26,0.56
1991-05-03,0.55
1991-05-10,0.57
1991-05-17,0.57
1991-05-24,0.58
1991-05-31,0.58
1991-06-07,0.56
1991-06-14,0.54
1991-06-21,0.54
1991-06-28,0.55
1991-07-05,0.57
1991-07-12,0.58
1991-07-19,0.59
1991-07-26,0.59
1991-08-02,0.60
1991-08-09,0.60
1991-08-16,0.61
1991-08-23,0.65
1991-08-30,0.65
1991-09-06,0.65
1991-09-13,0.63
1991-09-20,0.63
1991-09-27,0.64
1991-10-04,0.64
1991-10-11,0.66
1991-10-18,0.68
1991-10-25,0.68
1991-11-01,0.69
1991-11-08,0.70
1991-11-15,0.65
1991-11-22,0.62
1991-11-29,0.61
1991-12-06,0.58
1991-12-13,0.52
1991-12-20,0.52
1991-12-27,0.48
1992-01-03,0.48
1992-01-10,0.47
1992-01-17,0.52
1992-01-24,0.53
1992-01-31,0.53
1992-02-07,0.56
1992-02-14,0.56
1992-02-21,0.53
1992-02-28,0.52
1992-03-06,0.51
1992-03-13,0.51
1992-03-20,0.53
1992-03-27,0.51
1992-04-03,0.52
1992-04-10,0.54
1992-04-17,0.54
1992-04-24,0.55
1992-05-01,0.56
1992-05-08,0.58
1992-05-15,0.58
1992-05-22,0.56
1992-05-29,0.60
1992-06-05,0.61
1992-06-12,0.61
1992-06-19,0.61
1992-06-26,0.63
1992-07-03,0.61
1992-07-10,0.60
1992-07-17,0.61
1992-07-24,0.62
1992-07-31,0.62
1992-08-07,0.59
1992-08-14,0.58
1992-08-21,0.59
1992-08-28,0.59
1992-09-04,0.61
1992-09-11,0.62
1992-09-18,0.63
1992-09-25,0.63
1992-10-02,0.63
1992-10-09,0.63
1992-10-16,0.64
1992-10-23,0.62
1992-10-30,0.60
1992-11-06,0.57
1992-11-13,0.56
1992-11-20,0.56
1992-11-27,0.55
1992-12-04,0.54
1992-12-11,0.53
1992-12-18,0.53
1992-12-25,0.57
1993-01-01,0.57
1993-01-08,0.54
1993-01-15,0.53
1993-01-22,0.52
1993-01-29,0.55
1993-02-05,0.56
1993-02-12,0.56
1993-02-19,0.53
1993-02-26,0.56
1993-03-05,0.57
1993-03-12,0.56
1993-03-19,0.56
1993-03-26,0.55
1993-04-02,0.54
1993-04-09,0.55
1993-04-16,0.55
1993-04-23,0.55
1993-04-30,0.55
1993-05-07,0.56
1993-05-14,0.55
1993-05-21,0.55
1993-05-28,0.55
1993-06-04,0.55
1993-06-11,0.53
1993-06-18,0.52
1993-06-25,0.52
1993-07-02,0.52
1993-07-09,0.50
1993-07-16,0.49
1993-07-23,0.49
1993-07-30,0.50
1993-08-06,0.49
1993-08-13,0.49
1993-08-20,0.50
1993-08-27,0.52
1993-09-03,0.52
1993-09-10,0.51
1993-09-17,0.52
1993-09-24,0.55
1993-10-01,0.57
1993-10-08,0.57
1993-10-15,0.58
1993-10-22,0.56
1993-10-29,0.56
1993-11-05,0.55
1993-11-12,0.53
1993-11-19,0.54
1993-11-26,0.53
1993-12-03,0.48
1993-12-10,0.43
1993-12-17,0.44
1993-12-24,0.45
1993-12-31,0.45
1994-01-07,0.49
1994-01-14,0.53
1994-01-21,0.54
1994-01-28,0.56
1994-02-04,0.58
1994-02-11,0.53
1994-02-18,0.46
1994-02-25,0.46
1994-03-04,0.46
1994-03-11,0.44
1994-03-18,0.46
1994-03-25,0.46
1994-04-01,0.44
1994-04-08,0.46
1994-04-15,0.47
1994-04-22,0.47
1994-04-29,0.47
1994-05-06,0.46
1994-05-13,0.48
1994-05-20,0.47
1994-05-27,0.48
1994-06-03,0.48
1994-06-10,0.46
1994-06-17,0.50
1994-06-24,0.51
1994-07-01,0.51
1994-07-08,0.50
1994-07-15,0.51
1994-07-22,0.51
1994-07-29,0.52
1994-08-05,0.53
1994-08-12,0.50
1994-08-19,0.49
1994-08-26,0.48
1994-09-02,0.50
1994-09-09,0.50
1994-09-16,0.48
1994-09-23,0.49
1994-09-30,0.50
1994-10-07,0.51
1994-10-14,0.49
1994-10-21,0.51
1994-10-28,0.53
1994-11-04,0.53
1994-11-11,0.52
1994-11-18,0.50
1994-11-25,0.51
1994-12-02,0.50
1994-12-09,0.49
1994-12-16,0.49
1994-12-23,0.47
1994-12-30,0.50
1995-01-06,0.49
1995-01-13,0.46
1995-01-20,0.47
1995-01-27,0.46
1995-02-03,0.48
1995-02-10,0.48
1995-02-17,0.46
1995-02-24,0.46
1995-03-03,0.45
1995-03-10,0.44
1995-03-17,0.44
1995-03-24,0.45
1995-03-31,0.47
1995-04-07,0.49
1995-04-14,0.50
1995-04-21,0.51
1995-04-28,0.51
1995-05-05,0.51
1995-05-12,0.51
1995-05-19,0.51
1995-05-26,0.52
1995-06-02,0.50
1995-06-09,0.49
1995-06-16,0.48
1995-06-23,0.46
1995-06-30,0.47
1995-07-07,0.46
1995-07-14,0.47
1995-07-21,0.46
1995-07-28,0.48
1995-08-04,0.49
1995-08-11,0.49
1995-08-18,0.49
1995-08-25,0.51
1995-09-01,0.51
1995-09-08,0.52
1995-09-15,0.52
1995-09-22,0.51
1995-09-29,0.50
1995-10-06,0.50
1995-10-13,0.50
1995-10-20,0.50
1995-10-27,0.51
1995-11-03,0.53
1995-11-10,0.52
1995-11-17,0.52
1995-11-24,0.53
1995-12-01,0.53
1995-12-08,0.54
1995-12-15,0.56
1995-12-22,0.55
1995-12-29,0.58
1996-01-05,0.59
1996-01-12,0.59
1996-01-19,0.53
1996-01-26,0.52
1996-02-02,0.52
1996-02-09,0.52
1996-02-16,0.56
1996-02-23,0.56
1996-03-01,0.60
1996-03-08,0.54
1996-03-15,0.57
1996-03-22,0.63
1996-03-29,0.62
1996-04-05,0.63
1996-04-12,0.67
1996-04-19,0.59
1996-04-26,0.59
1996-05-03,0.58
1996-05-10,0.59
1996-05-17,0.56
1996-05-24,0.54
1996-05-31,0.53
1996-06-07,0.52
1996-06-14,0.51
1996-06-21,0.52
1996-06-28,0.52
1996-07-05,0.55
1996-07-12,0.56
1996-07-19,0.57
1996-07-26,0.55
1996-08-02,0.57
1996-08-09,0.59
1996-08-16,0.62
1996-08-23,0.64
1996-08-30,0.63
1996-09-06,0.67
1996-09-13,0.69
1996-09-20,0.67
1996-09-27,0.70
1996-10-04,0.71
1996-10-11,0.72
1996-10-18,0.71
1996-10-25,0.70
1996-11-01,0.67
1996-11-08,0.66
1996-11-15,0.70
1996-11-22,0.72
1996-11-29,0.71
1996-12-06,0.74
1996-12-13,0.68
1996-12-20,0.70
1996-12-27,0.66
1997-01-03,0.69
1997-01-10,0.70
1997-01-17,0.67
1997-01-24,0.65
1997-01-31,0.69
1997-02-07,0.65
1997-02-14,0.64
1997-02-21,0.60
1997-02-28,0.58
1997-03-07,0.55
1997-03-14,0.56
1997-03-21,0.57
1997-03-28,0.56
1997-04-04,0.54
1997-04-11,0.55
