Date,HOSSUPUSM673N
2017-04-01,4.20
2017-05-01,4.20
2017-06-01,4.20
2017-07-01,4.30
2017-08-01,4.10
2017-09-01,4.20
2017-10-01,3.90
2017-11-01,3.50
2017-12-01,3.20
2018-01-01,3.40
2018-02-01,3.40
2018-03-01,3.50
2018-04-01,4.00
2018-05-01,4.10
