Date,UNAPNO
1992-02-01,4269000000.00
1992-03-01,7058000000.00
1992-04-01,5166000000.00
1992-05-01,5391000000.00
1992-06-01,5695000000.00
1992-07-01,3107000000.00
1992-08-01,2566000000.00
1992-09-01,3979000000.00
1992-10-01,5299000000.00
1992-11-01,2302000000.00
1992-12-01,6397000000.00
1993-01-01,1814000000.00
1993-02-01,5914000000.00
1993-03-01,2783000000.00
1993-04-01,3115000000.00
1993-05-01,2943000000.00
1993-06-01,7729000000.00
1993-07-01,1205000000.00
1993-08-01,3173000000.00
1993-09-01,1745000000.00
1993-10-01,2494000000.00
1993-11-01,3067000000.00
1993-12-01,2445000000.00
1994-01-01,4842000000.00
1994-02-01,3348000000.00
1994-03-01,2647000000.00
1994-04-01,2397000000.00
1994-05-01,2641000000.00
1994-06-01,4354000000.00
1994-07-01,1944000000.00
1994-08-01,2550000000.00
1994-09-01,3865000000.00
1994-10-01,2225000000.00
1994-11-01,4558000000.00
1994-12-01,3938000000.00
1995-01-01,2627000000.00
1995-02-01,4854000000.00
1995-03-01,4435000000.00
1995-04-01,2590000000.00
1995-05-01,4725000000.00
1995-06-01,3917000000.00
1995-07-01,3025000000.00
1995-08-01,3660000000.00
1995-09-01,7938000000.00
1995-10-01,2851000000.00
1995-11-01,6664000000.00
1995-12-01,10168000000.00
1996-01-01,7702000000.00
1996-02-01,4872000000.00
1996-03-01,8983000000.00
1996-04-01,2893000000.00
1996-05-01,7038000000.00
1996-06-01,5279000000.00
1996-07-01,5491000000.00
1996-08-01,1748000000.00
1996-09-01,8797000000.00
1996-10-01,7503000000.00
1996-11-01,5140000000.00
1996-12-01,6648000000.00
1997-01-01,5759000000.00
1997-02-01,5599000000.00
1997-03-01,5832000000.00
1997-04-01,4715000000.00
1997-05-01,5378000000.00
1997-06-01,8539000000.00
1997-07-01,4125000000.00
1997-08-01,6897000000.00
1997-09-01,6102000000.00
1997-10-01,7536000000.00
1997-11-01,17992000000.00
1997-12-01,7323000000.00
1998-01-01,7288000000.00
1998-02-01,5996000000.00
1998-03-01,7264000000.00
1998-04-01,8628000000.00
1998-05-01,7433000000.00
1998-06-01,7471000000.00
1998-07-01,5962000000.00
1998-08-01,9293000000.00
1998-09-01,6524000000.00
1998-10-01,6208000000.00
1998-11-01,6785000000.00
1998-12-01,5298000000.00
1999-01-01,9709000000.00
1999-02-01,5188000000.00
1999-03-01,6093000000.00
1999-04-01,4447000000.00
1999-05-01,6379000000.00
1999-06-01,6832000000.00
1999-07-01,4877000000.00
1999-08-01,7574000000.00
1999-09-01,7261000000.00
1999-10-01,5526000000.00
1999-11-01,5217000000.00
1999-12-01,12516000000.00
2000-01-01,6754000000.00
2000-02-01,5158000000.00
2000-03-01,6510000000.00
2000-04-01,5695000000.00
2000-05-01,6235000000.00
2000-06-01,12375000000.00
2000-07-01,4440000000.00
2000-08-01,8060000000.00
2000-09-01,12109000000.00
2000-10-01,3247000000.00
2000-11-01,9927000000.00
2000-12-01,18739000000.00
2001-01-01,6539000000.00
2001-02-01,6422000000.00
2001-03-01,10888000000.00
2001-04-01,6458000000.00
2001-05-01,6963000000.00
2001-06-01,9790000000.00
2001-07-01,3952000000.00
2001-08-01,6576000000.00
2001-09-01,5385000000.00
2001-10-01,1928000000.00
2001-11-01,3668000000.00
2001-12-01,8241000000.00
2002-01-01,4012000000.00
2002-02-01,6253000000.00
2002-03-01,7643000000.00
2002-04-01,3176000000.00
2002-05-01,5438000000.00
2002-06-01,3309000000.00
2002-07-01,4944000000.00
2002-08-01,8782000000.00
2002-09-01,3988000000.00
2002-10-01,3295000000.00
2002-11-01,5297000000.00
2002-12-01,8157000000.00
2003-01-01,4660000000.00
2003-02-01,3598000000.00
2003-03-01,4393000000.00
2003-04-01,3989000000.00
2003-05-01,4090000000.00
2003-06-01,7222000000.00
2003-07-01,3843000000.00
2003-08-01,4373000000.00
2003-09-01,5470000000.00
2003-10-01,4417000000.00
2003-11-01,4856000000.00
2003-12-01,8677000000.00
2004-01-01,3466000000.00
2004-02-01,4981000000.00
2004-03-01,7349000000.00
