Date,PCETRIM12M159SFRBDAL
1978-01-01,5.71
1978-02-01,5.59
1978-03-01,5.56
1978-04-01,5.73
1978-05-01,5.91
1978-06-01,5.93
1978-07-01,6.01
1978-08-01,6.05
1978-09-01,6.24
1978-10-01,6.56
1978-11-01,6.67
1978-12-01,6.72
1979-01-01,7.04
1979-02-01,7.22
1979-03-01,7.26
1979-04-01,7.26
1979-05-01,7.35
1979-06-01,7.39
1979-07-01,7.49
1979-08-01,7.67
1979-09-01,7.78
1979-10-01,7.87
1979-11-01,7.87
1979-12-01,8.02
1980-01-01,8.13
1980-02-01,8.33
1980-03-01,8.57
1980-04-01,8.53
1980-05-01,8.53
1980-06-01,8.69
1980-07-01,8.58
1980-08-01,8.55
1980-09-01,8.64
1980-10-01,8.55
1980-11-01,8.62
1980-12-01,8.62
1981-01-01,8.57
1981-02-01,8.58
1981-03-01,8.39
1981-04-01,8.48
1981-05-01,8.30
1981-06-01,8.05
1981-07-01,8.08
1981-08-01,7.99
1981-09-01,7.80
1981-10-01,7.60
1981-11-01,7.39
1981-12-01,7.13
1982-01-01,6.81
1982-02-01,6.36
1982-03-01,6.18
1982-04-01,5.85
1982-05-01,5.76
1982-06-01,5.73
1982-07-01,5.76
1982-08-01,5.49
1982-09-01,5.13
1982-10-01,5.07
1982-11-01,4.79
1982-12-01,4.62
1983-01-01,4.64
1983-02-01,4.58
1983-03-01,4.34
1983-04-01,4.48
1983-05-01,4.25
1983-06-01,4.07
1983-07-01,3.80
1983-08-01,3.71
1983-09-01,3.80
1983-10-01,3.57
1983-11-01,3.69
1983-12-01,3.64
1984-01-01,3.59
1984-02-01,3.65
1984-03-01,3.79
1984-04-01,3.78
1984-05-01,3.70
1984-06-01,3.71
1984-07-01,3.80
1984-08-01,3.88
1984-09-01,3.86
1984-10-01,3.94
1984-11-01,3.77
1984-12-01,3.88
1985-01-01,3.73
1985-02-01,3.83
1985-03-01,3.83
1985-04-01,3.63
1985-05-01,3.72
1985-06-01,3.78
1985-07-01,3.58
1985-08-01,3.57
1985-09-01,3.52
1985-10-01,3.48
1985-11-01,3.63
1985-12-01,3.64
1986-01-01,3.74
1986-02-01,3.49
1986-03-01,3.28
1986-04-01,3.33
1986-05-01,3.25
1986-06-01,3.23
1986-07-01,3.25
1986-08-01,3.16
1986-09-01,3.18
1986-10-01,3.25
1986-11-01,3.17
1986-12-01,3.10
1987-01-01,3.12
1987-02-01,3.18
1987-03-01,3.38
1987-04-01,3.55
1987-05-01,3.63
1987-06-01,3.57
1987-07-01,3.57
1987-08-01,3.72
1987-09-01,3.69
1987-10-01,3.72
1987-11-01,3.72
1987-12-01,3.62
1988-01-01,3.62
1988-02-01,3.57
1988-03-01,3.54
1988-04-01,3.49
1988-05-01,3.48
1988-06-01,3.59
1988-07-01,3.77
1988-08-01,3.71
1988-09-01,3.86
1988-10-01,3.81
1988-11-01,3.85
1988-12-01,4.00
1989-01-01,4.04
1989-02-01,4.13
1989-03-01,4.15
1989-04-01,4.14
1989-05-01,4.22
1989-06-01,4.10
1989-07-01,4.01
1989-08-01,3.92
1989-09-01,3.76
1989-10-01,3.91
1989-11-01,3.89
1989-12-01,3.91
1990-01-01,3.83
1990-02-01,3.79
1990-03-01,3.92
1990-04-01,3.88
1990-05-01,3.77
1990-06-01,3.91
1990-07-01,3.93
1990-08-01,4.12
1990-09-01,4.12
1990-10-01,3.99
1990-11-01,3.86
1990-12-01,3.82
1991-01-01,3.80
1991-02-01,3.71
1991-03-01,3.42
1991-04-01,3.33
1991-05-01,3.44
1991-06-01,3.22
1991-07-01,3.10
1991-08-01,2.90
1991-09-01,2.88
1991-10-01,2.81
1991-11-01,2.95
1991-12-01,2.98
1992-01-01,2.87
1992-02-01,2.88
1992-03-01,2.97
1992-04-01,2.92
1992-05-01,2.79
1992-06-01,2.78
1992-07-01,2.80
1992-08-01,2.73
1992-09-01,2.60
1992-10-01,2.63
1992-11-01,2.61
1992-12-01,2.51
1993-01-01,2.51
1993-02-01,2.53
1993-03-01,2.46
1993-04-01,2.54
1993-05-01,2.58
1993-06-01,2.55
1993-07-01,2.52
1993-08-01,2.51
1993-09-01,2.55
