Date,CPIULFNS
1935-03-01,15.00
1935-07-01,15.00
1935-10-01,15.00
1936-01-01,15.10
1936-04-01,15.10
1936-07-01,15.20
1936-09-01,15.20
1936-12-01,15.30
1937-03-01,15.50
1937-06-01,15.70
1937-09-01,15.90
1937-12-01,16.00
1938-03-01,15.90
1938-06-01,15.90
1938-09-01,15.80
1938-12-01,15.80
1939-03-01,15.80
1939-06-01,15.70
1939-09-01,15.80
1939-12-01,15.80
1940-03-01,15.80
1940-06-01,15.80
1940-09-01,15.80
1940-10-01,15.90
1940-11-01,15.90
1940-12-01,15.90
1941-01-01,15.90
1941-02-01,15.90
1941-03-01,15.90
1941-04-01,16.00
1941-05-01,16.00
1941-06-01,16.10
1941-07-01,16.20
1941-08-01,16.30
1941-09-01,16.50
1941-10-01,16.80
1941-11-01,16.80
1941-12-01,16.90
1942-01-01,17.00
1942-02-01,17.20
1942-03-01,17.40
1942-04-01,17.50
1942-05-01,17.50
1942-06-01,17.40
1942-07-01,17.50
1942-08-01,17.50
1942-09-01,17.50
1942-10-01,17.50
1942-11-01,17.60
1942-12-01,17.60
1943-01-01,17.60
1943-02-01,17.60
1943-03-01,17.70
1943-04-01,17.80
1943-05-01,17.80
1943-06-01,17.80
1943-07-01,17.90
1943-08-01,17.90
1943-09-01,18.00
1943-10-01,18.10
1943-11-01,18.10
1943-12-01,18.20
1944-01-01,18.20
1944-02-01,18.30
1944-03-01,18.40
1944-04-01,18.50
1944-05-01,18.50
1944-06-01,18.60
1944-07-01,18.60
1944-08-01,18.70
1944-09-01,18.80
1944-10-01,18.80
1944-11-01,18.80
1944-12-01,18.80
1945-01-01,18.90
1945-02-01,18.90
1945-03-01,18.90
1945-04-01,19.00
1945-05-01,19.00
1945-06-01,19.00
1945-07-01,19.10
1945-08-01,19.10
1945-09-01,19.10
1945-10-01,19.10
1945-11-01,19.10
1945-12-01,19.20
1946-01-01,19.20
1946-02-01,19.30
1946-03-01,19.40
1946-04-01,19.40
1946-05-01,19.50
1946-06-01,19.60
1946-07-01,19.80
1946-08-01,19.90
1946-09-01,20.10
1946-10-01,20.30
1946-11-01,20.50
1946-12-01,20.90
1947-01-01,21.10
1947-02-01,21.20
1947-03-01,21.30
1947-04-01,21.40
1947-05-01,21.40
1947-06-01,21.40
1947-07-01,21.60
1947-08-01,21.70
1947-09-01,22.00
1947-10-01,22.20
1947-11-01,22.30
1947-12-01,22.50
1948-01-01,22.70
1948-02-01,22.80
1948-03-01,22.80
1948-04-01,23.00
1948-05-01,23.00
1948-06-01,23.10
1948-07-01,23.30
1948-08-01,23.50
1948-09-01,23.60
1948-10-01,23.70
1948-11-01,23.70
1948-12-01,23.70
1949-01-01,23.60
1949-02-01,23.60
1949-03-01,23.60
1949-04-01,23.60
1949-05-01,23.50
1949-06-01,23.40
1949-07-01,23.40
1949-08-01,23.40
1949-09-01,23.50
1949-10-01,23.50
1949-11-01,23.50
1949-12-01,23.50
1950-01-01,23.50
1950-02-01,23.50
1950-03-01,23.50
1950-04-01,23.50
1950-05-01,23.50
1950-06-01,23.50
1950-07-01,23.60
1950-08-01,23.80
1950-09-01,24.00
1950-10-01,24.20
1950-11-01,24.30
1950-12-01,24.50
1951-01-01,24.80
1951-02-01,25.00
1951-03-01,25.10
1951-04-01,25.20
1951-05-01,25.20
1951-06-01,25.20
1951-07-01,25.20
1951-08-01,25.30
1951-09-01,25.50
1951-10-01,25.60
1951-11-01,25.70
1951-12-01,25.70
1952-01-01,25.70
1952-02-01,25.80
1952-03-01,25.80
1952-04-01,25.80
1952-05-01,25.80
1952-06-01,25.90
1952-07-01,25.90
1952-08-01,25.90
1952-09-01,26.00
1952-10-01,26.10
1952-11-01,26.10
1952-12-01,26.20
1953-01-01,26.20
1953-02-01,26.20
1953-03-01,26.30
1953-04-01,26.30
1953-05-01,26.30
1953-06-01,26.40
1953-07-01,26.40
1953-08-01,26.40
1953-09-01,26.50
1953-10-01,26.60
1953-11-01,26.60
1953-12-01,26.60
1954-01-01,26.60
1954-02-01,26.60
1954-03-01,26.60
1954-04-01,26.50
1954-05-01,26.60
1954-06-01,26.50
1954-07-01,26.50
1954-08-01,26.50
1954-09-01,26.50
1954-10-01,26.50
1954-11-01,26.60
1954-12-01,26.60
1955-01-01,26.60
1955-02-01,26.60
1955-03-01,26.60
1955-04-01,26.50
1955-05-01,26.50
1955-06-01,26.50
1955-07-01,26.60
1955-08-01,26.60
1955-09-01,26.70
1955-10-01,26.80
1955-11-01,26.90
1955-12-01,26.80
1956-01-01,26.80
1956-02-01,26.80
1956-03-01,26.90
1956-04-01,26.90
1956-05-01,26.90
1956-06-01,27.00
1956-07-01,27.10
1956-08-01,27.20
1956-09-01,27.20
1956-10-01,27.40
1956-11-01,27.50
1956-12-01,27.50
1957-01-01,27.60
1957-02-01,27.70
1957-03-01,27.80
1957-04-01,27.90
1957-05-01,27.90
1957-06-01,27.90
1957-07-01,28.00
1957-08-01,28.10
1957-09-01,28.10
1957-10-01,28.20
1957-11-01,28.40
1957-12-01,28.40
1958-01-01,28.40
1958-02-01,28.50
1958-03-01,28.50
1958-04-01,28.50
1958-05-01,28.50
1958-06-01,28.50
1958-07-01,28.60
1958-08-01,28.70
1958-09-01,28.70
1958-10-01,28.70
1958-11-01,28.90
1958-12-01,28.90
1959-01-01,28.80
1959-02-01,28.90
1959-03-01,28.90
1959-04-01,29.00
1959-05-01,29.00
1959-06-01,29.10
1959-07-01,29.20
1959-08-01,29.20
1959-09-01,29.30
1959-10-01,29.50
1959-11-01,29.50
1959-12-01,29.50
1960-01-01,29.50
1960-02-01,29.60
1960-03-01,29.60
1960-04-01,29.60
1960-05-01,29.60
1960-06-01,29.60
1960-07-01,29.60
1960-08-01,29.70
1960-09-01,29.70
1960-10-01,29.80
1960-11-01,29.80
1960-12-01,29.80
1961-01-01,29.80
1961-02-01,29.80
1961-03-01,29.90
1961-04-01,29.80
1961-05-01,29.90
1961-06-01,29.90
1961-07-01,30.00
1961-08-01,30.00
1961-09-01,30.10
1961-10-01,30.20
1961-11-01,30.20
1961-12-01,30.20
1962-01-01,30.10
1962-02-01,30.20
1962-03-01,30.20
1962-04-01,30.30
1962-05-01,30.30
1962-06-01,30.30
1962-07-01,30.30
1962-08-01,30.40
1962-09-01,30.50
1962-10-01,30.50
1962-11-01,30.50
1962-12-01,30.50
1963-01-01,30.50
1963-02-01,30.50
1963-03-01,30.50
1963-04-01,30.60
1963-05-01,30.60
1963-06-01,30.70
1963-07-01,30.70
1963-08-01,30.80
1963-09-01,30.80
1963-10-01,30.90
1963-11-01,31.00
1963-12-01,31.00
1964-01-01,31.00
1964-02-01,31.00
1964-03-01,31.10
1964-04-01,31.10
1964-05-01,31.10
1964-06-01,31.10
1964-07-01,31.10
1964-08-01,31.10
1964-09-01,31.20
1964-10-01,31.20
1964-11-01,31.30
1964-12-01,31.30
1965-01-01,31.40
1965-02-01,31.40
1965-03-01,31.40
1965-04-01,31.50
1965-05-01,31.50
1965-06-01,31.50
1965-07-01,31.50
1965-08-01,31.50
1965-09-01,31.60
1965-10-01,31.70
1965-11-01,31.80
1965-12-01,31.80
1966-01-01,31.80
1966-02-01,31.80
1966-03-01,31.90
1966-04-01,32.10
1966-05-01,32.20
1966-06-01,32.30
1966-07-01,32.40
1966-08-01,32.40
1966-09-01,32.50
1966-10-01,32.70
1966-11-01,32.80
1966-12-01,32.90
1967-01-01,32.80
1967-02-01,32.90
1967-03-01,33.00
1967-04-01,33.10
1967-05-01,33.30
1967-06-01,33.30
1967-07-01,33.40
1967-08-01,33.50
1967-09-01,33.70
1967-10-01,33.80
1967-11-01,33.90
1967-12-01,34.00
1968-01-01,34.10
1968-02-01,34.20
1968-03-01,34.40
1968-04-01,34.50
1968-05-01,34.60
1968-06-01,34.80
1968-07-01,34.90
1968-08-01,35.10
1968-09-01,35.20
1968-10-01,35.40
1968-11-01,35.60
1968-12-01,35.70
1969-01-01,35.70
1969-02-01,35.90
1969-03-01,36.30
1969-04-01,36.50
1969-05-01,36.60
1969-06-01,36.70
1969-07-01,36.80
1969-08-01,37.00
1969-09-01,37.20
1969-10-01,37.40
1969-11-01,37.60
1969-12-01,37.70
1970-01-01,37.90
1970-02-01,38.10
1970-03-01,38.30
1970-04-01,38.60
1970-05-01,38.80
1970-06-01,38.90
1970-07-01,39.10
1970-08-01,39.20
1970-09-01,39.40
1970-10-01,39.70
1970-11-01,40.00
1970-12-01,40.20
1971-01-01,40.20
1971-02-01,40.20
1971-03-01,40.30
1971-04-01,40.40
1971-05-01,40.60
1971-06-01,40.80
1971-07-01,40.90
1971-08-01,41.00
1971-09-01,41.10
1971-10-01,41.30
1971-11-01,41.30
1971-12-01,41.40
1972-01-01,41.40
1972-02-01,41.50
1972-03-01,41.60
1972-04-01,41.70
1972-05-01,41.90
1972-06-01,42.00
1972-07-01,42.10
1972-08-01,42.10
1972-09-01,42.30
1972-10-01,42.50
1972-11-01,42.60
1972-12-01,42.60
1973-01-01,42.60
1973-02-01,42.70
1973-03-01,42.90
1973-04-01,43.10
1973-05-01,43.30
1973-06-01,43.50
1973-07-01,43.60
1973-08-01,43.70
1973-09-01,44.00
1973-10-01,44.50
1973-11-01,44.80
1973-12-01,45.00
1974-01-01,45.30
1974-02-01,45.70
1974-03-01,46.20
1974-04-01,46.60
1974-05-01,47.20
1974-06-01,47.80
1974-07-01,48.20
1974-08-01,48.80
1974-09-01,49.40
1974-10-01,49.80
1974-11-01,50.20
1974-12-01,50.50
1975-01-01,50.70
1975-02-01,51.10
1975-03-01,51.40
1975-04-01,51.70
1975-05-01,52.00
1975-06-01,52.30
1975-07-01,52.60
1975-08-01,52.90
1975-09-01,53.30
1975-10-01,53.60
1975-11-01,54.00
1975-12-01,54.20
1976-01-01,54.30
1976-02-01,54.60
1976-03-01,54.90
1976-04-01,55.10
1976-05-01,55.50
1976-06-01,55.80
1976-07-01,56.10
1976-08-01,56.40
1976-09-01,56.80
1976-10-01,57.10
1976-11-01,57.30
1976-12-01,57.50
1977-01-01,57.80
1977-02-01,58.10
1977-03-01,58.50
1977-04-01,58.90
1977-05-01,59.20
1977-06-01,59.60
1977-07-01,59.80
1977-08-01,60.10
1977-09-01,60.40
1977-10-01,60.70
1977-11-01,61.00
1977-12-01,61.20
1978-01-01,61.40
1978-02-01,61.70
1978-03-01,62.10
1978-04-01,62.60
1978-05-01,63.10
1978-06-01,63.70
1978-07-01,64.10
1978-08-01,64.60
1978-09-01,65.20
1978-10-01,65.70
1978-11-01,66.10
1978-12-01,66.30
1979-01-01,66.70
1979-02-01,67.40
