Date,IPB5610CN
1967-01-01,62.25
1967-02-01,62.25
1967-03-01,61.45
1967-04-01,62.40
1967-05-01,61.95
1967-06-01,61.80
1967-07-01,60.07
1967-08-01,62.75
1967-09-01,62.58
1967-10-01,63.75
1967-11-01,64.05
1967-12-01,63.98
1968-01-01,64.06
1968-02-01,65.53
1968-03-01,66.21
1968-04-01,67.44
1968-05-01,68.33
1968-06-01,68.43
1968-07-01,66.17
1968-08-01,68.62
1968-09-01,68.49
1968-10-01,68.16
1968-11-01,69.50
1968-12-01,68.87
1969-01-01,68.98
1969-02-01,70.61
1969-03-01,70.32
1969-04-01,72.18
1969-05-01,73.08
1969-06-01,73.88
1969-07-01,69.99
1969-08-01,72.52
1969-09-01,73.06
1969-10-01,73.87
1969-11-01,74.14
1969-12-01,73.82
1970-01-01,72.62
1970-02-01,74.32
1970-03-01,73.54
1970-04-01,74.33
1970-05-01,74.21
1970-06-01,74.14
1970-07-01,70.66
1970-08-01,73.24
1970-09-01,74.53
1970-10-01,75.70
1970-11-01,75.56
1970-12-01,74.28
1971-01-01,73.07
1971-02-01,74.15
1971-03-01,74.32
1971-04-01,75.40
1971-05-01,75.59
1971-06-01,76.45
1971-07-01,71.90
1971-08-01,75.51
1971-09-01,76.07
1971-10-01,74.26
1971-11-01,75.72
1971-12-01,77.50
1972-01-01,78.16
1972-02-01,80.15
1972-03-01,80.78
1972-04-01,81.47
1972-05-01,81.68
1972-06-01,81.89
1972-07-01,78.61
1972-08-01,81.70
1972-09-01,81.73
1972-10-01,83.85
1972-11-01,83.40
1972-12-01,81.33
1973-01-01,81.37
1973-02-01,84.30
1973-03-01,83.26
1973-04-01,83.73
1973-05-01,84.59
1973-06-01,84.23
1973-07-01,81.96
1973-08-01,85.41
1973-09-01,85.26
1973-10-01,87.63
1973-11-01,86.90
1973-12-01,85.34
1974-01-01,85.41
1974-02-01,88.44
1974-03-01,88.28
1974-04-01,87.97
1974-05-01,88.42
1974-06-01,87.20
1974-07-01,84.09
1974-08-01,84.94
1974-09-01,86.21
1974-10-01,87.61
1974-11-01,81.63
1974-12-01,79.57
1975-01-01,80.52
1975-02-01,81.90
1975-03-01,79.29
1975-04-01,78.75
1975-05-01,78.33
1975-06-01,79.78
1975-07-01,75.01
1975-08-01,78.23
1975-09-01,79.43
1975-10-01,81.18
1975-11-01,81.07
1975-12-01,80.07
1976-01-01,79.85
1976-02-01,83.24
1976-03-01,83.13
1976-04-01,83.74
1976-05-01,83.83
1976-06-01,84.04
1976-07-01,79.31
1976-08-01,82.89
1976-09-01,83.95
1976-10-01,85.01
1976-11-01,84.56
1976-12-01,83.34
1977-01-01,81.33
1977-02-01,86.24
1977-03-01,88.42
1977-04-01,88.24
1977-05-01,89.03
1977-06-01,89.36
1977-07-01,85.09
1977-08-01,86.39
1977-09-01,89.40
1977-10-01,90.13
1977-11-01,89.69
1977-12-01,82.81
1978-01-01,81.68
1978-02-01,83.12
1978-03-01,85.90
1978-04-01,91.84
1978-05-01,92.63
1978-06-01,93.13
1978-07-01,88.43
1978-08-01,90.08
1978-09-01,90.11
1978-10-01,93.16
1978-11-01,92.56
