Date,UMVPNO
2011-01-01,32737000000.00
2011-02-01,35652000000.00
2011-03-01,43205000000.00
2011-04-01,35234000000.00
2011-05-01,36301000000.00
2011-06-01,38748000000.00
2011-07-01,30801000000.00
2011-08-01,39989000000.00
2011-09-01,39165000000.00
2011-10-01,41268000000.00
2011-11-01,37824000000.00
2011-12-01,36529000000.00
2012-01-01,37133000000.00
2012-02-01,41874000000.00
2012-03-01,44929000000.00
2012-04-01,42587000000.00
2012-05-01,45565000000.00
2012-06-01,45892000000.00
2012-07-01,35321000000.00
2012-08-01,46522000000.00
2012-09-01,42270000000.00
2012-10-01,46475000000.00
2012-11-01,43387000000.00
2012-12-01,38680000000.00
2013-01-01,40120000000.00
2013-02-01,44415000000.00
2013-03-01,47111000000.00
2013-04-01,46166000000.00
2013-05-01,47657000000.00
2013-06-01,46313000000.00
2013-07-01,36588000000.00
2013-08-01,48761000000.00
2013-09-01,47052000000.00
2013-10-01,52054000000.00
2013-11-01,48004000000.00
2013-12-01,41588000000.00
2014-01-01,43019000000.00
2014-02-01,48509000000.00
2014-03-01,52216000000.00
2014-04-01,49265000000.00
2014-05-01,52284000000.00
2014-06-01,51859000000.00
2014-07-01,45805000000.00
2014-08-01,53105000000.00
2014-09-01,53296000000.00
2014-10-01,57337000000.00
2014-11-01,48607000000.00
2014-12-01,49685000000.00
2015-01-01,46077000000.00
2015-02-01,49911000000.00
2015-03-01,58613000000.00
2015-04-01,54218000000.00
2015-05-01,53459000000.00
2015-06-01,56794000000.00
2015-07-01,47415000000.00
2015-08-01,56069000000.00
2015-09-01,57141000000.00
2015-10-01,56911000000.00
2015-11-01,52247000000.00
2015-12-01,50114000000.00
2016-01-01,48013000000.00
2016-02-01,57245000000.00
2016-03-01,59899000000.00
2016-04-01,54346000000.00
2016-05-01,53275000000.00
2016-06-01,56714000000.00
2016-07-01,43391000000.00
2016-08-01,58860000000.00
2016-09-01,57635000000.00
2016-10-01,54479000000.00
2016-11-01,52938000000.00
2016-12-01,50906000000.00
2017-01-01,49102000000.00
2017-02-01,54262000000.00
2017-03-01,60856000000.00
2017-04-01,52006000000.00
2017-05-01,57390000000.00
2017-06-01,58356000000.00
2017-07-01,42809000000.00
