Date,TLRELCON
2002-01-01,667000000.00
2002-02-01,637000000.00
2002-03-01,656000000.00
2002-04-01,710000000.00
2002-05-01,697000000.00
2002-06-01,688000000.00
2002-07-01,698000000.00
2002-08-01,754000000.00
2002-09-01,708000000.00
2002-10-01,727000000.00
2002-11-01,734000000.00
2002-12-01,662000000.00
2003-01-01,650000000.00
2003-02-01,644000000.00
2003-03-01,657000000.00
2003-04-01,688000000.00
2003-05-01,713000000.00
2003-06-01,753000000.00
2003-07-01,764000000.00
2003-08-01,799000000.00
2003-09-01,773000000.00
2003-10-01,782000000.00
2003-11-01,725000000.00
2003-12-01,623000000.00
2004-01-01,566000000.00
2004-02-01,582000000.00
2004-03-01,624000000.00
2004-04-01,658000000.00
2004-05-01,682000000.00
2004-06-01,714000000.00
2004-07-01,735000000.00
2004-08-01,731000000.00
2004-09-01,746000000.00
2004-10-01,728000000.00
2004-11-01,723000000.00
2004-12-01,669000000.00
2005-01-01,622000000.00
2005-02-01,594000000.00
2005-03-01,640000000.00
2005-04-01,620000000.00
2005-05-01,643000000.00
2005-06-01,676000000.00
2005-07-01,689000000.00
2005-08-01,678000000.00
2005-09-01,673000000.00
2005-10-01,645000000.00
2005-11-01,660000000.00
2005-12-01,596000000.00
2006-01-01,556000000.00
2006-02-01,586000000.00
2006-03-01,628000000.00
2006-04-01,627000000.00
2006-05-01,658000000.00
2006-06-01,678000000.00
2006-07-01,671000000.00
2006-08-01,688000000.00
2006-09-01,676000000.00
2006-10-01,681000000.00
2006-11-01,682000000.00
2006-12-01,619000000.00
2007-01-01,590000000.00
2007-02-01,583000000.00
2007-03-01,590000000.00
2007-04-01,598000000.00
2007-05-01,627000000.00
2007-06-01,644000000.00
2007-07-01,661000000.00
2007-08-01,674000000.00
2007-09-01,691000000.00
2007-10-01,655000000.00
2007-11-01,640000000.00
2007-12-01,586000000.00
2008-01-01,562000000.00
2008-02-01,550000000.00
2008-03-01,558000000.00
2008-04-01,572000000.00
2008-05-01,587000000.00
2008-06-01,584000000.00
2008-07-01,625000000.00
2008-08-01,614000000.00
2008-09-01,655000000.00
2008-10-01,663000000.00
2008-11-01,656000000.00
2008-12-01,599000000.00
2009-01-01,537000000.00
2009-02-01,544000000.00
2009-03-01,538000000.00
2009-04-01,544000000.00
2009-05-01,493000000.00
2009-06-01,518000000.00
2009-07-01,515000000.00
2009-08-01,533000000.00
2009-09-01,534000000.00
2009-10-01,510000000.00
2009-11-01,498000000.00
2009-12-01,429000000.00
2010-01-01,405000000.00
2010-02-01,435000000.00
2010-03-01,430000000.00
2010-04-01,439000000.00
2010-05-01,448000000.00
2010-06-01,452000000.00
2010-07-01,437000000.00
2010-08-01,438000000.00
2010-09-01,463000000.00
2010-10-01,454000000.00
2010-11-01,474000000.00
2010-12-01,414000000.00
2011-01-01,373000000.00
2011-02-01,337000000.00
2011-03-01,350000000.00
2011-04-01,343000000.00
2011-05-01,334000000.00
2011-06-01,337000000.00
2011-07-01,362000000.00
2011-08-01,395000000.00
2011-09-01,382000000.00
2011-10-01,359000000.00
2011-11-01,338000000.00
2011-12-01,331000000.00
2012-01-01,308000000.00
2012-02-01,322000000.00
2012-03-01,315000000.00
2012-04-01,307000000.00
2012-05-01,307000000.00
2012-06-01,324000000.00
2012-07-01,332000000.00
2012-08-01,336000000.00
2012-09-01,339000000.00
2012-10-01,352000000.00
2012-11-01,303000000.00
2012-12-01,303000000.00
2013-01-01,296000000.00
2013-02-01,297000000.00
2013-03-01,307000000.00
2013-04-01,293000000.00
2013-05-01,307000000.00
2013-06-01,293000000.00
2013-07-01,295000000.00
2013-08-01,304000000.00
2013-09-01,300000000.00
2013-10-01,321000000.00
2013-11-01,296000000.00
2013-12-01,281000000.00
2014-01-01,252000000.00
2014-02-01,239000000.00
2014-03-01,282000000.00
2014-04-01,259000000.00
2014-05-01,261000000.00
2014-06-01,272000000.00
2014-07-01,299000000.00
2014-08-01,307000000.00
2014-09-01,320000000.00
2014-10-01,321000000.00
2014-11-01,296000000.00
2014-12-01,280000000.00
2015-01-01,241000000.00
2015-02-01,244000000.00
2015-03-01,255000000.00
2015-04-01,290000000.00
2015-05-01,302000000.00
2015-06-01,318000000.00
2015-07-01,338000000.00
2015-08-01,336000000.00
2015-09-01,361000000.00
2015-10-01,337000000.00
2015-11-01,288000000.00
2015-12-01,269000000.00
2016-01-01,244000000.00
2016-02-01,248000000.00
2016-03-01,276000000.00
2016-04-01,310000000.00
2016-05-01,285000000.00
2016-06-01,312000000.00
2016-07-01,308000000.00
2016-08-01,343000000.00
2016-09-01,325000000.00
2016-10-01,282000000.00
2016-11-01,298000000.00
2016-12-01,271000000.00
2017-01-01,228000000.00
2017-02-01,232000000.00
2017-03-01,255000000.00
2017-04-01,245000000.00
2017-05-01,281000000.00
2017-06-01,290000000.00
2017-07-01,293000000.00
2017-08-01,296000000.00
2017-09-01,297000000.00
2017-10-01,292000000.00
2017-11-01,244000000.00
2017-12-01,228000000.00
2018-01-01,212000000.00
2018-02-01,209000000.00
2018-03-01,241000000.00
2018-04-01,275000000.00
