Date,RTWVDHI684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.83
1988-03-01,99.27
1988-04-01,97.86
1988-05-01,97.82
1988-06-01,99.19
1988-07-01,102.62
1988-08-01,103.16
1988-09-01,103.72
1988-10-01,100.44
1988-11-01,97.36
1988-12-01,97.46
1989-01-01,99.71
1989-02-01,100.42
1989-03-01,101.86
1989-04-01,101.82
1989-05-01,104.80
1989-06-01,107.99
1989-07-01,106.40
1989-08-01,106.68
1989-09-01,108.07
1989-10-01,106.33
1989-11-01,107.80
1989-12-01,107.67
1990-01-01,108.39
1990-02-01,108.63
1990-03-01,112.67
1990-04-01,113.88
1990-05-01,111.18
1990-06-01,111.99
1990-07-01,109.58
1990-08-01,108.43
1990-09-01,104.77
1990-10-01,100.26
1990-11-01,100.16
1990-12-01,102.59
1991-01-01,102.21
1991-02-01,100.71
1991-03-01,104.15
1991-04-01,104.06
1991-05-01,104.51
1991-06-01,105.90
1991-07-01,105.41
1991-08-01,104.61
1991-09-01,103.55
1991-10-01,101.11
1991-11-01,100.18
1991-12-01,99.69
1992-01-01,98.04
1992-02-01,99.00
1992-03-01,100.59
1992-04-01,100.14
1992-05-01,99.35
1992-06-01,98.32
1992-07-01,98.08
1992-08-01,98.44
1992-09-01,97.16
1992-10-01,97.66
1992-11-01,99.43
1992-12-01,99.20
1993-01-01,99.85
1993-02-01,98.62
1993-03-01,97.00
1993-04-01,95.39
1993-05-01,95.22
1993-06-01,94.87
1993-07-01,95.00
1993-08-01,93.89
1993-09-01,94.78
1993-10-01,95.84
1993-11-01,95.94
1993-12-01,95.72
1994-01-01,97.51
1994-02-01,95.50
1994-03-01,95.26
1994-04-01,94.52
1994-05-01,94.24
1994-06-01,94.02
1994-07-01,92.34
1994-08-01,92.18
1994-09-01,91.53
1994-10-01,91.26
1994-11-01,91.23
1994-12-01,92.49
1995-01-01,92.25
1995-02-01,91.77
1995-03-01,88.54
1995-04-01,84.46
1995-05-01,84.83
1995-06-01,84.51
1995-07-01,85.73
1995-08-01,89.26
1995-09-01,92.00
1995-10-01,92.51
1995-11-01,93.26
1995-12-01,93.17
1996-01-01,96.11
1996-02-01,96.17
1996-03-01,96.42
1996-04-01,97.08
1996-05-01,96.51
1996-06-01,98.20
1996-07-01,98.70
1996-08-01,97.88
1996-09-01,99.04
1996-10-01,100.77
1996-11-01,100.93
1996-12-01,101.86
1997-01-01,104.72
1997-02-01,108.38
1997-03-01,108.50
1997-04-01,109.03
1997-05-01,104.77
1997-06-01,102.48
1997-07-01,104.08
1997-08-01,106.75
1997-09-01,108.85
1997-10-01,109.96
1997-11-01,113.42
1997-12-01,119.49
1998-01-01,121.54
1998-02-01,118.52
1998-03-01,119.38
1998-04-01,120.88
1998-05-01,123.12
1998-06-01,127.61
1998-07-01,127.74
1998-08-01,131.17
1998-09-01,125.07
1998-10-01,116.65
1998-11-01,115.66
1998-12-01,114.31
1999-01-01,111.81
1999-02-01,113.99
1999-03-01,116.93
1999-04-01,116.58
1999-05-01,117.18
1999-06-01,116.71
1999-07-01,117.31
1999-08-01,114.03
1999-09-01,111.16
1999-10-01,110.31
1999-11-01,109.85
1999-12-01,108.36
2000-01-01,109.79
2000-02-01,113.37
2000-03-01,112.61
2000-04-01,111.87
2000-05-01,114.54
2000-06-01,113.66
2000-07-01,115.21
2000-08-01,115.34
2000-09-01,115.71
2000-10-01,117.72
2000-11-01,118.92
2000-12-01,120.63
2001-01-01,122.93
2001-02-01,123.47
2001-03-01,127.47
2001-04-01,130.23
2001-05-01,128.64
2001-06-01,129.50
2001-07-01,130.66
2001-08-01,126.95
2001-09-01,127.41
2001-10-01,128.72
2001-11-01,129.20
2001-12-01,130.68
2002-01-01,132.54
2002-02-01,133.61
2002-03-01,132.18
2002-04-01,131.46
2002-05-01,127.44
2002-06-01,123.94
2002-07-01,122.43
2002-08-01,124.41
2002-09-01,125.00
2002-10-01,126.09
2002-11-01,123.64
2002-12-01,122.54
2003-01-01,120.41
2003-02-01,121.21
2003-03-01,121.64
2003-04-01,121.55
2003-05-01,118.69
2003-06-01,119.08
2003-07-01,119.60
2003-08-01,120.15
2003-09-01,118.31
2003-10-01,115.06
2003-11-01,114.54
2003-12-01,113.04
2004-01-01,111.64
2004-02-01,111.59
2004-03-01,113.62
2004-04-01,113.37
2004-05-01,116.85
2004-06-01,115.95
2004-07-01,114.86
2004-08-01,115.02
2004-09-01,114.74
2004-10-01,113.82
2004-11-01,110.77
2004-12-01,109.18
2005-01-01,109.32
2005-02-01,109.27
2005-03-01,110.01
2005-04-01,111.50
2005-05-01,111.37
2005-06-01,113.34
2005-07-01,113.98
2005-08-01,112.59
2005-09-01,114.82
2005-10-01,116.00
2005-11-01,116.11
2005-12-01,114.40
2006-01-01,112.57
2006-02-01,113.16
2006-03-01,113.39
2006-04-01,112.79
2006-05-01,110.54
2006-06-01,112.73
2006-07-01,112.58
2006-08-01,112.04
2006-09-01,112.03
2006-10-01,111.82
2006-11-01,110.44
2006-12-01,109.50
2007-01-01,111.22
2007-02-01,111.47
2007-03-01,111.08
2007-04-01,110.69
2007-05-01,111.25
2007-06-01,111.86
2007-07-01,109.74
2007-08-01,108.69
2007-09-01,107.96
2007-10-01,105.91
2007-11-01,104.25
2007-12-01,104.92
2008-01-01,103.91
2008-02-01,101.77
2008-03-01,101.04
2008-04-01,100.68
2008-05-01,100.87
2008-06-01,101.53
2008-07-01,100.51
2008-08-01,104.73
2008-09-01,109.41
2008-10-01,119.55
2008-11-01,120.70
2008-12-01,117.70
2009-01-01,118.04
2009-02-01,121.71
2009-03-01,122.69
2009-04-01,119.63
2009-05-01,115.76
2009-06-01,115.29
2009-07-01,114.28
2009-08-01,112.85
2009-09-01,111.02
2009-10-01,108.83
2009-11-01,108.09
2009-12-01,108.78
2010-01-01,108.79
2010-02-01,109.67
2010-03-01,109.11
2010-04-01,108.85
2010-05-01,111.64
2010-06-01,112.43
2010-07-01,109.39
2010-08-01,107.48
2010-09-01,105.63
2010-10-01,102.30
2010-11-01,102.32
2010-12-01,102.99
2011-01-01,102.00
2011-02-01,101.20
2011-03-01,101.23
2011-04-01,99.58
2011-05-01,99.33
2011-06-01,99.11
2011-07-01,97.41
2011-08-01,97.74
2011-09-01,100.20
2011-10-01,101.17
2011-11-01,101.40
2011-12-01,101.58
2012-01-01,100.22
2012-02-01,99.08
2012-03-01,101.38
2012-04-01,101.86
2012-05-01,103.25
2012-06-01,103.32
2012-07-01,101.34
2012-08-01,100.49
2012-09-01,100.70
2012-10-01,101.07
2012-11-01,100.74
2012-12-01,100.43
2013-01-01,101.03
2013-02-01,102.57
2013-03-01,104.04
2013-04-01,104.17
2013-05-01,105.73
2013-06-01,106.51
2013-07-01,107.07
2013-08-01,106.51
2013-09-01,105.75
2013-10-01,104.09
2013-11-01,104.64
2013-12-01,105.83
2014-01-01,106.72
2014-02-01,105.93
2014-03-01,106.13
2014-04-01,104.71
2014-05-01,104.65
2014-06-01,104.53
2014-07-01,103.71
2014-08-01,104.04
2014-09-01,106.37
2014-10-01,108.30
2014-11-01,110.18
2014-12-01,112.32
2015-01-01,113.37
2015-02-01,116.86
2015-03-01,118.31
2015-04-01,118.11
2015-05-01,116.53
2015-06-01,118.97
2015-07-01,122.31
2015-08-01,124.11
2015-09-01,126.98
2015-10-01,124.76
2015-11-01,125.34
2015-12-01,123.96
2016-01-01,127.19
2016-02-01,125.31
2016-03-01,121.43
2016-04-01,119.12
2016-05-01,123.19
2016-06-01,122.19
2016-07-01,120.36
2016-08-01,118.73
2016-09-01,119.47
2016-10-01,120.05
2016-11-01,121.46
2016-12-01,124.10
2017-01-01,123.38
2017-02-01,121.19
2017-03-01,121.54
2017-04-01,121.75
2017-05-01,122.49
2017-06-01,121.25
2017-07-01,119.15
2017-08-01,117.57
2017-09-01,117.58
2017-10-01,119.29
2017-11-01,119.82
2017-12-01,118.97
2018-01-01,116.27
2018-02-01,116.10
2018-03-01,117.12
