Date,UDAPTI
1992-01-01,17864000000.00
1992-02-01,18057000000.00
1992-03-01,18451000000.00
1992-04-01,18177000000.00
1992-05-01,18302000000.00
1992-06-01,17825000000.00
1992-07-01,17647000000.00
1992-08-01,17541000000.00
1992-09-01,16615000000.00
1992-10-01,16789000000.00
1992-11-01,16475000000.00
1992-12-01,15668000000.00
1993-01-01,15622000000.00
1993-02-01,15232000000.00
1993-03-01,15401000000.00
1993-04-01,15359000000.00
1993-05-01,15990000000.00
1993-06-01,15959000000.00
1993-07-01,15760000000.00
1993-08-01,15805000000.00
1993-09-01,16230000000.00
1993-10-01,15857000000.00
1993-11-01,16285000000.00
1993-12-01,14627000000.00
1994-01-01,14976000000.00
1994-02-01,14865000000.00
1994-03-01,14375000000.00
1994-04-01,14477000000.00
1994-05-01,14010000000.00
1994-06-01,13673000000.00
1994-07-01,13949000000.00
1994-08-01,13582000000.00
1994-09-01,13154000000.00
1994-10-01,13115000000.00
1994-11-01,12936000000.00
1994-12-01,11782000000.00
1995-01-01,12246000000.00
1995-02-01,11951000000.00
1995-03-01,11869000000.00
1995-04-01,11766000000.00
1995-05-01,12094000000.00
1995-06-01,11570000000.00
1995-07-01,11285000000.00
1995-08-01,11335000000.00
1995-09-01,11205000000.00
1995-10-01,10838000000.00
1995-11-01,10103000000.00
1995-12-01,9484000000.00
1996-01-01,9721000000.00
1996-02-01,9907000000.00
1996-03-01,10021000000.00
1996-04-01,9862000000.00
1996-05-01,9898000000.00
1996-06-01,10255000000.00
1996-07-01,10258000000.00
1996-08-01,9778000000.00
1996-09-01,9665000000.00
1996-10-01,9325000000.00
1996-11-01,9207000000.00
1996-12-01,8641000000.00
1997-01-01,9403000000.00
1997-02-01,8938000000.00
1997-03-01,8548000000.00
1997-04-01,8628000000.00
1997-05-01,8515000000.00
1997-06-01,8369000000.00
1997-07-01,8549000000.00
1997-08-01,8338000000.00
1997-09-01,8495000000.00
1997-10-01,8232000000.00
1997-11-01,8089000000.00
1997-12-01,8380000000.00
1998-01-01,8928000000.00
1998-02-01,9758000000.00
1998-03-01,10081000000.00
1998-04-01,10153000000.00
1998-05-01,10606000000.00
1998-06-01,10587000000.00
1998-07-01,11080000000.00
1998-08-01,11218000000.00
1998-09-01,10993000000.00
1998-10-01,11140000000.00
1998-11-01,11278000000.00
1998-12-01,11376000000.00
1999-01-01,10661000000.00
1999-02-01,11194000000.00
1999-03-01,10658000000.00
1999-04-01,10654000000.00
1999-05-01,10754000000.00
1999-06-01,10304000000.00
1999-07-01,11080000000.00
1999-08-01,11051000000.00
1999-09-01,11212000000.00
1999-10-01,10789000000.00
1999-11-01,10806000000.00
1999-12-01,11052000000.00
2000-01-01,11706000000.00
2000-02-01,11729000000.00
2000-03-01,10234000000.00
2000-04-01,10316000000.00
2000-05-01,10409000000.00
2000-06-01,10728000000.00
2000-07-01,10348000000.00
2000-08-01,10345000000.00
2000-09-01,10446000000.00
2000-10-01,10277000000.00
2000-11-01,10450000000.00
2000-12-01,9423000000.00
2001-01-01,9781000000.00
2001-02-01,9890000000.00
2001-03-01,8930000000.00
2001-04-01,8677000000.00
2001-05-01,8820000000.00
2001-06-01,8556000000.00
2001-07-01,8789000000.00
2001-08-01,8942000000.00
2001-09-01,8624000000.00
2001-10-01,8768000000.00
2001-11-01,8767000000.00
2001-12-01,9092000000.00
2002-01-01,9283000000.00
2002-02-01,9439000000.00
2002-03-01,9052000000.00
2002-04-01,9196000000.00
2002-05-01,9104000000.00
2002-06-01,9305000000.00
2002-07-01,9197000000.00
2002-08-01,9708000000.00
2002-09-01,9440000000.00
2002-10-01,9422000000.00
2002-11-01,9274000000.00
2002-12-01,9247000000.00
2003-01-01,9248000000.00
2003-02-01,9789000000.00
2003-03-01,9601000000.00
2003-04-01,9828000000.00
2003-05-01,9852000000.00
2003-06-01,10091000000.00
2003-07-01,10285000000.00
2003-08-01,10261000000.00
2003-09-01,10180000000.00
2003-10-01,10345000000.00
2003-11-01,10329000000.00
2003-12-01,10484000000.00
2004-01-01,10475000000.00
2004-02-01,10789000000.00
2004-03-01,10466000000.00
2004-04-01,10498000000.00
2004-05-01,10387000000.00
2004-06-01,10672000000.00
2004-07-01,10668000000.00
2004-08-01,10486000000.00
2004-09-01,10496000000.00
