Date,TFAABSHNO
1945-10-01,644366000000.00
1946-10-01,697872000000.00
1947-10-01,745113000000.00
1948-10-01,773052000000.00
1949-10-01,796359000000.00
1950-10-01,854185000000.00
1951-10-01,927818000000.00
1952-01-01,940207000000.00
1952-04-01,954771000000.00
1952-07-01,966301000000.00
1952-10-01,963964000000.00
1953-01-01,967317000000.00
1953-04-01,964844000000.00
1953-07-01,970715000000.00
1953-10-01,994533000000.00
1954-01-01,1012089000000.00
1954-04-01,1034388000000.00
1954-07-01,1064288000000.00
1954-10-01,1076464000000.00
1955-01-01,1094635000000.00
1955-04-01,1123831000000.00
1955-07-01,1153437000000.00
1955-10-01,1168580000000.00
1956-01-01,1200913000000.00
1956-04-01,1205186000000.00
1956-07-01,1215436000000.00
1956-10-01,1249865000000.00
1957-01-01,1252627000000.00
1957-04-01,1283052000000.00
1957-07-01,1275478000000.00
1957-10-01,1290862000000.00
1958-01-01,1322258000000.00
1958-04-01,1347067000000.00
1958-07-01,1394170000000.00
1958-10-01,1419771000000.00
1959-01-01,1438362000000.00
1959-04-01,1460249000000.00
1959-07-01,1468241000000.00
1959-10-01,1499474000000.00
1960-01-01,1493492000000.00
1960-04-01,1511100000000.00
1960-07-01,1502732000000.00
1960-10-01,1558394000000.00
1961-01-01,1610884000000.00
1961-04-01,1627062000000.00
1961-07-01,1655697000000.00
1961-10-01,1707589000000.00
1962-01-01,1711160000000.00
1962-04-01,1615278000000.00
1962-07-01,1652705000000.00
1962-10-01,1754266000000.00
1963-01-01,1793081000000.00
1963-04-01,1830533000000.00
1963-07-01,1866258000000.00
1963-10-01,1861378000000.00
1964-01-01,1907275000000.00
1964-04-01,1944621000000.00
1964-07-01,1988367000000.00
1964-10-01,2025792000000.00
1965-01-01,2061737000000.00
1965-04-01,2058971000000.00
1965-07-01,2134890000000.00
1965-10-01,2205463000000.00
1966-01-01,2210018000000.00
1966-04-01,2215497000000.00
1966-07-01,2180978000000.00
1966-10-01,2251069000000.00
1967-01-01,2349313000000.00
1967-04-01,2380736000000.00
1967-07-01,2454158000000.00
1967-10-01,2514931000000.00
1968-01-01,2495821000000.00
1968-04-01,2622094000000.00
1968-07-01,2669685000000.00
1968-10-01,2803016000000.00
1969-01-01,2785789000000.00
1969-04-01,2777086000000.00
1969-07-01,2784423000000.00
1969-10-01,2783036000000.00
1970-01-01,2790397000000.00
1970-04-01,2687543000000.00
1970-07-01,2817808000000.00
1970-10-01,2924113000000.00
1971-01-01,3053020000000.00
1971-04-01,3103132000000.00
1971-07-01,3142640000000.00
1971-10-01,3250908000000.00
1972-01-01,3361434000000.00
1972-04-01,3412311000000.00
1972-07-01,3500824000000.00
1972-10-01,3698285000000.00
1973-01-01,3689788000000.00
1973-04-01,3686364000000.00
1973-07-01,3817382000000.00
1973-10-01,3742222000000.00
1974-01-01,3776099000000.00
1974-04-01,3760534000000.00
1974-07-01,3686433000000.00
1974-10-01,3782480000000.00
1975-01-01,3961688000000.00
1975-04-01,4137730000000.00
1975-07-01,4126732000000.00
1975-10-01,4258295000000.00
1976-01-01,4424392000000.00
1976-04-01,4540984000000.00
1976-07-01,4627850000000.00
1976-10-01,4749369000000.00
1977-01-01,4782544000000.00
1977-04-01,4889623000000.00
1977-07-01,4968764000000.00
1977-10-01,5055310000000.00
1978-01-01,5150885000000.00
1978-04-01,5321137000000.00
1978-07-01,5499996000000.00
1978-10-01,5596722000000.00
1979-01-01,5780667000000.00
1979-04-01,5942255000000.00
1979-07-01,6148543000000.00
1979-10-01,6354109000000.00
1980-01-01,6418117000000.00
1980-04-01,6680404000000.00
1980-07-01,6975886000000.00
1980-10-01,7275488000000.00
1981-01-01,7413796000000.00
1981-04-01,7523317000000.00
1981-07-01,7510729000000.00
1981-10-01,7777590000000.00
1982-01-01,7784659000000.00
1982-04-01,7887080000000.00
1982-07-01,8102655000000.00
1982-10-01,8419580000000.00
1983-01-01,8690484000000.00
1983-04-01,8986836000000.00
1983-07-01,9124374000000.00
1983-10-01,9201333000000.00
1984-01-01,9265004000000.00
1984-04-01,9375846000000.00
1984-07-01,9608541000000.00
1984-10-01,9791971000000.00
1985-01-01,10101877000000.00
1985-04-01,10318430000000.00
1985-07-01,10395072000000.00
1985-10-01,10806698000000.00
1986-01-01,11211113000000.00
1986-04-01,11474246000000.00
1986-07-01,11522220000000.00
1986-10-01,11997365000000.00
1987-01-01,12502120000000.00
1987-04-01,12710835000000.00
1987-07-01,13040455000000.00
1987-10-01,12816759000000.00
1988-01-01,13165923000000.00
1988-04-01,13437268000000.00
1988-07-01,13635312000000.00
1988-10-01,14031571000000.00
1989-01-01,14347298000000.00
1989-04-01,14671379000000.00
1989-07-01,15068631000000.00
1989-10-01,15377388000000.00
1990-01-01,15413953000000.00
1990-04-01,15654536000000.00
1990-07-01,15414611000000.00
1990-10-01,15917560000000.00
1991-01-01,16486527000000.00
1991-04-01,16524737000000.00
1991-07-01,16790818000000.00
1991-10-01,17387214000000.00
1992-01-01,17371267000000.00
1992-04-01,17435244000000.00
1992-07-01,17715660000000.00
1992-10-01,18306633000000.00
1993-01-01,18630613000000.00
1993-04-01,18852092000000.00
1993-07-01,19181035000000.00
1993-10-01,19588720000000.00
1994-01-01,19675409000000.00
1994-04-01,19812788000000.00
