Date,M2V
1959-01-01,1.78
1959-04-01,1.79
1959-07-01,1.77
1959-10-01,1.78
1960-01-01,1.82
1960-04-01,1.80
1960-07-01,1.78
1960-10-01,1.74
1961-01-01,1.73
1961-04-01,1.73
1961-07-01,1.74
1961-10-01,1.75
1962-01-01,1.75
1962-04-01,1.73
1962-07-01,1.73
1962-10-01,1.70
1963-01-01,1.69
1963-04-01,1.68
1963-07-01,1.68
1963-10-01,1.68
1964-01-01,1.69
1964-04-01,1.68
1964-07-01,1.68
1964-10-01,1.66
1965-01-01,1.67
1965-04-01,1.67
1965-07-01,1.68
1965-10-01,1.70
1966-01-01,1.72
1966-04-01,1.72
1966-07-01,1.74
1966-10-01,1.75
1967-01-01,1.74
1967-04-01,1.71
1967-07-01,1.70
1967-10-01,1.69
1968-01-01,1.72
1968-04-01,1.74
1968-07-01,1.73
1968-10-01,1.73
1969-01-01,1.74
1969-04-01,1.75
1969-07-01,1.78
1969-10-01,1.78
1970-01-01,1.79
1970-04-01,1.81
1970-07-01,1.80
1970-10-01,1.76
1971-01-01,1.77
1971-04-01,1.74
1971-07-01,1.72
1971-10-01,1.69
1972-01-01,1.70
1972-04-01,1.71
1972-07-01,1.68
1972-10-01,1.68
1973-01-01,1.70
1973-04-01,1.72
1973-07-01,1.71
1973-10-01,1.74
1974-01-01,1.73
1974-04-01,1.75
1974-07-01,1.77
1974-10-01,1.79
1975-01-01,1.77
1975-04-01,1.75
1975-07-01,1.74
1975-10-01,1.75
1976-01-01,1.76
1976-04-01,1.74
1976-07-01,1.72
1976-10-01,1.70
1977-01-01,1.69
1977-04-01,1.70
1977-07-01,1.72
1977-10-01,1.72
1978-01-01,1.72
1978-04-01,1.78
1978-07-01,1.80
1978-10-01,1.83
1979-01-01,1.84
1979-04-01,1.84
1979-07-01,1.85
1979-10-01,1.86
1980-01-01,1.87
1980-04-01,1.85
1980-07-01,1.83
1980-10-01,1.88
1981-01-01,1.93
1981-04-01,1.90
1981-07-01,1.93
1981-10-01,1.89
1982-01-01,1.84
1982-04-01,1.84
1982-07-01,1.83
1982-10-01,1.81
1983-01-01,1.75
1983-04-01,1.76
1983-07-01,1.78
1983-10-01,1.80
1984-01-01,1.81
1984-04-01,1.82
1984-07-01,1.83
1984-10-01,1.82
1985-01-01,1.80
1985-04-01,1.80
1985-07-01,1.80
1985-10-01,1.80
1986-01-01,1.80
1986-04-01,1.76
1986-07-01,1.75
1986-10-01,1.73
1987-01-01,1.72
1987-04-01,1.74
1987-07-01,1.76
1987-10-01,1.78
1988-01-01,1.77
1988-04-01,1.78
1988-07-01,1.80
1988-10-01,1.82
1989-01-01,1.85
1989-04-01,1.87
1989-07-01,1.86
1989-10-01,1.84
1990-01-01,1.85
1990-04-01,1.86
1990-07-01,1.86
1990-10-01,1.85
1991-01-01,1.83
1991-04-01,1.84
1991-07-01,1.85
1991-10-01,1.87
1992-01-01,1.88
1992-04-01,1.91
1992-07-01,1.94
1992-10-01,1.96
1993-01-01,1.98
1993-04-01,1.99
1993-07-01,2.00
1993-10-01,2.03
1994-01-01,2.05
1994-04-01,2.09
1994-07-01,2.11
1994-10-01,2.15
1995-01-01,2.16
1995-04-01,2.16
1995-07-01,2.15
1995-10-01,2.15
1996-01-01,2.15
1996-04-01,2.17
1996-07-01,2.18
1996-10-01,2.19
1997-01-01,2.19
1997-04-01,2.20
1997-07-01,2.21
1997-10-01,2.20
1998-01-01,2.18
1998-04-01,2.17
1998-07-01,2.17
1998-10-01,2.15
1999-01-01,2.14
1999-04-01,2.14
1999-07-01,2.14
1999-10-01,2.16
2000-01-01,2.15
2000-04-01,2.16
2000-07-01,2.15
2000-10-01,2.15
2001-01-01,2.10
2001-04-01,2.07
2001-07-01,2.03
2001-10-01,1.99
2002-01-01,1.98
2002-04-01,1.99
2002-07-01,1.97
2002-10-01,1.94
2003-01-01,1.93
2003-04-01,1.92
2003-07-01,1.92
2003-10-01,1.95
2004-01-01,1.97
2004-04-01,1.96
2004-07-01,1.96
2004-10-01,1.97
2005-01-01,2.00
2005-04-01,2.01
2005-07-01,2.01
2005-10-01,2.01
2006-01-01,2.03
2006-04-01,2.03
2006-07-01,2.02
2006-10-01,2.01
2007-01-01,2.00
2007-04-01,1.99
2007-07-01,1.98
2007-10-01,1.98
2008-01-01,1.94
2008-04-01,1.92
2008-07-01,1.90
2008-10-01,1.81
2009-01-01,1.73
2009-04-01,1.71
2009-07-01,1.71
2009-10-01,1.72
2010-01-01,1.73
2010-04-01,1.74
2010-07-01,1.74
2010-10-01,1.74
2011-01-01,1.72
2011-04-01,1.71
2011-07-01,1.65
2011-10-01,1.64
2012-01-01,1.63
2012-04-01,1.63
2012-07-01,1.60
2012-10-01,1.58
2013-01-01,1.57
2013-04-01,1.56
2013-07-01,1.55
2013-10-01,1.55
2014-01-01,1.53
2014-04-01,1.53
2014-07-01,1.54
2014-10-01,1.53
2015-01-01,1.51
2015-04-01,1.51
2015-07-01,1.51
2015-10-01,1.49
2016-01-01,1.46
2016-04-01,1.45
2016-07-01,1.44
2016-10-01,1.44
2017-01-01,1.43
2017-04-01,1.43
2017-07-01,1.43
2017-10-01,1.43
2018-01-01,1.44
