Date,RTWVDCO684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.82
1988-03-01,99.23
1988-04-01,98.11
1988-05-01,98.38
1988-06-01,100.29
1988-07-01,103.45
1988-08-01,104.57
1988-09-01,104.84
1988-10-01,102.23
1988-11-01,99.16
1988-12-01,98.83
1989-01-01,101.28
1989-02-01,101.92
1989-03-01,103.39
1989-04-01,103.47
1989-05-01,106.65
1989-06-01,108.92
1989-07-01,106.12
1989-08-01,106.93
1989-09-01,108.08
1989-10-01,105.80
1989-11-01,105.56
1989-12-01,103.42
1990-01-01,102.79
1990-02-01,102.72
1990-03-01,104.56
1990-04-01,104.04
1990-05-01,102.57
1990-06-01,103.21
1990-07-01,101.05
1990-08-01,99.13
1990-09-01,98.39
1990-10-01,95.83
1990-11-01,95.06
1990-12-01,96.16
1991-01-01,95.97
1991-02-01,94.53
1991-03-01,98.98
1991-04-01,100.66
1991-05-01,101.17
1991-06-01,103.18
1991-07-01,102.91
1991-08-01,101.62
1991-09-01,100.09
1991-10-01,98.97
1991-11-01,97.02
1991-12-01,95.69
1992-01-01,95.61
1992-02-01,97.28
1992-03-01,99.39
1992-04-01,98.67
1992-05-01,97.57
1992-06-01,96.04
1992-07-01,94.11
1992-08-01,93.41
1992-09-01,93.85
1992-10-01,95.97
1992-11-01,99.56
1992-12-01,99.60
1993-01-01,100.72
1993-02-01,101.00
1993-03-01,100.26
1993-04-01,98.15
1993-05-01,98.02
1993-06-01,98.82
1993-07-01,100.02
1993-08-01,99.80
1993-09-01,98.91
1993-10-01,99.85
1993-11-01,100.97
1993-12-01,101.10
1994-01-01,101.83
1994-02-01,101.20
1994-03-01,100.90
1994-04-01,100.75
1994-05-01,99.65
1994-06-01,98.90
1994-07-01,97.28
1994-08-01,97.24
1994-09-01,96.22
1994-10-01,95.22
1994-11-01,95.70
1994-12-01,97.52
1995-01-01,97.72
1995-02-01,97.02
1995-03-01,94.40
1995-04-01,91.50
1995-05-01,91.90
1995-06-01,91.82
1995-07-01,91.85
1995-08-01,94.34
1995-09-01,95.61
1995-10-01,95.12
1995-11-01,95.64
1995-12-01,96.15
1996-01-01,97.45
1996-02-01,97.38
1996-03-01,97.59
1996-04-01,97.94
1996-05-01,98.20
1996-06-01,98.57
1996-07-01,98.46
1996-08-01,97.88
1996-09-01,98.55
1996-10-01,99.24
1996-11-01,98.68
1996-12-01,99.66
1997-01-01,101.14
1997-02-01,103.46
1997-03-01,104.39
1997-04-01,104.85
1997-05-01,103.35
1997-06-01,103.09
1997-07-01,104.39
1997-08-01,106.40
1997-09-01,106.45
1997-10-01,106.69
1997-11-01,108.09
1997-12-01,112.27
1998-01-01,115.43
1998-02-01,113.52
1998-03-01,113.19
1998-04-01,112.85
1998-05-01,113.41
1998-06-01,115.72
1998-07-01,116.21
1998-08-01,117.76
1998-09-01,115.08
1998-10-01,111.67
1998-11-01,111.84
1998-12-01,111.00
1999-01-01,110.88
1999-02-01,112.64
1999-03-01,114.71
1999-04-01,114.79
1999-05-01,114.64
1999-06-01,115.52
1999-07-01,116.13
1999-08-01,114.44
1999-09-01,113.92
1999-10-01,113.07
1999-11-01,114.06
1999-12-01,114.05
2000-01-01,114.03
2000-02-01,116.21
2000-03-01,117.36
2000-04-01,117.92
2000-05-01,120.86
2000-06-01,119.18
2000-07-01,119.92
2000-08-01,121.02
2000-09-01,122.96
2000-10-01,124.84
2000-11-01,125.60
2000-12-01,123.91
2001-01-01,124.02
2001-02-01,125.16
2001-03-01,127.52
2001-04-01,128.76
2001-05-01,128.81
2001-06-01,129.93
2001-07-01,130.11
2001-08-01,127.62
2001-09-01,127.90
2001-10-01,128.67
2001-11-01,129.59
2001-12-01,129.27
2002-01-01,130.55
2002-02-01,131.03
2002-03-01,130.62
2002-04-01,130.14
2002-05-01,127.80
2002-06-01,125.92
2002-07-01,124.25
2002-08-01,125.78
2002-09-01,126.48
2002-10-01,127.40
2002-11-01,125.87
2002-12-01,124.73
2003-01-01,123.01
2003-02-01,123.16
2003-03-01,123.05
2003-04-01,121.87
2003-05-01,117.48
2003-06-01,116.98
2003-07-01,118.26
2003-08-01,119.60
2003-09-01,118.38
2003-10-01,115.92
2003-11-01,115.27
2003-12-01,113.61
2004-01-01,112.02
2004-02-01,112.95
2004-03-01,114.31
2004-04-01,115.10
2004-05-01,117.52
2004-06-01,116.57
2004-07-01,115.08
2004-08-01,114.98
2004-09-01,114.43
2004-10-01,112.93
2004-11-01,109.80
2004-12-01,108.45
2005-01-01,109.19
2005-02-01,109.50
2005-03-01,109.04
2005-04-01,110.54
2005-05-01,110.95
2005-06-01,111.53
2005-07-01,111.83
2005-08-01,110.64
2005-09-01,111.26
2005-10-01,112.48
2005-11-01,112.29
2005-12-01,110.74
2006-01-01,109.66
2006-02-01,109.82
2006-03-01,110.66
2006-04-01,110.39
2006-05-01,108.45
2006-06-01,110.03
2006-07-01,109.86
2006-08-01,109.04
2006-09-01,108.94
2006-10-01,108.92
2006-11-01,107.87
2006-12-01,107.13
2007-01-01,108.44
2007-02-01,108.27
2007-03-01,108.60
2007-04-01,107.11
2007-05-01,106.22
2007-06-01,105.63
2007-07-01,103.90
2007-08-01,104.23
2007-09-01,102.88
2007-10-01,100.18
2007-11-01,99.09
2007-12-01,99.97
2008-01-01,99.86
2008-02-01,98.58
2008-03-01,97.58
2008-04-01,97.36
2008-05-01,97.72
2008-06-01,98.53
2008-07-01,97.86
2008-08-01,100.16
2008-09-01,102.60
2008-10-01,110.92
2008-11-01,112.24
2008-12-01,110.82
2009-01-01,111.58
2009-02-01,114.20
2009-03-01,115.41
2009-04-01,112.24
2009-05-01,108.26
2009-06-01,107.35
2009-07-01,106.76
2009-08-01,104.85
2009-09-01,104.36
2009-10-01,102.58
2009-11-01,102.03
2009-12-01,101.92
2010-01-01,101.80
2010-02-01,103.02
2010-03-01,102.04
2010-04-01,100.96
2010-05-01,104.23
2010-06-01,104.85
2010-07-01,103.04
2010-08-01,102.03
2010-09-01,101.05
2010-10-01,98.19
2010-11-01,98.13
2010-12-01,98.64
2011-01-01,97.54
2011-02-01,96.72
2011-03-01,96.32
2011-04-01,94.93
2011-05-01,95.15
2011-06-01,95.15
2011-07-01,93.97
2011-08-01,94.67
2011-09-01,97.74
2011-10-01,98.76
2011-11-01,99.05
2011-12-01,99.66
2012-01-01,99.10
2012-02-01,97.20
2012-03-01,98.06
2012-04-01,98.28
2012-05-01,100.10
2012-06-01,101.64
2012-07-01,100.43
2012-08-01,99.46
2012-09-01,98.42
2012-10-01,98.12
2012-11-01,98.44
2012-12-01,97.46
2013-01-01,97.42
2013-02-01,98.37
2013-03-01,99.55
2013-04-01,98.87
2013-05-01,99.45
2013-06-01,100.77
2013-07-01,101.16
2013-08-01,101.05
2013-09-01,100.69
2013-10-01,99.46
2013-11-01,100.03
2013-12-01,100.33
2014-01-01,101.61
2014-02-01,101.69
2014-03-01,101.79
2014-04-01,101.05
2014-05-01,100.76
2014-06-01,100.86
2014-07-01,100.19
2014-08-01,101.05
2014-09-01,102.45
2014-10-01,103.73
2014-11-01,104.86
2014-12-01,106.53
2015-01-01,108.52
2015-02-01,109.90
2015-03-01,112.35
2015-04-01,111.52
2015-05-01,110.88
2015-06-01,112.16
2015-07-01,113.98
2015-08-01,115.96
2015-09-01,117.12
2015-10-01,116.00
2015-11-01,117.42
2015-12-01,118.15
2016-01-01,120.93
2016-02-01,119.35
2016-03-01,116.93
2016-04-01,114.93
2016-05-01,116.75
2016-06-01,117.40
2016-07-01,117.33
2016-08-01,116.23
2016-09-01,117.57
2016-10-01,118.71
2016-11-01,121.21
2016-12-01,123.11
2017-01-01,123.20
2017-02-01,121.17
2017-03-01,120.47
2017-04-01,119.39
2017-05-01,119.20
2017-06-01,117.52
2017-07-01,115.24
2017-08-01,114.17
2017-09-01,113.66
2017-10-01,115.78
2017-11-01,115.86
2017-12-01,115.12
2018-01-01,113.13
2018-02-01,112.36
2018-03-01,113.26
