Date,U35CTI
1992-01-01,4323000000.00
1992-02-01,4401000000.00
1992-03-01,4327000000.00
1992-04-01,4447000000.00
1992-05-01,4467000000.00
1992-06-01,4268000000.00
1992-07-01,4336000000.00
1992-08-01,4374000000.00
1992-09-01,4231000000.00
1992-10-01,4182000000.00
1992-11-01,4152000000.00
1992-12-01,3853000000.00
1993-01-01,3965000000.00
1993-02-01,4072000000.00
1993-03-01,4116000000.00
1993-04-01,4263000000.00
1993-05-01,4302000000.00
1993-06-01,4202000000.00
1993-07-01,4222000000.00
1993-08-01,4230000000.00
1993-09-01,4186000000.00
1993-10-01,4204000000.00
1993-11-01,4202000000.00
1993-12-01,3846000000.00
1994-01-01,4013000000.00
1994-02-01,4067000000.00
1994-03-01,4045000000.00
1994-04-01,4183000000.00
1994-05-01,4205000000.00
1994-06-01,4141000000.00
1994-07-01,4309000000.00
1994-08-01,4375000000.00
1994-09-01,4356000000.00
1994-10-01,4395000000.00
1994-11-01,4441000000.00
1994-12-01,4260000000.00
1995-01-01,4498000000.00
1995-02-01,4554000000.00
1995-03-01,4648000000.00
1995-04-01,4770000000.00
1995-05-01,4810000000.00
1995-06-01,4741000000.00
1995-07-01,4896000000.00
1995-08-01,4926000000.00
1995-09-01,4812000000.00
1995-10-01,4883000000.00
1995-11-01,4934000000.00
1995-12-01,4592000000.00
1996-01-01,4532000000.00
1996-02-01,4647000000.00
1996-03-01,4412000000.00
1996-04-01,4490000000.00
1996-05-01,4554000000.00
1996-06-01,4389000000.00
1996-07-01,4544000000.00
1996-08-01,4577000000.00
1996-09-01,4614000000.00
1996-10-01,4692000000.00
1996-11-01,4872000000.00
1996-12-01,4575000000.00
1997-01-01,4578000000.00
1997-02-01,4657000000.00
1997-03-01,4584000000.00
1997-04-01,4622000000.00
1997-05-01,4647000000.00
1997-06-01,4475000000.00
1997-07-01,4659000000.00
1997-08-01,4674000000.00
1997-09-01,4574000000.00
1997-10-01,4629000000.00
1997-11-01,4637000000.00
1997-12-01,4294000000.00
1998-01-01,4417000000.00
1998-02-01,4499000000.00
1998-03-01,4421000000.00
1998-04-01,4370000000.00
1998-05-01,4314000000.00
1998-06-01,4218000000.00
1998-07-01,4321000000.00
1998-08-01,4419000000.00
1998-09-01,4319000000.00
1998-10-01,4451000000.00
1998-11-01,4488000000.00
1998-12-01,4316000000.00
1999-01-01,4323000000.00
1999-02-01,4325000000.00
1999-03-01,4155000000.00
1999-04-01,4264000000.00
1999-05-01,4245000000.00
1999-06-01,4068000000.00
1999-07-01,4205000000.00
1999-08-01,4275000000.00
1999-09-01,4178000000.00
1999-10-01,4341000000.00
1999-11-01,4411000000.00
1999-12-01,4333000000.00
2000-01-01,4492000000.00
2000-02-01,4559000000.00
2000-03-01,4331000000.00
2000-04-01,4332000000.00
2000-05-01,4339000000.00
2000-06-01,4200000000.00
2000-07-01,4301000000.00
2000-08-01,4600000000.00
2000-09-01,4442000000.00
2000-10-01,4603000000.00
2000-11-01,4674000000.00
2000-12-01,4554000000.00
2001-01-01,4519000000.00
2001-02-01,4712000000.00
2001-03-01,4587000000.00
2001-04-01,4660000000.00
2001-05-01,4560000000.00
2001-06-01,4244000000.00
2001-07-01,4291000000.00
2001-08-01,4284000000.00
2001-09-01,4078000000.00
2001-10-01,4261000000.00
2001-11-01,4228000000.00
2001-12-01,4164000000.00
2002-01-01,4224000000.00
2002-02-01,4259000000.00
2002-03-01,4095000000.00
2002-04-01,4198000000.00
2002-05-01,4137000000.00
2002-06-01,4032000000.00
2002-07-01,4053000000.00
2002-08-01,4023000000.00
2002-09-01,3915000000.00
2002-10-01,4006000000.00
2002-11-01,4025000000.00
2002-12-01,3891000000.00
2003-01-01,4080000000.00
2003-02-01,4112000000.00
2003-03-01,3978000000.00
2003-04-01,4008000000.00
2003-05-01,3993000000.00
2003-06-01,3817000000.00
2003-07-01,3749000000.00
2003-08-01,3811000000.00
2003-09-01,3644000000.00
2003-10-01,3750000000.00
2003-11-01,3821000000.00
2003-12-01,3800000000.00
2004-01-01,3915000000.00
2004-02-01,4012000000.00
2004-03-01,3967000000.00
2004-04-01,3992000000.00
2004-05-01,4049000000.00
2004-06-01,3930000000.00
2004-07-01,3954000000.00
2004-08-01,4013000000.00
2004-09-01,3924000000.00
2004-10-01,3970000000.00
2004-11-01,4043000000.00
2004-12-01,3971000000.00
2005-01-01,4125000000.00
2005-02-01,4189000000.00
2005-03-01,4209000000.00
2005-04-01,4254000000.00
2005-05-01,4232000000.00
2005-06-01,4104000000.00
2005-07-01,4102000000.00
2005-08-01,4093000000.00
2005-09-01,4129000000.00
2005-10-01,4206000000.00
2005-11-01,4323000000.00
2005-12-01,4240000000.00
2006-01-01,4430000000.00
2006-02-01,4518000000.00
2006-03-01,4486000000.00
2006-04-01,4560000000.00
2006-05-01,4586000000.00
2006-06-01,4571000000.00
2006-07-01,4722000000.00
2006-08-01,4762000000.00
2006-09-01,4603000000.00
2006-10-01,4882000000.00
2006-11-01,4994000000.00
2006-12-01,5047000000.00
2007-01-01,5088000000.00
2007-02-01,5071000000.00
2007-03-01,5005000000.00
2007-04-01,5074000000.00
2007-05-01,5041000000.00
2007-06-01,4899000000.00
2007-07-01,4986000000.00
2007-08-01,4922000000.00
2007-09-01,4589000000.00
2007-10-01,4887000000.00
2007-11-01,5271000000.00
2007-12-01,5349000000.00
2008-01-01,5622000000.00
2008-02-01,5729000000.00
2008-03-01,5525000000.00
2008-04-01,5521000000.00
2008-05-01,5472000000.00
2008-06-01,5298000000.00
2008-07-01,5398000000.00
2008-08-01,5499000000.00
2008-09-01,5240000000.00
2008-10-01,5353000000.00
2008-11-01,5367000000.00
2008-12-01,5294000000.00
2009-01-01,5075000000.00
2009-02-01,4933000000.00
2009-03-01,4787000000.00
2009-04-01,4584000000.00
2009-05-01,4416000000.00
2009-06-01,4144000000.00
2009-07-01,4028000000.00
2009-08-01,4009000000.00
2009-09-01,3919000000.00
2009-10-01,4019000000.00
2009-11-01,4086000000.00
2009-12-01,4159000000.00
2010-01-01,4225000000.00
2010-02-01,4223000000.00
2010-03-01,4238000000.00
2010-04-01,4231000000.00
2010-05-01,4239000000.00
2010-06-01,4233000000.00
2010-07-01,4336000000.00
2010-08-01,4252000000.00
2010-09-01,4248000000.00
2010-10-01,4376000000.00
2010-11-01,4380000000.00
2010-12-01,4201000000.00
2011-01-01,4198000000.00
2011-02-01,4428000000.00
2011-03-01,4270000000.00
2011-04-01,4468000000.00
2011-05-01,4579000000.00
2011-06-01,4559000000.00
2011-07-01,4673000000.00
2011-08-01,4680000000.00
2011-09-01,4376000000.00
2011-10-01,4665000000.00
2011-11-01,4820000000.00
2011-12-01,4748000000.00
2012-01-01,4936000000.00
2012-02-01,4991000000.00
2012-03-01,4940000000.00
2012-04-01,5124000000.00
2012-05-01,5177000000.00
2012-06-01,5017000000.00
2012-07-01,5134000000.00
2012-08-01,5158000000.00
2012-09-01,4797000000.00
2012-10-01,5112000000.00
2012-11-01,5215000000.00
2012-12-01,4962000000.00
2013-01-01,5195000000.00
2013-02-01,5270000000.00
2013-03-01,5064000000.00
2013-04-01,5197000000.00
2013-05-01,5239000000.00
2013-06-01,5064000000.00
2013-07-01,5189000000.00
2013-08-01,5178000000.00
2013-09-01,4725000000.00
2013-10-01,5107000000.00
2013-11-01,5157000000.00
2013-12-01,5020000000.00
2014-01-01,5065000000.00
2014-02-01,5154000000.00
2014-03-01,4969000000.00
2014-04-01,5233000000.00
2014-05-01,5265000000.00
2014-06-01,5062000000.00
2014-07-01,5248000000.00
2014-08-01,5258000000.00
2014-09-01,4941000000.00
2014-10-01,5214000000.00
2014-11-01,5260000000.00
2014-12-01,5027000000.00
2015-01-01,5198000000.00
2015-02-01,5312000000.00
2015-03-01,5142000000.00
2015-04-01,5238000000.00
2015-05-01,5302000000.00
2015-06-01,5183000000.00
2015-07-01,5243000000.00
2015-08-01,5188000000.00
2015-09-01,4796000000.00
2015-10-01,5042000000.00
2015-11-01,5104000000.00
2015-12-01,4903000000.00
2016-01-01,4983000000.00
2016-02-01,5043000000.00
2016-03-01,4931000000.00
2016-04-01,5085000000.00
2016-05-01,5044000000.00
2016-06-01,4856000000.00
2016-07-01,4917000000.00
2016-08-01,4917000000.00
2016-09-01,4587000000.00
2016-10-01,4747000000.00
2016-11-01,4800000000.00
2016-12-01,4602000000.00
2017-01-01,4768000000.00
2017-02-01,4839000000.00
2017-03-01,4749000000.00
2017-04-01,4834000000.00
2017-05-01,4903000000.00
2017-06-01,4811000000.00
2017-07-01,4924000000.00
2017-08-01,4960000000.00
2017-09-01,4622000000.00
2017-10-01,4860000000.00
2017-11-01,4927000000.00
2017-12-01,4734000000.00
2018-01-01,5051000000.00
2018-02-01,5133000000.00
2018-03-01,5100000000.00
2018-04-01,5215000000.00
