Date,FINSLC1
1947-01-01,1949788000000.00
1947-04-01,1962863000000.00
1947-07-01,1977916000000.00
1947-10-01,1980352000000.00
1948-01-01,1987149000000.00
1948-04-01,1997827000000.00
1948-07-01,2001834000000.00
1948-10-01,2017820000000.00
1949-01-01,2025770000000.00
1949-04-01,2051877000000.00
1949-07-01,2051010000000.00
1949-10-01,2058815000000.00
1950-01-01,2091771000000.00
1950-04-01,2147745000000.00
1950-07-01,2223977000000.00
1950-10-01,2204884000000.00
1951-01-01,2271574000000.00
1951-04-01,2284702000000.00
1951-07-01,2361155000000.00
1951-10-01,2396672000000.00
1952-01-01,2417708000000.00
1952-04-01,2458358000000.00
1952-07-01,2436749000000.00
1952-10-01,2516990000000.00
1953-01-01,2570940000000.00
1953-04-01,2591844000000.00
1953-07-01,2586522000000.00
1953-10-01,2572859000000.00
1954-01-01,2558295000000.00
1954-04-01,2567942000000.00
1954-07-01,2593693000000.00
1954-10-01,2635744000000.00
1955-01-01,2686114000000.00
1955-04-01,2720898000000.00
1955-07-01,2760711000000.00
1955-10-01,2768073000000.00
1956-01-01,2763719000000.00
1956-04-01,2795216000000.00
1956-07-01,2797430000000.00
1956-10-01,2845721000000.00
1957-01-01,2871299000000.00
1957-04-01,2861413000000.00
1957-07-01,2883350000000.00
1957-10-01,2882610000000.00
1958-01-01,2812037000000.00
1958-04-01,2828015000000.00
1958-07-01,2869103000000.00
1958-10-01,2925085000000.00
1959-01-01,2980647000000.00
1959-04-01,3029939000000.00
1959-07-01,3063273000000.00
1959-10-01,3053760000000.00
1960-01-01,3087744000000.00
1960-04-01,3118577000000.00
1960-07-01,3117178000000.00
1960-10-01,3132916000000.00
1961-01-01,3138571000000.00
1961-04-01,3172703000000.00
1961-07-01,3199680000000.00
1961-10-01,3271917000000.00
1962-01-01,3312668000000.00
1962-04-01,3367517000000.00
1962-07-01,3394792000000.00
1962-10-01,3422737000000.00
1963-01-01,3439606000000.00
1963-04-01,3499140000000.00
1963-07-01,3563796000000.00
1963-10-01,3598843000000.00
1964-01-01,3674695000000.00
1964-04-01,3719825000000.00
1964-07-01,3765998000000.00
1964-10-01,3778733000000.00
1965-01-01,3839928000000.00
1965-04-01,3909168000000.00
1965-07-01,3982980000000.00
1965-10-01,4088619000000.00
1966-01-01,4158688000000.00
1966-04-01,4180548000000.00
1966-07-01,4217135000000.00
1966-10-01,4231252000000.00
1967-01-01,4276666000000.00
1967-04-01,4323141000000.00
1967-07-01,4348166000000.00
1967-10-01,4388277000000.00
1968-01-01,4478997000000.00
1968-04-01,4524773000000.00
1968-07-01,4590151000000.00
1968-10-01,4619564000000.00
1969-01-01,4667178000000.00
1969-04-01,4691158000000.00
1969-07-01,4715353000000.00
1969-10-01,4717041000000.00
1970-01-01,4728132000000.00
1970-04-01,4719456000000.00
1970-07-01,4761545000000.00
1970-10-01,4752809000000.00
1971-01-01,4810347000000.00
1971-04-01,4843568000000.00
1971-07-01,4885235000000.00
1971-10-01,4943270000000.00
1972-01-01,5012915000000.00
1972-04-01,5094543000000.00
1972-07-01,5138711000000.00
1972-10-01,5257768000000.00
1973-01-01,5368673000000.00
1973-04-01,5394795000000.00
1973-07-01,5399881000000.00
1973-10-01,5406385000000.00
1974-01-01,5400989000000.00
1974-04-01,5407532000000.00
1974-07-01,5390821000000.00
1974-10-01,5314072000000.00
1975-01-01,5352589000000.00
1975-04-01,5407409000000.00
1975-07-01,5455664000000.00
1975-10-01,5522580000000.00
1976-01-01,5599488000000.00
1976-04-01,5619216000000.00
1976-07-01,5654781000000.00
1976-10-01,5734201000000.00
1977-01-01,5788517000000.00
1977-04-01,5880695000000.00
1977-07-01,5942585000000.00
1977-10-01,5991711000000.00
1978-01-01,5999947000000.00
1978-04-01,6235246000000.00
1978-07-01,6292360000000.00
1978-10-01,6374473000000.00
1979-01-01,6396357000000.00
1979-04-01,6397965000000.00
1979-07-01,6489401000000.00
1979-10-01,6517668000000.00
1980-01-01,6530603000000.00
1980-04-01,6403857000000.00
1980-07-01,6487108000000.00
1980-10-01,6546861000000.00
1981-01-01,6581143000000.00
1981-04-01,6597098000000.00
1981-07-01,6602198000000.00
1981-10-01,6567468000000.00
1982-01-01,6544480000000.00
1982-04-01,6542875000000.00
1982-07-01,6502118000000.00
1982-10-01,6597173000000.00
1983-01-01,6671536000000.00
1983-04-01,6769771000000.00
