Date,NCBTFTA027N
1945-01-01,68936000000.00
1946-01-01,67344000000.00
1947-01-01,76067000000.00
1948-01-01,81538000000.00
1949-01-01,85431000000.00
1950-01-01,102216000000.00
1951-01-01,110249000000.00
1952-01-01,115674000000.00
1953-01-01,118717000000.00
1954-01-01,124226000000.00
1955-01-01,141621000000.00
1956-01-01,146664000000.00
1957-01-01,151235000000.00
1958-01-01,162790000000.00
1959-01-01,177890000000.00
1960-01-01,180740000000.00
1961-01-01,193403000000.00
1962-01-01,205382000000.00
1963-01-01,220743000000.00
1964-01-01,235287000000.00
1965-01-01,262709000000.00
1966-01-01,277090000000.00
1967-01-01,294869000000.00
1968-01-01,327949000000.00
1969-01-01,362159000000.00
1970-01-01,383596000000.00
1971-01-01,425197000000.00
1972-01-01,493635000000.00
1973-01-01,571698000000.00
1974-01-01,616099000000.00
1975-01-01,774239000000.00
1976-01-01,864091000000.00
1977-01-01,965317000000.00
1978-01-01,1100181000000.00
1979-01-01,1279087000000.00
1980-01-01,1446284000000.00
1981-01-01,1640039000000.00
1982-01-01,1750812000000.00
1983-01-01,1928536000000.00
1984-01-01,2202785000000.00
1985-01-01,2473318000000.00
1986-01-01,2642328000000.00
1987-01-01,2873195000000.00
1988-01-01,3252473000000.00
1989-01-01,3480886000000.00
1990-01-01,3588924000000.00
1991-01-01,3714582000000.00
1992-01-01,3877506000000.00
1993-01-01,4225850000000.00
1994-01-01,4495797000000.00
1995-01-01,4975380000000.00
1996-01-01,5472481000000.00
1997-01-01,5818447000000.00
1998-01-01,6824778000000.00
1999-01-01,8093495000000.00
2000-01-01,9760806000000.00
2001-01-01,9886964000000.00
2002-01-01,9941620000000.00
2003-01-01,10116713000000.00
2004-01-01,10937264000000.00
2005-01-01,11900645000000.00
2006-01-01,12659452000000.00
2007-01-01,13752763000000.00
2008-01-01,12923223000000.00
2009-01-01,13317474000000.00
2010-01-01,14016755000000.00
2011-01-01,14508905000000.00
2012-01-01,15088392000000.00
2013-01-01,16260706000000.00
2014-01-01,17269912000000.00
2015-01-01,18748262000000.00
2016-01-01,20325111000000.00
2017-01-01,21614135000000.00
