Date,U34DNO
1992-02-01,2541000000.00
1992-03-01,3027000000.00
1992-04-01,2196000000.00
1992-05-01,2548000000.00
1992-06-01,3396000000.00
1992-07-01,2457000000.00
1992-08-01,2662000000.00
1992-09-01,3593000000.00
1992-10-01,2441000000.00
1992-11-01,3402000000.00
1992-12-01,4599000000.00
1993-01-01,2419000000.00
1993-02-01,2299000000.00
1993-03-01,2828000000.00
1993-04-01,2735000000.00
1993-05-01,2675000000.00
1993-06-01,3839000000.00
1993-07-01,2655000000.00
1993-08-01,3218000000.00
1993-09-01,4295000000.00
1993-10-01,3470000000.00
1993-11-01,3967000000.00
1993-12-01,5115000000.00
1994-01-01,2772000000.00
1994-02-01,3769000000.00
1994-03-01,3944000000.00
1994-04-01,3561000000.00
1994-05-01,3072000000.00
1994-06-01,4465000000.00
1994-07-01,3010000000.00
1994-08-01,3288000000.00
1994-09-01,5068000000.00
1994-10-01,3559000000.00
1994-11-01,4293000000.00
1994-12-01,6549000000.00
1995-01-01,3801000000.00
1995-02-01,3419000000.00
1995-03-01,4999000000.00
1995-04-01,4060000000.00
1995-05-01,4398000000.00
1995-06-01,4875000000.00
1995-07-01,4205000000.00
1995-08-01,3582000000.00
1995-09-01,6082000000.00
1995-10-01,5754000000.00
1995-11-01,4322000000.00
1995-12-01,7377000000.00
1996-01-01,4266000000.00
1996-02-01,4653000000.00
1996-03-01,5626000000.00
1996-04-01,4189000000.00
1996-05-01,3772000000.00
1996-06-01,5188000000.00
1996-07-01,4730000000.00
1996-08-01,4444000000.00
1996-09-01,5100000000.00
1996-10-01,6624000000.00
1996-11-01,5573000000.00
1996-12-01,5381000000.00
1997-01-01,4397000000.00
1997-02-01,6401000000.00
1997-03-01,7050000000.00
1997-04-01,5429000000.00
1997-05-01,5982000000.00
1997-06-01,8562000000.00
1997-07-01,5895000000.00
1997-08-01,6206000000.00
1997-09-01,9513000000.00
1997-10-01,6459000000.00
1997-11-01,6281000000.00
1997-12-01,9522000000.00
1998-01-01,6436000000.00
1998-02-01,7367000000.00
1998-03-01,8662000000.00
1998-04-01,5476000000.00
1998-05-01,7756000000.00
1998-06-01,8450000000.00
1998-07-01,4916000000.00
1998-08-01,5923000000.00
1998-09-01,8740000000.00
1998-10-01,7639000000.00
1998-11-01,6906000000.00
1998-12-01,10075000000.00
1999-01-01,6280000000.00
1999-02-01,7488000000.00
1999-03-01,9303000000.00
1999-04-01,6683000000.00
