Date,U24AVS
2008-08-01,75628000000.00
2008-09-01,59985000000.00
2008-10-01,51098000000.00
2008-11-01,35386000000.00
2008-12-01,28004000000.00
2009-01-01,29555000000.00
2009-02-01,27779000000.00
2009-03-01,29266000000.00
2009-04-01,31556000000.00
2009-05-01,37561000000.00
2009-06-01,43365000000.00
2009-07-01,40477000000.00
2009-08-01,44348000000.00
2009-09-01,41987000000.00
2009-10-01,44468000000.00
2009-11-01,44484000000.00
2009-12-01,46205000000.00
2010-01-01,43717000000.00
2010-02-01,40520000000.00
2010-03-01,49278000000.00
2010-04-01,50976000000.00
2010-05-01,50452000000.00
2010-06-01,48262000000.00
2010-07-01,49052000000.00
2010-08-01,49755000000.00
2010-09-01,46378000000.00
2010-10-01,50895000000.00
2010-11-01,51144000000.00
2010-12-01,57289000000.00
2011-01-01,58388000000.00
2011-02-01,53856000000.00
2011-03-01,66961000000.00
2011-04-01,71275000000.00
2011-05-01,71764000000.00
2011-06-01,68625000000.00
2011-07-01,71964000000.00
2011-08-01,69809000000.00
2011-09-01,65899000000.00
2011-10-01,65756000000.00
2011-11-01,64261000000.00
2011-12-01,63884000000.00
2012-01-01,62710000000.00
2012-02-01,62709000000.00
2012-03-01,70392000000.00
2012-04-01,68318000000.00
2012-05-01,69488000000.00
2012-06-01,61293000000.00
2012-07-01,66174000000.00
2012-08-01,71859000000.00
2012-09-01,69574000000.00
2012-10-01,70365000000.00
2012-11-01,64407000000.00
2012-12-01,64616000000.00
2013-01-01,64736000000.00
2013-02-01,64999000000.00
2013-03-01,68065000000.00
2013-04-01,65374000000.00
2013-05-01,69530000000.00
2013-06-01,64991000000.00
2013-07-01,72069000000.00
2013-08-01,72615000000.00
2013-09-01,66300000000.00
2013-10-01,66747000000.00
2013-11-01,63641000000.00
2013-12-01,66790000000.00
2014-01-01,64369000000.00
2014-02-01,60363000000.00
2014-03-01,65808000000.00
2014-04-01,67692000000.00
2014-05-01,69766000000.00
2014-06-01,67216000000.00
2014-07-01,66716000000.00
2014-08-01,66296000000.00
2014-09-01,61102000000.00
2014-10-01,56862000000.00
2014-11-01,51921000000.00
2014-12-01,42943000000.00
2015-01-01,36450000000.00
2015-02-01,37629000000.00
2015-03-01,42027000000.00
2015-04-01,43728000000.00
2015-05-01,46612000000.00
2015-06-01,45443000000.00
2015-07-01,42743000000.00
2015-08-01,39013000000.00
2015-09-01,34632000000.00
2015-10-01,34284000000.00
2015-11-01,31524000000.00
2015-12-01,30025000000.00
2016-01-01,24498000000.00
2016-02-01,23478000000.00
2016-03-01,29073000000.00
2016-04-01,30640000000.00
