Date,MABSHNO
1945-10-01,12189000000.00
1946-10-01,13711000000.00
1947-10-01,15070000000.00
1948-10-01,16268000000.00
1949-10-01,16993000000.00
1950-10-01,17689000000.00
1951-10-01,18623000000.00
1952-01-01,18652000000.00
1952-04-01,18913000000.00
1952-07-01,19126000000.00
1952-10-01,19289000000.00
1953-01-01,19619000000.00
1953-04-01,19886000000.00
1953-07-01,20020000000.00
1953-10-01,20285000000.00
1954-01-01,20492000000.00
1954-04-01,20817000000.00
1954-07-01,21107000000.00
1954-10-01,21423000000.00
1955-01-01,21796000000.00
1955-04-01,22089000000.00
1955-07-01,22315000000.00
1955-10-01,22725000000.00
1956-01-01,23199000000.00
1956-04-01,23674000000.00
1956-07-01,23976000000.00
1956-10-01,24327000000.00
1957-01-01,24871000000.00
1957-04-01,25333000000.00
1957-07-01,25843000000.00
1957-10-01,26283000000.00
1958-01-01,26750000000.00
1958-04-01,27539000000.00
1958-07-01,28168000000.00
1958-10-01,28887000000.00
1959-01-01,29330000000.00
1959-04-01,29939000000.00
1959-07-01,30314000000.00
1959-10-01,30801000000.00
1960-01-01,31342000000.00
1960-04-01,32110000000.00
1960-07-01,32820000000.00
1960-10-01,33575000000.00
1961-01-01,34425000000.00
1961-04-01,35253000000.00
1961-07-01,36010000000.00
1961-10-01,36834000000.00
1962-01-01,37377000000.00
1962-04-01,37975000000.00
1962-07-01,38406000000.00
1962-10-01,39006000000.00
1963-01-01,39324000000.00
1963-04-01,40093000000.00
1963-07-01,40319000000.00
1963-10-01,40528000000.00
1964-01-01,40880000000.00
1964-04-01,41158000000.00
1964-07-01,41613000000.00
1964-10-01,42098000000.00
1965-01-01,42175000000.00
1965-04-01,42480000000.00
1965-07-01,42391000000.00
1965-10-01,42611000000.00
1966-01-01,42600000000.00
1966-04-01,43427000000.00
1966-07-01,43990000000.00
1966-10-01,44617000000.00
1967-01-01,44959000000.00
1967-04-01,45344000000.00
1967-07-01,45877000000.00
1967-10-01,46607000000.00
1968-01-01,47312000000.00
1968-04-01,47757000000.00
1968-07-01,48735000000.00
1968-10-01,49082000000.00
1969-01-01,47321000000.00
1969-04-01,47038000000.00
1969-07-01,47429000000.00
1969-10-01,49237000000.00
1970-01-01,47109000000.00
1970-04-01,47969000000.00
1970-07-01,49830000000.00
1970-10-01,50108000000.00
1971-01-01,49360000000.00
1971-04-01,49791000000.00
1971-07-01,48634000000.00
1971-10-01,47341000000.00
1972-01-01,47660000000.00
1972-04-01,48176000000.00
1972-07-01,48384000000.00
1972-10-01,48260000000.00
1973-01-01,47831000000.00
1973-04-01,48215000000.00
1973-07-01,47607000000.00
1973-10-01,47231000000.00
1974-01-01,48171000000.00
1974-04-01,48950000000.00
1974-07-01,49938000000.00
1974-10-01,50594000000.00
1975-01-01,44702000000.00
1975-04-01,47107000000.00
1975-07-01,49475000000.00
1975-10-01,50481000000.00
1976-01-01,51356000000.00
1976-04-01,52099000000.00
1976-07-01,52928000000.00
1976-10-01,52839000000.00
1977-01-01,53628000000.00
1977-04-01,54453000000.00
1977-07-01,55295000000.00
1977-10-01,55378000000.00
1978-01-01,56421000000.00
1978-04-01,59018000000.00
1978-07-01,61621000000.00
1978-10-01,62445000000.00
1979-01-01,64808000000.00
1979-04-01,68066000000.00
1979-07-01,71178000000.00
1979-10-01,71611000000.00
1980-01-01,80996000000.00
1980-04-01,82942000000.00
1980-07-01,86837000000.00
1980-10-01,87255000000.00
1981-01-01,89379000000.00
1981-04-01,95636000000.00
1981-07-01,99638000000.00
1981-10-01,101407000000.00
1982-01-01,105876000000.00
1982-04-01,108742000000.00
1982-07-01,104528000000.00
1982-10-01,110888000000.00
1983-01-01,109724000000.00
1983-04-01,111357000000.00
1983-07-01,110672000000.00
1983-10-01,111313000000.00
1984-01-01,110989000000.00
1984-04-01,112405000000.00
1984-07-01,114667000000.00
1984-10-01,103009000000.00
1985-01-01,123726000000.00
1985-04-01,125750000000.00
1985-07-01,122083000000.00
1985-10-01,116174000000.00
1986-01-01,115115000000.00
1986-04-01,115335000000.00
1986-07-01,112936000000.00
1986-10-01,112602000000.00
1987-01-01,118284000000.00
1987-04-01,118370000000.00
1987-07-01,118254000000.00
1987-10-01,117829000000.00
1988-01-01,117977000000.00
1988-04-01,118462000000.00
1988-07-01,119218000000.00
1988-10-01,120318000000.00
1989-01-01,120801000000.00
1989-04-01,123097000000.00
1989-07-01,125452000000.00
1989-10-01,128315000000.00
1990-01-01,131563000000.00
1990-04-01,134119000000.00
1990-07-01,136857000000.00
1990-10-01,139234000000.00
1991-01-01,140360000000.00
1991-04-01,142211000000.00
1991-07-01,142857000000.00
1991-10-01,141130000000.00
1992-01-01,139671000000.00
1992-04-01,138113000000.00
1992-07-01,136521000000.00
1992-10-01,134336000000.00
1993-01-01,132332000000.00
1993-04-01,130267000000.00
1993-07-01,128165000000.00
1993-10-01,126072000000.00
1994-01-01,124071000000.00
1994-04-01,121940000000.00
1994-07-01,119783000000.00
1994-10-01,117252000000.00
1995-01-01,115197000000.00
1995-04-01,113109000000.00
1995-07-01,111018000000.00
1995-10-01,109219000000.00
1996-01-01,107292000000.00
1996-04-01,105265000000.00
1996-07-01,103193000000.00
1996-10-01,101128000000.00
1997-01-01,99117000000.00
1997-04-01,97284000000.00
1997-07-01,95553000000.00
1997-10-01,93454000000.00
1998-01-01,91211000000.00
1998-04-01,88905000000.00
1998-07-01,86727000000.00
1998-10-01,88346000000.00
1999-01-01,90165000000.00
1999-04-01,91634000000.00
1999-07-01,93416000000.00
1999-10-01,94989000000.00
2000-01-01,95240000000.00
2000-04-01,95458000000.00
2000-07-01,95626000000.00
2000-10-01,95808000000.00
2001-01-01,97364000000.00
2001-04-01,98783000000.00
2001-07-01,100257000000.00
2001-10-01,101480000000.00
2002-01-01,103277000000.00
2002-04-01,104598000000.00
2002-07-01,106421000000.00
2002-10-01,108195000000.00
2003-01-01,109205000000.00
2003-04-01,110145000000.00
2003-07-01,110984000000.00
2003-10-01,111982000000.00
2004-01-01,114098000000.00
2004-04-01,116319000000.00
2004-07-01,118313000000.00
2004-10-01,120988000000.00
2005-01-01,123792000000.00
2005-04-01,126051000000.00
2005-07-01,127269000000.00
2005-10-01,127066000000.00
2006-01-01,124206000000.00
2006-04-01,119166000000.00
2006-07-01,112370000000.00
2006-10-01,107724000000.00
2007-01-01,103673000000.00
2007-04-01,99065000000.00
2007-07-01,95629000000.00
2007-10-01,92767000000.00
2008-01-01,90506000000.00
2008-04-01,97453000000.00
2008-07-01,105713000000.00
2008-10-01,108352000000.00
2009-01-01,113215000000.00
2009-04-01,117830000000.00
2009-07-01,122192000000.00
2009-10-01,126692000000.00
2010-01-01,129928000000.00
2010-04-01,131624000000.00
2010-07-01,133632000000.00
2010-10-01,132103000000.00
2011-01-01,133646000000.00
2011-04-01,134618000000.00
2011-07-01,137195000000.00
2011-10-01,138198000000.00
2012-01-01,135158000000.00
2012-04-01,131575000000.00
2012-07-01,128515000000.00
2012-10-01,125358000000.00
2013-01-01,124995000000.00
2013-04-01,124333000000.00
2013-07-01,123779000000.00
2013-10-01,123531000000.00
2014-01-01,123450000000.00
2014-04-01,123083000000.00
2014-07-01,122668000000.00
2014-10-01,122493000000.00
2015-01-01,120575000000.00
2015-04-01,119066000000.00
2015-07-01,116783000000.00
2015-10-01,115122000000.00
2016-01-01,114909000000.00
2016-04-01,115318000000.00
2016-07-01,114916000000.00
2016-10-01,114874000000.00
2017-01-01,114145000000.00
2017-04-01,115171000000.00
2017-07-01,113197000000.00
2017-10-01,112396000000.00
2018-01-01,111602000000.00
