Date,OUTMS
1987-01-01,69.94
1987-04-01,71.01
1987-07-01,72.13
1987-10-01,73.87
1988-01-01,73.96
1988-04-01,74.54
1988-07-01,74.61
1988-10-01,75.46
1989-01-01,76.06
1989-04-01,75.61
1989-07-01,75.03
1989-10-01,75.03
1990-01-01,75.63
1990-04-01,76.08
1990-07-01,76.22
1990-10-01,74.88
1991-01-01,73.16
1991-04-01,73.62
1991-07-01,75.10
1991-10-01,75.62
1992-01-01,76.04
1992-04-01,77.80
1992-07-01,78.74
1992-10-01,79.45
1993-01-01,80.27
1993-04-01,80.48
1993-07-01,80.59
1993-10-01,81.88
1994-01-01,82.72
1994-04-01,84.50
1994-07-01,85.59
1994-10-01,87.49
1995-01-01,88.15
1995-04-01,88.06
1995-07-01,88.55
1995-10-01,89.40
1996-01-01,89.73
1996-04-01,91.74
1996-07-01,93.28
1996-10-01,94.35
1997-01-01,96.12
1997-04-01,97.36
1997-07-01,99.33
1997-10-01,101.58
1998-01-01,102.59
1998-04-01,102.58
1998-07-01,103.04
1998-10-01,104.88
1999-01-01,106.15
1999-04-01,107.15
1999-07-01,107.62
1999-10-01,109.33
2000-01-01,109.99
2000-04-01,110.91
2000-07-01,110.49
2000-10-01,109.73
2001-01-01,108.11
2001-04-01,106.57
2001-07-01,104.80
2001-10-01,103.72
2002-01-01,104.83
2002-04-01,106.31
2002-07-01,107.01
2002-10-01,106.83
2003-01-01,107.26
2003-04-01,106.68
2003-07-01,107.24
2003-10-01,108.16
2004-01-01,108.44
2004-04-01,108.98
2004-07-01,109.84
2004-10-01,111.46
2005-01-01,113.40
2005-04-01,113.99
2005-07-01,113.59
2005-10-01,115.11
2006-01-01,115.71
2006-04-01,115.60
2006-07-01,115.90
2006-10-01,116.37
2007-01-01,117.73
2007-04-01,119.55
2007-07-01,119.86
2007-10-01,120.14
2008-01-01,119.03
2008-04-01,116.60
2008-07-01,112.50
2008-10-01,106.30
2009-01-01,99.99
2009-04-01,97.85
2009-07-01,100.20
2009-10-01,101.96
2010-01-01,103.59
2010-04-01,106.11
2010-07-01,107.11
2010-10-01,107.40
2011-01-01,108.40
2011-04-01,108.27
2011-07-01,109.17
2011-10-01,109.76
2012-01-01,110.63
2012-04-01,110.52
2012-07-01,110.21
2012-10-01,110.74
2013-01-01,112.03
2013-04-01,112.32
2013-07-01,112.39
2013-10-01,113.13
2014-01-01,113.03
2014-04-01,114.29
2014-07-01,114.71
2014-10-01,114.90
2015-01-01,113.86
2015-04-01,113.49
2015-07-01,113.66
2015-10-01,113.28
2016-01-01,113.80
2016-04-01,113.49
2016-07-01,113.97
2016-10-01,114.64
2017-01-01,115.25
2017-04-01,116.07
2017-07-01,115.52
2017-10-01,117.06
2018-01-01,117.55
