Date,UMTMNO
1992-02-01,228230000000.00
1992-03-01,245052000000.00
1992-04-01,236726000000.00
1992-05-01,238178000000.00
1992-06-01,254919000000.00
1992-07-01,215164000000.00
1992-08-01,229877000000.00
1992-09-01,251642000000.00
1992-10-01,250738000000.00
1992-11-01,238753000000.00
1992-12-01,245841000000.00
1993-01-01,224516000000.00
1993-02-01,245826000000.00
1993-03-01,260569000000.00
1993-04-01,243538000000.00
1993-05-01,241420000000.00
1993-06-01,264103000000.00
1993-07-01,220405000000.00
1993-08-01,243322000000.00
1993-09-01,259484000000.00
1993-10-01,257233000000.00
1993-11-01,249000000000.00
1993-12-01,250599000000.00
1994-01-01,240343000000.00
1994-02-01,256001000000.00
1994-03-01,273234000000.00
1994-04-01,256785000000.00
1994-05-01,261428000000.00
1994-06-01,283177000000.00
1994-07-01,236055000000.00
1994-08-01,270302000000.00
1994-09-01,285477000000.00
1994-10-01,280143000000.00
1994-11-01,277084000000.00
1994-12-01,279657000000.00
1995-01-01,263051000000.00
1995-02-01,284844000000.00
1995-03-01,300817000000.00
1995-04-01,275740000000.00
1995-05-01,283428000000.00
1995-06-01,299931000000.00
1995-07-01,248729000000.00
1995-08-01,286806000000.00
1995-09-01,307951000000.00
1995-10-01,294603000000.00
1995-11-01,288737000000.00
1995-12-01,291866000000.00
1996-01-01,272083000000.00
1996-02-01,288012000000.00
1996-03-01,311500000000.00
1996-04-01,288426000000.00
1996-05-01,299611000000.00
1996-06-01,312271000000.00
1996-07-01,269015000000.00
1996-08-01,292389000000.00
1996-09-01,317268000000.00
1996-10-01,311265000000.00
1996-11-01,306883000000.00
1996-12-01,298661000000.00
1997-01-01,285190000000.00
1997-02-01,309179000000.00
1997-03-01,321779000000.00
1997-04-01,310643000000.00
1997-05-01,306575000000.00
1997-06-01,332244000000.00
1997-07-01,285899000000.00
1997-08-01,314060000000.00
1997-09-01,339406000000.00
1997-10-01,330521000000.00
1997-11-01,326856000000.00
1997-12-01,317483000000.00
1998-01-01,295916000000.00
1998-02-01,320116000000.00
1998-03-01,337291000000.00
1998-04-01,317776000000.00
1998-05-01,314616000000.00
1998-06-01,333459000000.00
1998-07-01,279252000000.00
1998-08-01,314606000000.00
1998-09-01,339286000000.00
1998-10-01,323043000000.00
1998-11-01,313623000000.00
1998-12-01,319159000000.00
1999-01-01,298792000000.00
1999-02-01,320334000000.00
1999-03-01,347683000000.00
1999-04-01,318219000000.00
1999-05-01,321405000000.00
1999-06-01,345932000000.00
1999-07-01,295583000000.00
1999-08-01,333204000000.00
1999-09-01,353716000000.00
1999-10-01,343647000000.00
1999-11-01,331794000000.00
1999-12-01,346933000000.00
2000-01-01,323474000000.00
2000-02-01,337504000000.00
2000-03-01,370003000000.00
2000-04-01,336901000000.00
2000-05-01,344615000000.00
2000-06-01,398101000000.00
2000-07-01,307154000000.00
2000-08-01,345644000000.00
2000-09-01,370860000000.00
2000-10-01,345596000000.00
2000-11-01,339253000000.00
2000-12-01,342367000000.00
2001-01-01,312664000000.00
2001-02-01,325143000000.00
