Date,UMXDTI
1992-01-01,344845000000.00
1992-02-01,347686000000.00
1992-03-01,346462000000.00
1992-04-01,348604000000.00
1992-05-01,349904000000.00
1992-06-01,346129000000.00
1992-07-01,349098000000.00
1992-08-01,353599000000.00
1992-09-01,350870000000.00
1992-10-01,351566000000.00
1992-11-01,350174000000.00
1992-12-01,342879000000.00
1993-01-01,347628000000.00
1993-02-01,351174000000.00
1993-03-01,350945000000.00
1993-04-01,354085000000.00
1993-05-01,355044000000.00
1993-06-01,351486000000.00
1993-07-01,353593000000.00
1993-08-01,356032000000.00
1993-09-01,352847000000.00
1993-10-01,354153000000.00
1993-11-01,353366000000.00
1993-12-01,346443000000.00
1994-01-01,353795000000.00
1994-02-01,358223000000.00
1994-03-01,357298000000.00
1994-04-01,360199000000.00
1994-05-01,363975000000.00
1994-06-01,360904000000.00
1994-07-01,367565000000.00
1994-08-01,371179000000.00
1994-09-01,368077000000.00
1994-10-01,371238000000.00
1994-11-01,373288000000.00
1994-12-01,368141000000.00
1995-01-01,378931000000.00
1995-02-01,385784000000.00
1995-03-01,386438000000.00
1995-04-01,392317000000.00
1995-05-01,396935000000.00
1995-06-01,393810000000.00
1995-07-01,399073000000.00
1995-08-01,401898000000.00
1995-09-01,400121000000.00
1995-10-01,402888000000.00
1995-11-01,402573000000.00
1995-12-01,394784000000.00
1996-01-01,405484000000.00
1996-02-01,409892000000.00
1996-03-01,406587000000.00
1996-04-01,408742000000.00
1996-05-01,408929000000.00
1996-06-01,403138000000.00
1996-07-01,406931000000.00
1996-08-01,409723000000.00
1996-09-01,407625000000.00
1996-10-01,410146000000.00
1996-11-01,410569000000.00
1996-12-01,401276000000.00
1997-01-01,409337000000.00
1997-02-01,414772000000.00
1997-03-01,411797000000.00
1997-04-01,416508000000.00
1997-05-01,419325000000.00
1997-06-01,414290000000.00
1997-07-01,419050000000.00
1997-08-01,422924000000.00
1997-09-01,419484000000.00
1997-10-01,424616000000.00
1997-11-01,424997000000.00
