Date,UITITI
1992-01-01,39911000000.00
1992-02-01,40216000000.00
1992-03-01,39647000000.00
1992-04-01,40099000000.00
1992-05-01,40457000000.00
1992-06-01,39263000000.00
1992-07-01,39967000000.00
1992-08-01,40771000000.00
1992-09-01,40453000000.00
1992-10-01,40372000000.00
1992-11-01,40307000000.00
1992-12-01,38653000000.00
1993-01-01,38905000000.00
1993-02-01,39607000000.00
1993-03-01,38676000000.00
1993-04-01,39400000000.00
1993-05-01,40085000000.00
1993-06-01,39101000000.00
1993-07-01,39829000000.00
1993-08-01,40068000000.00
1993-09-01,39334000000.00
1993-10-01,39774000000.00
1993-11-01,39499000000.00
1993-12-01,37603000000.00
1994-01-01,38632000000.00
1994-02-01,39690000000.00
1994-03-01,39362000000.00
1994-04-01,40398000000.00
1994-05-01,41151000000.00
1994-06-01,40642000000.00
1994-07-01,41558000000.00
1994-08-01,42381000000.00
1994-09-01,40850000000.00
1994-10-01,41449000000.00
1994-11-01,41607000000.00
1994-12-01,39859000000.00
1995-01-01,41540000000.00
1995-02-01,42768000000.00
1995-03-01,41403000000.00
1995-04-01,42809000000.00
1995-05-01,43719000000.00
1995-06-01,43145000000.00
1995-07-01,44494000000.00
1995-08-01,45455000000.00
1995-09-01,44954000000.00
1995-10-01,46489000000.00
1995-11-01,46806000000.00
1995-12-01,44909000000.00
1996-01-01,46561000000.00
1996-02-01,47052000000.00
1996-03-01,45344000000.00
1996-04-01,46961000000.00
1996-05-01,47253000000.00
1996-06-01,45300000000.00
1996-07-01,46449000000.00
1996-08-01,46717000000.00
1996-09-01,44871000000.00
1996-10-01,45082000000.00
1996-11-01,44699000000.00
1996-12-01,41784000000.00
1997-01-01,43586000000.00
1997-02-01,44833000000.00
1997-03-01,43772000000.00
1997-04-01,45713000000.00
1997-05-01,47222000000.00
1997-06-01,46315000000.00
1997-07-01,48524000000.00
1997-08-01,49263000000.00
1997-09-01,47624000000.00
1997-10-01,47935000000.00
1997-11-01,48572000000.00
1997-12-01,46117000000.00
1998-01-01,47466000000.00
1998-02-01,48537000000.00
1998-03-01,47037000000.00
1998-04-01,48387000000.00
1998-05-01,49023000000.00
1998-06-01,47149000000.00
1998-07-01,47806000000.00
1998-08-01,47970000000.00
1998-09-01,46096000000.00
1998-10-01,46496000000.00
1998-11-01,46405000000.00
1998-12-01,43592000000.00
1999-01-01,44033000000.00
1999-02-01,45416000000.00
1999-03-01,45422000000.00
1999-04-01,46495000000.00
1999-05-01,47063000000.00
1999-06-01,45743000000.00
1999-07-01,46573000000.00
1999-08-01,47203000000.00
1999-09-01,45822000000.00
1999-10-01,45456000000.00
1999-11-01,46277000000.00
1999-12-01,44375000000.00
2000-01-01,44992000000.00
2000-02-01,46534000000.00
2000-03-01,45269000000.00
2000-04-01,47088000000.00
2000-05-01,48880000000.00
2000-06-01,48095000000.00
2000-07-01,49847000000.00
2000-08-01,51700000000.00
2000-09-01,49112000000.00
2000-10-01,50903000000.00
2000-11-01,52871000000.00
2000-12-01,50795000000.00
2001-01-01,53071000000.00
2001-02-01,54366000000.00
2001-03-01,51092000000.00
2001-04-01,51884000000.00
2001-05-01,52193000000.00
2001-06-01,50039000000.00
2001-07-01,49867000000.00
2001-08-01,49927000000.00
2001-09-01,46282000000.00
2001-10-01,46138000000.00
2001-11-01,46061000000.00
2001-12-01,41443000000.00
2002-01-01,42731000000.00
2002-02-01,42846000000.00
2002-03-01,40773000000.00
2002-04-01,41814000000.00
2002-05-01,41908000000.00
2002-06-01,40224000000.00
2002-07-01,41150000000.00
2002-08-01,41526000000.00
2002-09-01,39444000000.00
2002-10-01,39735000000.00
2002-11-01,40138000000.00
2002-12-01,37700000000.00
2003-01-01,38180000000.00
2003-02-01,38460000000.00
2003-03-01,36865000000.00
2003-04-01,37303000000.00
2003-05-01,37328000000.00
2003-06-01,35584000000.00
2003-07-01,35967000000.00
2003-08-01,36091000000.00
2003-09-01,35169000000.00
2003-10-01,35695000000.00
2003-11-01,35930000000.00
2003-12-01,34097000000.00
2004-01-01,33947000000.00
2004-02-01,33986000000.00
2004-03-01,32658000000.00
2004-04-01,33493000000.00
2004-05-01,33866000000.00
2004-06-01,33088000000.00
2004-07-01,33634000000.00
2004-08-01,34123000000.00
2004-09-01,33266000000.00
2004-10-01,33784000000.00
2004-11-01,33912000000.00
2004-12-01,32109000000.00
2005-01-01,33714000000.00
2005-02-01,34612000000.00
2005-03-01,33757000000.00
2005-04-01,34893000000.00
2005-05-01,36025000000.00
2005-06-01,34884000000.00
2005-07-01,36502000000.00
2005-08-01,37591000000.00
2005-09-01,37029000000.00
2005-10-01,38169000000.00
2005-11-01,39849000000.00
2005-12-01,38094000000.00
2006-01-01,39610000000.00
2006-02-01,40250000000.00
2006-03-01,38872000000.00
2006-04-01,39942000000.00
2006-05-01,40092000000.00
2006-06-01,38488000000.00
2006-07-01,39828000000.00
2006-08-01,40911000000.00
2006-09-01,39959000000.00
2006-10-01,40735000000.00
2006-11-01,41359000000.00
2006-12-01,38821000000.00
2007-01-01,40563000000.00
2007-02-01,40807000000.00
2007-03-01,39097000000.00
2007-04-01,39468000000.00
2007-05-01,40228000000.00
2007-06-01,38582000000.00
2007-07-01,38291000000.00
2007-08-01,39002000000.00
2007-09-01,38700000000.00
2007-10-01,39450000000.00
2007-11-01,39940000000.00
2007-12-01,37702000000.00
2008-01-01,38612000000.00
2008-02-01,39054000000.00
2008-03-01,38337000000.00
2008-04-01,39144000000.00
2008-05-01,39268000000.00
2008-06-01,37823000000.00
2008-07-01,38524000000.00
2008-08-01,39158000000.00
2008-09-01,38101000000.00
2008-10-01,38377000000.00
2008-11-01,38373000000.00
2008-12-01,37107000000.00
2009-01-01,37563000000.00
2009-02-01,38008000000.00
2009-03-01,36527000000.00
2009-04-01,37460000000.00
2009-05-01,37666000000.00
2009-06-01,35670000000.00
2009-07-01,36179000000.00
2009-08-01,36661000000.00
2009-09-01,36012000000.00
2009-10-01,36512000000.00
2009-11-01,36942000000.00
2009-12-01,35605000000.00
2010-01-01,36628000000.00
2010-02-01,37344000000.00
2010-03-01,35732000000.00
2010-04-01,36301000000.00
2010-05-01,36832000000.00
2010-06-01,36698000000.00
2010-07-01,37218000000.00
2010-08-01,37817000000.00
2010-09-01,36813000000.00
2010-10-01,37743000000.00
2010-11-01,38107000000.00
2010-12-01,36344000000.00
2011-01-01,37505000000.00
2011-02-01,38453000000.00
2011-03-01,38287000000.00
2011-04-01,39306000000.00
2011-05-01,40131000000.00
2011-06-01,39452000000.00
2011-07-01,40412000000.00
2011-08-01,41077000000.00
2011-09-01,39907000000.00
2011-10-01,40551000000.00
2011-11-01,40813000000.00
2011-12-01,38189000000.00
2012-01-01,39663000000.00
2012-02-01,40197000000.00
2012-03-01,39419000000.00
2012-04-01,40050000000.00
2012-05-01,40153000000.00
2012-06-01,38648000000.00
2012-07-01,39531000000.00
2012-08-01,39908000000.00
2012-09-01,38872000000.00
2012-10-01,39713000000.00
2012-11-01,40055000000.00
2012-12-01,37869000000.00
2013-01-01,39684000000.00
2013-02-01,39973000000.00
2013-03-01,38436000000.00
2013-04-01,38902000000.00
2013-05-01,39445000000.00
2013-06-01,38718000000.00
2013-07-01,39311000000.00
2013-08-01,38987000000.00
2013-09-01,37805000000.00
2013-10-01,38106000000.00
2013-11-01,38354000000.00
2013-12-01,36540000000.00
2014-01-01,37459000000.00
2014-02-01,37921000000.00
2014-03-01,36821000000.00
2014-04-01,37348000000.00
2014-05-01,37863000000.00
2014-06-01,36579000000.00
2014-07-01,37724000000.00
2014-08-01,38170000000.00
2014-09-01,36718000000.00
2014-10-01,37199000000.00
2014-11-01,37413000000.00
2014-12-01,35447000000.00
2015-01-01,36729000000.00
2015-02-01,37625000000.00
2015-03-01,36720000000.00
2015-04-01,37764000000.00
2015-05-01,38359000000.00
2015-06-01,37763000000.00
2015-07-01,38505000000.00
2015-08-01,38694000000.00
2015-09-01,37183000000.00
2015-10-01,37759000000.00
2015-11-01,38043000000.00
2015-12-01,36094000000.00
2016-01-01,36751000000.00
2016-02-01,37146000000.00
2016-03-01,36290000000.00
2016-04-01,36896000000.00
2016-05-01,37427000000.00
2016-06-01,36440000000.00
2016-07-01,37395000000.00
2016-08-01,37557000000.00
2016-09-01,36401000000.00
2016-10-01,36782000000.00
2016-11-01,37036000000.00
2016-12-01,35293000000.00
2017-01-01,36408000000.00
2017-02-01,37115000000.00
2017-03-01,36616000000.00
2017-04-01,37123000000.00
2017-05-01,37775000000.00
2017-06-01,37216000000.00
2017-07-01,38021000000.00
2017-08-01,38443000000.00
2017-09-01,37243000000.00
2017-10-01,38020000000.00
2017-11-01,38125000000.00
2017-12-01,36737000000.00
2018-01-01,37586000000.00
2018-02-01,38466000000.00
2018-03-01,37713000000.00
2018-04-01,38467000000.00
