Date,UCNGTI
2008-08-01,157547000000.00
2008-09-01,152704000000.00
2008-10-01,147653000000.00
2008-11-01,140328000000.00
2008-12-01,126956000000.00
2009-01-01,128053000000.00
2009-02-01,126673000000.00
2009-03-01,128353000000.00
2009-04-01,128329000000.00
2009-05-01,130952000000.00
2009-06-01,131511000000.00
2009-07-01,132725000000.00
2009-08-01,134975000000.00
2009-09-01,133148000000.00
2009-10-01,137601000000.00
2009-11-01,136609000000.00
2009-12-01,133224000000.00
2010-01-01,134886000000.00
2010-02-01,138454000000.00
2010-03-01,139291000000.00
2010-04-01,139745000000.00
2010-05-01,136968000000.00
2010-06-01,135438000000.00
2010-07-01,138539000000.00
2010-08-01,139400000000.00
2010-09-01,141840000000.00
2010-10-01,147424000000.00
2010-11-01,147436000000.00
2010-12-01,147684000000.00
2011-01-01,151780000000.00
2011-02-01,154412000000.00
2011-03-01,156966000000.00
2011-04-01,162531000000.00
2011-05-01,162880000000.00
2011-06-01,160119000000.00
2011-07-01,161598000000.00
2011-08-01,160472000000.00
2011-09-01,159337000000.00
2011-10-01,165950000000.00
2011-11-01,164259000000.00
2011-12-01,159863000000.00
2012-01-01,163643000000.00
2012-02-01,166248000000.00
2012-03-01,166513000000.00
2012-04-01,165971000000.00
2012-05-01,163602000000.00
2012-06-01,160766000000.00
2012-07-01,162597000000.00
2012-08-01,163997000000.00
2012-09-01,168692000000.00
2012-10-01,169576000000.00
2012-11-01,165856000000.00
2012-12-01,161542000000.00
2013-01-01,165510000000.00
2013-02-01,166828000000.00
2013-03-01,168346000000.00
2013-04-01,167804000000.00
2013-05-01,167311000000.00
2013-06-01,164428000000.00
2013-07-01,166985000000.00
2013-08-01,169125000000.00
2013-09-01,169251000000.00
2013-10-01,171773000000.00
2013-11-01,168120000000.00
2013-12-01,162125000000.00
2014-01-01,166028000000.00
2014-02-01,169404000000.00
2014-03-01,169231000000.00
2014-04-01,170762000000.00
2014-05-01,171691000000.00
2014-06-01,169101000000.00
2014-07-01,169145000000.00
2014-08-01,168802000000.00
2014-09-01,169108000000.00
2014-10-01,169465000000.00
2014-11-01,165397000000.00
2014-12-01,154590000000.00
2015-01-01,154243000000.00
2015-02-01,155025000000.00
2015-03-01,155460000000.00
2015-04-01,156842000000.00
2015-05-01,159432000000.00
2015-06-01,159103000000.00
2015-07-01,159588000000.00
2015-08-01,159107000000.00
2015-09-01,158975000000.00
2015-10-01,163419000000.00
2015-11-01,160014000000.00
2015-12-01,151569000000.00
2016-01-01,152186000000.00
2016-02-01,151821000000.00
2016-03-01,152813000000.00
2016-04-01,155320000000.00
2016-05-01,157260000000.00
2016-06-01,157367000000.00
2016-07-01,157587000000.00
2016-08-01,158959000000.00
2016-09-01,158498000000.00
2016-10-01,162191000000.00
2016-11-01,161057000000.00
2016-12-01,157847000000.00
2017-01-01,161474000000.00
2017-02-01,161864000000.00
2017-03-01,160496000000.00
2017-04-01,162083000000.00
2017-05-01,161378000000.00
2017-06-01,158822000000.00
2017-07-01,161218000000.00
2017-08-01,162289000000.00
2017-09-01,164724000000.00
2017-10-01,168422000000.00
2017-11-01,167958000000.00
2017-12-01,164849000000.00
2018-01-01,168962000000.00
2018-02-01,169382000000.00
2018-03-01,168859000000.00
2018-04-01,171046000000.00
