Date,PCEPI
1959-01-01,17.12
1959-02-01,17.14
1959-03-01,17.15
1959-04-01,17.18
1959-05-01,17.19
1959-06-01,17.24
1959-07-01,17.28
1959-08-01,17.30
1959-09-01,17.35
1959-10-01,17.39
1959-11-01,17.40
1959-12-01,17.42
1960-01-01,17.41
1960-02-01,17.43
1960-03-01,17.44
1960-04-01,17.50
1960-05-01,17.52
1960-06-01,17.53
1960-07-01,17.56
1960-08-01,17.59
1960-09-01,17.60
1960-10-01,17.62
1960-11-01,17.68
1960-12-01,17.68
1961-01-01,17.69
1961-02-01,17.70
1961-03-01,17.69
1961-04-01,17.68
1961-05-01,17.69
1961-06-01,17.70
1961-07-01,17.74
1961-08-01,17.76
1961-09-01,17.78
1961-10-01,17.77
1961-11-01,17.78
1961-12-01,17.78
1962-01-01,17.82
1962-02-01,17.86
1962-03-01,17.89
1962-04-01,17.91
1962-05-01,17.92
1962-06-01,17.93
1962-07-01,17.92
1962-08-01,17.94
1962-09-01,18.03
1962-10-01,18.01
1962-11-01,18.03
1962-12-01,18.02
1963-01-01,18.06
1963-02-01,18.08
1963-03-01,18.07
1963-04-01,18.06
1963-05-01,18.09
1963-06-01,18.13
1963-07-01,18.17
1963-08-01,18.19
1963-09-01,18.19
1963-10-01,18.22
1963-11-01,18.25
1963-12-01,18.28
1964-01-01,18.31
1964-02-01,18.34
1964-03-01,18.35
1964-04-01,18.37
1964-05-01,18.37
1964-06-01,18.40
1964-07-01,18.42
1964-08-01,18.44
1964-09-01,18.46
1964-10-01,18.48
1964-11-01,18.50
1964-12-01,18.53
1965-01-01,18.55
1965-02-01,18.56
1965-03-01,18.58
1965-04-01,18.61
1965-05-01,18.65
1965-06-01,18.71
1965-07-01,18.72
1965-08-01,18.72
1965-09-01,18.73
1965-10-01,18.74
1965-11-01,18.77
1965-12-01,18.84
1966-01-01,18.86
1966-02-01,18.94
1966-03-01,18.99
1966-04-01,19.05
1966-05-01,19.08
1966-06-01,19.12
1966-07-01,19.16
1966-08-01,19.23
1966-09-01,19.30
1966-10-01,19.35
1966-11-01,19.38
