Date,IPFUELN
1954-01-01,32.45
1954-02-01,32.41
1954-03-01,30.36
1954-04-01,29.84
1954-05-01,30.41
1954-06-01,31.06
1954-07-01,30.67
1954-08-01,31.28
1954-09-01,32.06
1954-10-01,31.93
1954-11-01,33.19
1954-12-01,34.10
1955-01-01,34.06
1955-02-01,35.10
1955-03-01,32.41
1955-04-01,31.36
1955-05-01,31.84
1955-06-01,33.41
1955-07-01,33.45
1955-08-01,33.67
1955-09-01,34.50
1955-10-01,34.58
1955-11-01,35.28
1955-12-01,36.32
1956-01-01,37.11
1956-02-01,36.32
1956-03-01,35.02
1956-04-01,34.10
1956-05-01,33.76
1956-06-01,36.50
1956-07-01,35.45
1956-08-01,37.32
1956-09-01,37.76
1956-10-01,36.15
1956-11-01,37.15
1956-12-01,38.15
1957-01-01,38.85
1957-02-01,37.19
1957-03-01,35.23
1957-04-01,34.93
1957-05-01,36.32
1957-06-01,37.45
1957-07-01,34.76
1957-08-01,37.80
1957-09-01,38.06
1957-10-01,36.24
1957-11-01,35.97
1957-12-01,37.28
1958-01-01,36.76
1958-02-01,35.10
1958-03-01,33.23
1958-04-01,32.58
1958-05-01,33.89
1958-06-01,35.89
1958-07-01,35.45
1958-08-01,36.80
1958-09-01,37.02
1958-10-01,36.15
1958-11-01,36.93
1958-12-01,38.93
1959-01-01,40.24
1959-02-01,38.15
1959-03-01,37.84
1959-04-01,36.24
1959-05-01,36.45
1959-06-01,38.06
1959-07-01,36.50
1959-08-01,38.63
1959-09-01,37.89
1959-10-01,36.50
1959-11-01,38.50
1959-12-01,39.37
1960-01-01,39.37
1960-02-01,38.45
1960-03-01,37.63
1960-04-01,37.02
1960-05-01,36.97
1960-06-01,38.50
1960-07-01,38.76
1960-08-01,40.02
1960-09-01,39.41
1960-10-01,38.45
1960-11-01,38.45
1960-12-01,39.93
1961-01-01,40.93
1961-02-01,41.50
1961-03-01,38.11
1961-04-01,36.24
1961-05-01,37.45
1961-06-01,38.02
1961-07-01,40.24
1961-08-01,41.11
1961-09-01,38.85
1961-10-01,39.58
1961-11-01,40.63
1961-12-01,41.32
1962-01-01,42.54
1962-02-01,41.98
1962-03-01,40.41
1962-04-01,38.63
1962-05-01,39.80
1962-06-01,41.67
1962-07-01,41.19
1962-08-01,41.19
1962-09-01,41.67
1962-10-01,40.76
1962-11-01,41.59
1962-12-01,43.28
1963-01-01,44.11
1963-02-01,44.89
1963-03-01,42.98
1963-04-01,40.32
1963-05-01,41.54
1963-06-01,43.80
1963-07-01,43.28
1963-08-01,44.63
1963-09-01,44.20
1963-10-01,43.63
1963-11-01,43.98
1963-12-01,44.63
1964-01-01,44.85
1964-02-01,44.72
1964-03-01,42.85
1964-04-01,42.59
1964-05-01,43.54
1964-06-01,45.11
1964-07-01,45.28
1964-08-01,45.24
1964-09-01,44.41
1964-10-01,43.98
1964-11-01,44.15
1964-12-01,45.37
1965-01-01,45.41
1965-02-01,45.20
1965-03-01,43.37
1965-04-01,42.59
1965-05-01,42.85
1965-06-01,45.15
1965-07-01,45.94
1965-08-01,46.54
1965-09-01,45.20
1965-10-01,44.80
1965-11-01,46.20
1965-12-01,47.46
1966-01-01,47.72
1966-02-01,46.72
1966-03-01,45.20
1966-04-01,44.63
1966-05-01,45.59
1966-06-01,46.41
1966-07-01,47.50
1966-08-01,48.63
1966-09-01,48.28
1966-10-01,48.07
1966-11-01,47.28
1966-12-01,48.33
1967-01-01,47.85
1967-02-01,47.16
1967-03-01,46.49
1967-04-01,45.85
1967-05-01,46.28
1967-06-01,49.05
1967-07-01,48.79
1967-08-01,49.12
1967-09-01,50.58
1967-10-01,49.27
1967-11-01,49.34
1967-12-01,51.68
1968-01-01,50.36
1968-02-01,51.05
1968-03-01,49.59
1968-04-01,47.52
1968-05-01,49.70
1968-06-01,51.67
1968-07-01,52.26
1968-08-01,52.09
1968-09-01,52.26
1968-10-01,50.54
1968-11-01,51.37
1968-12-01,53.87
1969-01-01,49.86
1969-02-01,52.55
1969-03-01,51.51
