Date,UMDMTI
1992-01-01,239750000000.00
1992-02-01,241650000000.00
1992-03-01,241580000000.00
1992-04-01,242515000000.00
1992-05-01,243163000000.00
1992-06-01,239880000000.00
1992-07-01,240923000000.00
1992-08-01,243380000000.00
1992-09-01,239698000000.00
1992-10-01,238827000000.00
1992-11-01,238128000000.00
1992-12-01,231516000000.00
1993-01-01,233330000000.00
1993-02-01,236434000000.00
1993-03-01,236825000000.00
1993-04-01,238899000000.00
1993-05-01,240284000000.00
1993-06-01,237708000000.00
1993-07-01,239218000000.00
1993-08-01,240501000000.00
1993-09-01,238649000000.00
1993-10-01,238762000000.00
1993-11-01,239297000000.00
1993-12-01,232270000000.00
1994-01-01,238443000000.00
1994-02-01,241987000000.00
1994-03-01,240921000000.00
1994-04-01,243191000000.00
1994-05-01,246260000000.00
1994-06-01,244235000000.00
1994-07-01,248794000000.00
1994-08-01,251427000000.00
1994-09-01,248591000000.00
1994-10-01,250254000000.00
1994-11-01,251958000000.00
1994-12-01,246285000000.00
1995-01-01,252980000000.00
1995-02-01,257552000000.00
1995-03-01,257858000000.00
1995-04-01,261372000000.00
1995-05-01,264889000000.00
1995-06-01,261722000000.00
1995-07-01,265855000000.00
1995-08-01,267585000000.00
1995-09-01,265259000000.00
1995-10-01,267215000000.00
1995-11-01,267089000000.00
1995-12-01,260148000000.00
1996-01-01,268464000000.00
1996-02-01,271924000000.00
1996-03-01,269710000000.00
1996-04-01,271397000000.00
1996-05-01,272934000000.00
1996-06-01,268880000000.00
1996-07-01,272625000000.00
1996-08-01,274549000000.00
1996-09-01,271453000000.00
1996-10-01,272827000000.00
1996-11-01,273963000000.00
1996-12-01,265170000000.00
1997-01-01,271930000000.00
1997-02-01,276125000000.00
1997-03-01,272899000000.00
1997-04-01,276844000000.00
1997-05-01,279235000000.00
1997-06-01,275249000000.00
1997-07-01,280153000000.00
1997-08-01,282538000000.00
1997-09-01,278514000000.00
1997-10-01,280857000000.00
1997-11-01,281055000000.00
1997-12-01,273330000000.00
1998-01-01,281467000000.00
1998-02-01,287289000000.00
1998-03-01,285085000000.00
1998-04-01,289008000000.00
1998-05-01,291635000000.00
1998-06-01,288155000000.00
1998-07-01,291884000000.00
1998-08-01,294309000000.00
1998-09-01,290466000000.00
1998-10-01,293152000000.00
1998-11-01,293604000000.00
1998-12-01,282698000000.00
1999-01-01,286728000000.00
1999-02-01,291059000000.00
1999-03-01,288930000000.00
1999-04-01,290433000000.00
1999-05-01,292492000000.00
1999-06-01,287429000000.00
1999-07-01,293191000000.00
1999-08-01,294137000000.00
1999-09-01,291275000000.00
1999-10-01,293086000000.00
1999-11-01,296053000000.00
1999-12-01,288362000000.00
