Date,UANMTI
1992-01-01,7230000000.00
1992-02-01,7108000000.00
1992-03-01,7137000000.00
1992-04-01,7254000000.00
1992-05-01,7185000000.00
1992-06-01,7123000000.00
1992-07-01,7178000000.00
1992-08-01,7300000000.00
1992-09-01,7341000000.00
1992-10-01,7161000000.00
1992-11-01,6996000000.00
1992-12-01,6843000000.00
1993-01-01,6881000000.00
1993-02-01,6971000000.00
1993-03-01,7080000000.00
1993-04-01,7126000000.00
1993-05-01,7213000000.00
1993-06-01,7199000000.00
1993-07-01,7199000000.00
1993-08-01,7428000000.00
1993-09-01,7313000000.00
1993-10-01,7278000000.00
1993-11-01,7014000000.00
1993-12-01,6992000000.00
1994-01-01,7090000000.00
1994-02-01,7236000000.00
1994-03-01,7377000000.00
1994-04-01,7475000000.00
1994-05-01,7435000000.00
1994-06-01,7409000000.00
1994-07-01,7626000000.00
1994-08-01,7753000000.00
1994-09-01,7770000000.00
1994-10-01,7919000000.00
1994-11-01,8002000000.00
1994-12-01,8235000000.00
1995-01-01,8438000000.00
1995-02-01,8597000000.00
1995-03-01,8750000000.00
1995-04-01,8859000000.00
1995-05-01,8766000000.00
1995-06-01,8692000000.00
1995-07-01,8839000000.00
1995-08-01,8941000000.00
1995-09-01,8848000000.00
1995-10-01,8811000000.00
1995-11-01,8791000000.00
1995-12-01,8586000000.00
1996-01-01,8609000000.00
1996-02-01,8666000000.00
1996-03-01,8710000000.00
1996-04-01,8773000000.00
1996-05-01,8814000000.00
1996-06-01,8827000000.00
1996-07-01,8746000000.00
1996-08-01,8724000000.00
1996-09-01,8704000000.00
1996-10-01,8516000000.00
1996-11-01,8407000000.00
1996-12-01,8472000000.00
1997-01-01,8433000000.00
1997-02-01,8518000000.00
1997-03-01,8654000000.00
1997-04-01,8535000000.00
1997-05-01,8413000000.00
1997-06-01,8460000000.00
1997-07-01,8611000000.00
1997-08-01,8672000000.00
1997-09-01,8483000000.00
1997-10-01,8432000000.00
1997-11-01,8366000000.00
1997-12-01,8478000000.00
1998-01-01,8495000000.00
1998-02-01,8295000000.00
1998-03-01,8153000000.00
1998-04-01,8206000000.00
1998-05-01,8108000000.00
1998-06-01,8017000000.00
1998-07-01,8037000000.00
1998-08-01,7972000000.00
1998-09-01,7972000000.00
1998-10-01,7855000000.00
1998-11-01,7868000000.00
1998-12-01,7887000000.00
1999-01-01,7824000000.00
1999-02-01,7727000000.00
1999-03-01,7565000000.00
1999-04-01,7557000000.00
1999-05-01,7617000000.00
1999-06-01,7657000000.00
1999-07-01,7838000000.00
1999-08-01,7905000000.00
1999-09-01,7878000000.00
1999-10-01,7944000000.00
1999-11-01,8050000000.00
1999-12-01,8165000000.00
2000-01-01,8423000000.00
2000-02-01,8395000000.00
2000-03-01,8381000000.00
2000-04-01,8297000000.00
2000-05-01,8109000000.00
2000-06-01,7944000000.00
2000-07-01,8015000000.00
2000-08-01,7979000000.00
2000-09-01,7888000000.00
2000-10-01,7844000000.00
2000-11-01,7894000000.00
2000-12-01,7750000000.00
2001-01-01,7963000000.00
2001-02-01,8003000000.00
2001-03-01,7937000000.00
2001-04-01,7878000000.00
2001-05-01,7775000000.00
2001-06-01,7600000000.00
2001-07-01,7526000000.00
2001-08-01,7432000000.00
2001-09-01,7282000000.00
2001-10-01,7348000000.00
2001-11-01,7381000000.00
2001-12-01,7455000000.00
2002-01-01,7420000000.00
2002-02-01,7399000000.00
2002-03-01,7193000000.00
2002-04-01,7217000000.00
2002-05-01,7145000000.00
2002-06-01,7145000000.00
2002-07-01,7154000000.00
2002-08-01,7141000000.00
2002-09-01,7016000000.00
2002-10-01,7019000000.00
2002-11-01,7042000000.00
2002-12-01,7060000000.00
2003-01-01,7155000000.00
2003-02-01,7155000000.00
2003-03-01,7047000000.00
2003-04-01,7031000000.00
2003-05-01,6930000000.00
2003-06-01,7018000000.00
2003-07-01,7045000000.00
2003-08-01,6952000000.00
2003-09-01,6867000000.00
2003-10-01,6830000000.00
2003-11-01,7003000000.00
2003-12-01,7102000000.00
2004-01-01,7201000000.00
2004-02-01,7367000000.00
2004-03-01,7526000000.00
2004-04-01,7622000000.00
2004-05-01,7613000000.00
2004-06-01,7573000000.00
2004-07-01,7714000000.00
2004-08-01,7700000000.00
2004-09-01,7686000000.00
2004-10-01,7844000000.00
2004-11-01,8081000000.00
2004-12-01,8211000000.00
2005-01-01,8407000000.00
2005-02-01,8328000000.00
2005-03-01,8518000000.00
2005-04-01,8640000000.00
2005-05-01,8675000000.00
2005-06-01,8581000000.00
2005-07-01,8661000000.00
2005-08-01,8757000000.00
2005-09-01,8768000000.00
2005-10-01,8758000000.00
2005-11-01,8954000000.00
2005-12-01,9160000000.00
2006-01-01,9612000000.00
2006-02-01,9800000000.00
2006-03-01,9935000000.00
