Date,U34DUO
1992-01-01,10037000000.00
1992-02-01,10148000000.00
1992-03-01,10285000000.00
1992-04-01,10121000000.00
1992-05-01,10206000000.00
1992-06-01,10670000000.00
1992-07-01,10585000000.00
1992-08-01,10714000000.00
1992-09-01,10911000000.00
1992-10-01,10586000000.00
1992-11-01,11131000000.00
1992-12-01,11671000000.00
1993-01-01,11801000000.00
1993-02-01,11487000000.00
1993-03-01,11167000000.00
1993-04-01,11354000000.00
1993-05-01,11255000000.00
1993-06-01,11746000000.00
1993-07-01,11800000000.00
1993-08-01,11989000000.00
1993-09-01,12687000000.00
1993-10-01,12975000000.00
1993-11-01,13430000000.00
1993-12-01,13809000000.00
1994-01-01,13768000000.00
1994-02-01,14286000000.00
1994-03-01,14286000000.00
1994-04-01,14449000000.00
1994-05-01,14080000000.00
1994-06-01,14429000000.00
1994-07-01,14239000000.00
1994-08-01,13938000000.00
1994-09-01,14672000000.00
1994-10-01,14491000000.00
1994-11-01,14508000000.00
1994-12-01,15511000000.00
1995-01-01,16038000000.00
1995-02-01,15849000000.00
1995-03-01,16605000000.00
1995-04-01,17034000000.00
1995-05-01,17705000000.00
1995-06-01,17602000000.00
1995-07-01,18367000000.00
1995-08-01,18120000000.00
1995-09-01,19502000000.00
1995-10-01,20984000000.00
1995-11-01,20816000000.00
1995-12-01,21285000000.00
1996-01-01,22141000000.00
1996-02-01,22677000000.00
1996-03-01,23248000000.00
1996-04-01,23302000000.00
1996-05-01,22765000000.00
1996-06-01,22249000000.00
1996-07-01,22747000000.00
1996-08-01,22679000000.00
1996-09-01,22005000000.00
1996-10-01,23497000000.00
1996-11-01,23336000000.00
1996-12-01,21007000000.00
1997-01-01,21308000000.00
1997-02-01,22238000000.00
1997-03-01,22522000000.00
1997-04-01,22442000000.00
1997-05-01,22537000000.00
1997-06-01,23477000000.00
1997-07-01,23400000000.00
1997-08-01,23057000000.00
1997-09-01,24776000000.00
1997-10-01,24529000000.00
1997-11-01,23984000000.00
1997-12-01,23647000000.00
1998-01-01,25265000000.00
1998-02-01,26325000000.00
1998-03-01,27209000000.00
1998-04-01,27047000000.00
1998-05-01,28608000000.00
1998-06-01,28738000000.00
1998-07-01,28243000000.00
1998-08-01,28061000000.00
1998-09-01,28509000000.00
1998-10-01,29312000000.00
1998-11-01,28978000000.00
1998-12-01,29069000000.00
1999-01-01,29547000000.00
1999-02-01,30564000000.00
1999-03-01,31392000000.00
1999-04-01,31449000000.00
1999-05-01,31690000000.00
1999-06-01,31825000000.00
1999-07-01,32011000000.00
1999-08-01,31670000000.00
1999-09-01,33676000000.00
1999-10-01,35139000000.00
1999-11-01,36829000000.00
1999-12-01,40248000000.00
2000-01-01,42031000000.00
