Date,DSPIC96
1959-01-01,2056500000000.00
1959-02-01,2063500000000.00
1959-03-01,2075100000000.00
1959-04-01,2087700000000.00
1959-05-01,2099600000000.00
1959-06-01,2106900000000.00
1959-07-01,2103300000000.00
1959-08-01,2091100000000.00
1959-09-01,2091200000000.00
1959-10-01,2093900000000.00
1959-11-01,2108700000000.00
1959-12-01,2127700000000.00
1960-01-01,2134900000000.00
1960-02-01,2134300000000.00
1960-03-01,2136700000000.00
1960-04-01,2144800000000.00
1960-05-01,2149800000000.00
1960-06-01,2151300000000.00
1960-07-01,2153000000000.00
1960-08-01,2150400000000.00
1960-09-01,2154000000000.00
1960-10-01,2161800000000.00
1960-11-01,2151900000000.00
1960-12-01,2141000000000.00
1961-01-01,2163400000000.00
1961-02-01,2172600000000.00
1961-03-01,2181400000000.00
1961-04-01,2186600000000.00
1961-05-01,2203300000000.00
1961-06-01,2226700000000.00
1961-07-01,2234400000000.00
1961-08-01,2233900000000.00
1961-09-01,2236200000000.00
1961-10-01,2259200000000.00
1961-11-01,2280700000000.00
1961-12-01,2293800000000.00
1962-01-01,2287200000000.00
1962-02-01,2298400000000.00
1962-03-01,2313200000000.00
1962-04-01,2322700000000.00
1962-05-01,2323200000000.00
1962-06-01,2325700000000.00
1962-07-01,2334700000000.00
1962-08-01,2336400000000.00
1962-09-01,2337000000000.00
1962-10-01,2347300000000.00
1962-11-01,2356100000000.00
1962-12-01,2366600000000.00
1963-01-01,2383300000000.00
1963-02-01,2368900000000.00
1963-03-01,2378300000000.00
1963-04-01,2389100000000.00
1963-05-01,2397100000000.00
1963-06-01,2410800000000.00
1963-07-01,2412800000000.00
1963-08-01,2423100000000.00
1963-09-01,2440500000000.00
1963-10-01,2455600000000.00
1963-11-01,2460100000000.00
1963-12-01,2479400000000.00
1964-01-01,2489200000000.00
1964-02-01,2496500000000.00
1964-03-01,2554600000000.00
1964-04-01,2568700000000.00
1964-05-01,2582500000000.00
1964-06-01,2591700000000.00
1964-07-01,2600600000000.00
1964-08-01,2616100000000.00
1964-09-01,2626200000000.00
1964-10-01,2625600000000.00
1964-11-01,2640400000000.00
1964-12-01,2665800000000.00
1965-01-01,2672300000000.00
1965-02-01,2672400000000.00
1965-03-01,2680600000000.00
1965-04-01,2685000000000.00
1965-05-01,2713800000000.00
1965-06-01,2717200000000.00
1965-07-01,2745200000000.00
1965-08-01,2758800000000.00
1965-09-01,2834500000000.00
1965-10-01,2817800000000.00
1965-11-01,2838600000000.00
1965-12-01,2850000000000.00
1966-01-01,2854100000000.00
1966-02-01,2863900000000.00
1966-03-01,2872700000000.00
1966-04-01,2864000000000.00
1966-05-01,2868400000000.00
1966-06-01,2880600000000.00
1966-07-01,2891000000000.00
1966-08-01,2905400000000.00
1966-09-01,2921200000000.00
1966-10-01,2932300000000.00
1966-11-01,2945000000000.00
1966-12-01,2941700000000.00
1967-01-01,2972800000000.00
1967-02-01,2977700000000.00
1967-03-01,3000100000000.00
1967-04-01,2999100000000.00
1967-05-01,3005100000000.00
1967-06-01,3016100000000.00
1967-07-01,3029200000000.00
1967-08-01,3038800000000.00
1967-09-01,3037400000000.00
1967-10-01,3036800000000.00
1967-11-01,3054200000000.00
1967-12-01,3080300000000.00
1968-01-01,3085100000000.00
1968-02-01,3107000000000.00
1968-03-01,3136100000000.00
1968-04-01,3149000000000.00
1968-05-01,3160900000000.00
1968-06-01,3174000000000.00
1968-07-01,3167700000000.00
1968-08-01,3170300000000.00
1968-09-01,3168800000000.00
1968-10-01,3180200000000.00
1968-11-01,3190900000000.00
1968-12-01,3200700000000.00
1969-01-01,3195700000000.00
1969-02-01,3195200000000.00
1969-03-01,3200300000000.00
1969-04-01,3200300000000.00
1969-05-01,3237000000000.00
1969-06-01,3259400000000.00
1969-07-01,3284200000000.00
1969-08-01,3305700000000.00
1969-09-01,3312000000000.00
1969-10-01,3322400000000.00
1969-11-01,3326000000000.00
1969-12-01,3330900000000.00
1970-01-01,3349500000000.00
1970-02-01,3358500000000.00
1970-03-01,3369100000000.00
1970-04-01,3414100000000.00
1970-05-01,3396600000000.00
1970-06-01,3385300000000.00
1970-07-01,3441700000000.00
1970-08-01,3454000000000.00
1970-09-01,3459600000000.00
1970-10-01,3443000000000.00
1970-11-01,3436200000000.00
1970-12-01,3449700000000.00
1971-01-01,3505400000000.00
1971-02-01,3510000000000.00
1971-03-01,3520700000000.00
1971-04-01,3530500000000.00
1971-05-01,3543200000000.00
1971-06-01,3616100000000.00
1971-07-01,3566100000000.00
1971-08-01,3585700000000.00
1971-09-01,3595000000000.00
1971-10-01,3607900000000.00
1971-11-01,3619700000000.00
