Date,USACPIHOUMINMEI
1982-12-01,38.64
1983-01-01,38.91
1983-02-01,39.02
1983-03-01,39.02
1983-04-01,39.29
1983-05-01,39.41
1983-06-01,39.53
1983-07-01,39.72
1983-08-01,39.87
1983-09-01,40.10
1983-10-01,40.22
1983-11-01,40.38
1983-12-01,40.45
1984-01-01,40.61
1984-02-01,40.72
1984-03-01,40.92
1984-04-01,41.19
1984-05-01,41.30
1984-06-01,41.46
1984-07-01,41.77
1984-08-01,41.96
1984-09-01,42.19
1984-10-01,42.35
1984-11-01,42.46
1984-12-01,42.62
1985-01-01,42.73
1985-02-01,43.00
1985-03-01,43.08
1985-04-01,43.27
1985-05-01,43.74
1985-06-01,43.89
1985-07-01,44.16
1985-08-01,44.47
1985-09-01,44.59
1985-10-01,44.86
1985-11-01,45.09
1985-12-01,45.20
1986-01-01,45.36
1986-02-01,45.48
1986-03-01,45.78
1986-04-01,46.13
1986-05-01,46.25
1986-06-01,46.33
1986-07-01,46.56
1986-08-01,46.71
1986-09-01,47.02
1986-10-01,47.21
1986-11-01,47.29
1986-12-01,47.33
1987-01-01,47.56
1987-02-01,47.75
1987-03-01,47.95
1987-04-01,48.22
1987-05-01,48.33
1987-06-01,48.45
1987-07-01,48.68
1987-08-01,49.03
1987-09-01,49.15
1987-10-01,49.45
1987-11-01,49.49
1987-12-01,49.65
1988-01-01,50.00
1988-02-01,50.15
1988-03-01,50.38
1988-04-01,50.46
1988-05-01,50.61
1988-06-01,50.81
1988-07-01,51.12
1988-08-01,51.43
1988-09-01,51.54
1988-10-01,51.70
1988-11-01,51.81
1988-12-01,51.89
1989-01-01,52.08
1989-02-01,52.31
1989-03-01,52.66
1989-04-01,52.66
1989-05-01,52.89
1989-06-01,53.09
1989-07-01,53.63
1989-08-01,53.82
1989-09-01,53.82
1989-10-01,54.13
1989-11-01,54.28
1989-12-01,54.44
1990-01-01,54.71
1990-02-01,54.86
1990-03-01,55.37
1990-04-01,55.44
1990-05-01,55.52
1990-06-01,56.02
