Date,BOGMBASE
1959-01-01,50463000000.00
1959-02-01,49805000000.00
1959-03-01,49733000000.00
1959-04-01,50058000000.00
1959-05-01,50112000000.00
1959-06-01,50337000000.00
1959-07-01,50802000000.00
1959-08-01,50661000000.00
1959-09-01,50722000000.00
1959-10-01,50660000000.00
1959-11-01,50877000000.00
1959-12-01,51504000000.00
1960-01-01,50661000000.00
1960-02-01,49609000000.00
1960-03-01,49482000000.00
1960-04-01,49656000000.00
1960-05-01,49734000000.00
1960-06-01,50015000000.00
1960-07-01,50455000000.00
1960-08-01,50279000000.00
1960-09-01,49920000000.00
1960-10-01,50130000000.00
1960-11-01,50251000000.00
1960-12-01,49763000000.00
1961-01-01,49103000000.00
1961-02-01,48441000000.00
1961-03-01,48362000000.00
1961-04-01,48455000000.00
1961-05-01,48494000000.00
1961-06-01,48875000000.00
1961-07-01,49216000000.00
1961-08-01,49334000000.00
1961-09-01,49599000000.00
1961-10-01,50032000000.00
1961-11-01,50484000000.00
1961-12-01,51281000000.00
1962-01-01,50603000000.00
1962-02-01,49841000000.00
1962-03-01,50024000000.00
1962-04-01,50365000000.00
1962-05-01,50543000000.00
1962-06-01,50908000000.00
1962-07-01,51314000000.00
1962-08-01,51175000000.00
1962-09-01,51322000000.00
1962-10-01,51552000000.00
1962-11-01,51344000000.00
1962-12-01,52257000000.00
1963-01-01,51635000000.00
1963-02-01,51013000000.00
1963-03-01,51206000000.00
1963-04-01,51489000000.00
1963-05-01,51702000000.00
1963-06-01,52195000000.00
1963-07-01,52768000000.00
1963-08-01,52600000000.00
1963-09-01,52910000000.00
1963-10-01,53117000000.00
1963-11-01,53775000000.00
1963-12-01,54913000000.00
1964-01-01,54238000000.00
1964-02-01,53472000000.00
1964-03-01,53830000000.00
1964-04-01,54052000000.00
1964-05-01,54273000000.00
1964-06-01,54940000000.00
1964-07-01,55426000000.00
1964-08-01,55427000000.00
1964-09-01,55887000000.00
1964-10-01,56162000000.00
1964-11-01,56786000000.00
1964-12-01,57737000000.00
1965-01-01,57138000000.00
1965-02-01,56508000000.00
1965-03-01,56696000000.00
1965-04-01,57089000000.00
1965-05-01,57165000000.00
1965-06-01,57761000000.00
1965-07-01,58407000000.00
1965-08-01,58192000000.00
1965-09-01,58574000000.00
1965-10-01,59137000000.00
1965-11-01,59614000000.00
