Date,MCUMFN
1972-01-01,81.26
1972-02-01,81.63
1972-03-01,81.97
1972-04-01,82.74
1972-05-01,82.61
1972-06-01,82.66
1972-07-01,82.47
1972-08-01,83.31
1972-09-01,83.68
1972-10-01,84.72
1972-11-01,85.56
1972-12-01,86.57
1973-01-01,86.89
1973-02-01,88.05
1973-03-01,87.95
1973-04-01,87.55
1973-05-01,87.83
1973-06-01,87.52
1973-07-01,87.67
1973-08-01,87.12
1973-09-01,87.65
1973-10-01,88.10
1973-11-01,88.50
1973-12-01,88.28
1974-01-01,87.23
1974-02-01,86.59
1974-03-01,86.32
1974-04-01,85.66
1974-05-01,86.02
1974-06-01,85.91
1974-07-01,85.53
1974-08-01,84.60
1974-09-01,84.55
1974-10-01,83.71
1974-11-01,80.96
1974-12-01,77.13
1975-01-01,75.36
1975-02-01,73.08
1975-03-01,71.97
1975-04-01,71.76
1975-05-01,71.55
1975-06-01,72.04
1975-07-01,72.91
1975-08-01,73.59
1975-09-01,74.69
1975-10-01,74.96
1975-11-01,75.04
1975-12-01,75.84
1976-01-01,76.73
1976-02-01,77.76
1976-03-01,77.72
1976-04-01,78.01
1976-05-01,78.27
1976-06-01,78.09
1976-07-01,78.48
1976-08-01,78.81
1976-09-01,78.77
1976-10-01,78.52
1976-11-01,79.33
1976-12-01,79.97
1977-01-01,79.60
1977-02-01,80.80
1977-03-01,81.75
1977-04-01,82.33
1977-05-01,82.83
1977-06-01,83.29
1977-07-01,83.07
1977-08-01,83.21
1977-09-01,83.04
1977-10-01,83.00
1977-11-01,82.91
1977-12-01,83.57
1978-01-01,82.10
1978-02-01,82.10
1978-03-01,83.27
1978-04-01,84.41
1978-05-01,84.45
1978-06-01,84.86
1978-07-01,84.55
1978-08-01,84.73
1978-09-01,84.92
1978-10-01,85.28
1978-11-01,85.81
1978-12-01,86.20
1979-01-01,85.22
1979-02-01,85.26
1979-03-01,85.43
1979-04-01,83.81
1979-05-01,84.66
1979-06-01,84.52
1979-07-01,84.37
1979-08-01,83.03
1979-09-01,83.04
1979-10-01,83.14
1979-11-01,82.69
1979-12-01,82.82
1980-01-01,82.98
1980-02-01,82.64
1980-03-01,81.84
1980-04-01,79.89
1980-05-01,77.23
1980-06-01,75.82
1980-07-01,74.72
1980-08-01,75.12
1980-09-01,76.18
1980-10-01,77.41
1980-11-01,78.65
1980-12-01,78.61
1981-01-01,78.14
1981-02-01,77.48
1981-03-01,77.51
1981-04-01,77.68
1981-05-01,77.82
1981-06-01,77.18
1981-07-01,77.14
1981-08-01,76.99
1981-09-01,76.41
1981-10-01,75.51
1981-11-01,74.36
1981-12-01,72.87
1982-01-01,70.95
1982-02-01,72.77
1982-03-01,71.99
1982-04-01,71.36
1982-05-01,71.10
1982-06-01,70.85
1982-07-01,70.67
1982-08-01,69.92
1982-09-01,69.65
1982-10-01,68.72
1982-11-01,68.18
1982-12-01,67.87
1983-01-01,69.49
1983-02-01,69.41
1983-03-01,70.02
1983-04-01,70.82
1983-05-01,71.71
1983-06-01,72.26
1983-07-01,73.33
1983-08-01,73.85
1983-09-01,75.28
1983-10-01,76.05
1983-11-01,76.29
1983-12-01,76.47
1984-01-01,77.79
1984-02-01,78.51
1984-03-01,78.74
1984-04-01,79.04
1984-05-01,79.06
1984-06-01,79.24
1984-07-01,79.42
1984-08-01,79.32
1984-09-01,78.92
1984-10-01,78.99
1984-11-01,79.03
1984-12-01,79.07
1985-01-01,78.53
1985-02-01,77.98
1985-03-01,78.35
1985-04-01,77.79
1985-05-01,77.73
1985-06-01,77.65
1985-07-01,77.00
1985-08-01,77.28
1985-09-01,77.25
1985-10-01,76.92
1985-11-01,77.33
1985-12-01,77.55
1986-01-01,78.34
1986-02-01,77.88
1986-03-01,77.57
1986-04-01,77.65
1986-05-01,77.71
1986-06-01,77.40
1986-07-01,77.71
1986-08-01,77.90
1986-09-01,77.96
1986-10-01,78.16
1986-11-01,78.39
1986-12-01,78.91
1987-01-01,78.52
1987-02-01,79.48
1987-03-01,79.30
1987-04-01,79.55
1987-05-01,79.93
1987-06-01,79.96
1987-07-01,80.39
1987-08-01,80.72
1987-09-01,81.02
1987-10-01,82.22
1987-11-01,82.53
1987-12-01,82.97
1988-01-01,82.72
1988-02-01,82.89
1988-03-01,83.10
1988-04-01,83.82
1988-05-01,83.67
1988-06-01,83.82
1988-07-01,83.79
1988-08-01,83.83
1988-09-01,84.12
1988-10-01,84.45
1988-11-01,84.63
1988-12-01,84.93
1989-01-01,85.56
1989-02-01,84.55
1989-03-01,84.27
1989-04-01,84.36
1989-05-01,83.36
1989-06-01,83.37
1989-07-01,82.23
1989-08-01,82.78
1989-09-01,82.37
1989-10-01,81.98
1989-11-01,81.92
1989-12-01,81.78
1990-01-01,81.34
1990-02-01,82.35
1990-03-01,82.58
1990-04-01,82.11
1990-05-01,82.09
1990-06-01,82.17
1990-07-01,81.83
1990-08-01,81.91
1990-09-01,81.76
1990-10-01,80.93
1990-11-01,79.89
1990-12-01,79.16
1991-01-01,78.44
1991-02-01,77.80
1991-03-01,77.18
1991-04-01,77.36
1991-05-01,77.81
1991-06-01,78.57
1991-07-01,78.75
1991-08-01,78.76
1991-09-01,79.53
1991-10-01,79.25
1991-11-01,78.96
1991-12-01,78.69
1992-01-01,78.04
1992-02-01,78.61
1992-03-01,79.23
1992-04-01,79.46
1992-05-01,79.71
1992-06-01,79.72
1992-07-01,80.23
1992-08-01,79.70
1992-09-01,79.56
1992-10-01,79.91
1992-11-01,80.07
1992-12-01,79.78
1993-01-01,80.38
1993-02-01,80.40
1993-03-01,80.06
1993-04-01,80.39
1993-05-01,80.21
1993-06-01,79.91
1993-07-01,80.03
1993-08-01,79.79
1993-09-01,80.19
1993-10-01,80.76
1993-11-01,80.93
1993-12-01,81.24
1994-01-01,81.18
1994-02-01,81.09
1994-03-01,81.95
1994-04-01,82.42
1994-05-01,82.73
1994-06-01,82.72
1994-07-01,82.82
1994-08-01,83.14
1994-09-01,83.22
1994-10-01,83.79
1994-11-01,84.12
1994-12-01,84.75
1995-01-01,84.57
1995-02-01,83.98
1995-03-01,83.84
1995-04-01,83.37
1995-05-01,83.17
1995-06-01,83.22
1995-07-01,82.31
1995-08-01,82.88
1995-09-01,83.24
1995-10-01,82.80
1995-11-01,82.46
1995-12-01,82.39
1996-01-01,81.33
1996-02-01,82.18
1996-03-01,81.55
1996-04-01,82.03
1996-05-01,82.21
1996-06-01,82.65
1996-07-01,82.44
1996-08-01,82.38
1996-09-01,82.64
1996-10-01,82.03
1996-11-01,82.26
1996-12-01,82.49
1997-01-01,82.05
1997-02-01,82.71
1997-03-01,83.10
1997-04-01,82.43
1997-05-01,82.52
1997-06-01,82.50
1997-07-01,82.48
1997-08-01,82.98
1997-09-01,83.10
1997-10-01,83.21
1997-11-01,83.52
1997-12-01,83.24
1998-01-01,83.36
1998-02-01,82.78
1998-03-01,82.02
1998-04-01,81.79
1998-05-01,81.63
1998-06-01,80.40
1998-07-01,79.51
1998-08-01,81.03
1998-09-01,80.41
1998-10-01,80.73
1998-11-01,80.39
1998-12-01,80.43
1999-01-01,80.27
1999-02-01,80.55
1999-03-01,80.08
1999-04-01,80.06
1999-05-01,80.40
1999-06-01,79.78
1999-07-01,79.83
1999-08-01,79.87
1999-09-01,79.14
1999-10-01,80.02
1999-11-01,80.17
1999-12-01,80.36
2000-01-01,80.13
2000-02-01,79.98
2000-03-01,80.16
2000-04-01,80.43
2000-05-01,80.02
2000-06-01,79.84
2000-07-01,79.61
2000-08-01,78.76
2000-09-01,78.81
2000-10-01,78.30
2000-11-01,77.78
2000-12-01,77.07
2001-01-01,76.34
2001-02-01,75.68
2001-03-01,75.25
2001-04-01,74.72
2001-05-01,73.96
2001-06-01,73.25
2001-07-01,72.67
2001-08-01,72.19
2001-09-01,71.88
2001-10-01,71.32
2001-11-01,71.03
2001-12-01,71.11
2002-01-01,71.46
2002-02-01,71.38
2002-03-01,71.92
2002-04-01,72.04
2002-05-01,72.39
2002-06-01,73.21
2002-07-01,72.91
2002-08-01,73.04
2002-09-01,73.13
2002-10-01,72.84
2002-11-01,73.18
2002-12-01,72.73
2003-01-01,73.12
2003-02-01,73.22
2003-03-01,73.34
2003-04-01,72.76
2003-05-01,72.84
2003-06-01,73.22
2003-07-01,73.44
2003-08-01,73.23
2003-09-01,73.84
2003-10-01,73.94
2003-11-01,74.73
2003-12-01,74.58
2004-01-01,74.63
2004-02-01,75.20
2004-03-01,75.10
2004-04-01,75.41
2004-05-01,76.03
2004-06-01,75.42
2004-07-01,76.10
2004-08-01,76.43
2004-09-01,76.43
2004-10-01,77.24
2004-11-01,77.12
2004-12-01,77.61
2005-01-01,78.09
2005-02-01,78.66
2005-03-01,78.14
2005-04-01,78.25
2005-05-01,78.32
2005-06-01,78.30
2005-07-01,77.86
2005-08-01,78.06
2005-09-01,77.08
2005-10-01,78.14
2005-11-01,78.64
2005-12-01,78.65
2006-01-01,79.14
2006-02-01,78.75
2006-03-01,78.55
2006-04-01,78.83
2006-05-01,78.41
2006-06-01,78.63
2006-07-01,78.31
2006-08-01,78.75
2006-09-01,78.67
2006-10-01,78.20
2006-11-01,78.06
2006-12-01,79.09
2007-01-01,78.47
2007-02-01,78.61
2007-03-01,79.11
2007-04-01,79.46
2007-05-01,79.18
2007-06-01,79.25
2007-07-01,79.15
2007-08-01,78.75
2007-09-01,78.98
2007-10-01,78.59
2007-11-01,78.91
2007-12-01,78.96
2008-01-01,78.59
2008-02-01,78.04
2008-03-01,77.80
2008-04-01,76.95
2008-05-01,76.60
2008-06-01,76.12
2008-07-01,75.27
2008-08-01,74.40
2008-09-01,71.80
2008-10-01,71.49
2008-11-01,69.86
2008-12-01,67.48
2009-01-01,65.49
2009-02-01,65.55
2009-03-01,64.49
2009-04-01,64.16
2009-05-01,63.58
2009-06-01,63.47
2009-07-01,64.59
2009-08-01,65.48
2009-09-01,66.17
2009-10-01,66.38
2009-11-01,67.17
2009-12-01,67.15
2010-01-01,68.10
2010-02-01,68.23
2010-03-01,69.20
2010-04-01,69.95
2010-05-01,71.05
2010-06-01,71.08
2010-07-01,71.62
2010-08-01,71.86
2010-09-01,71.99
2010-10-01,72.15
2010-11-01,72.28
2010-12-01,72.74
2011-01-01,72.99
2011-02-01,73.18
2011-03-01,73.71
2011-04-01,73.33
2011-05-01,73.45
2011-06-01,73.53
2011-07-01,74.00
2011-08-01,74.26
2011-09-01,74.47
2011-10-01,74.84
2011-11-01,74.58
2011-12-01,75.05
2012-01-01,75.64
2012-02-01,75.84
2012-03-01,75.40
2012-04-01,75.77
2012-05-01,75.41
2012-06-01,75.52
2012-07-01,75.37
2012-08-01,75.15
2012-09-01,75.06
2012-10-01,74.72
2012-11-01,75.18
2012-12-01,75.77
2013-01-01,75.44
2013-02-01,75.80
2013-03-01,75.66
2013-04-01,75.32
2013-05-01,75.47
2013-06-01,75.63
2013-07-01,74.80
2013-08-01,75.49
2013-09-01,75.53
2013-10-01,75.60
2013-11-01,75.59
2013-12-01,75.59
2014-01-01,74.67
2014-02-01,75.48
