Date,LREM64TTUSM156N
1960-01-01,59.64
1960-02-01,60.06
1960-03-01,59.71
1960-04-01,61.37
1960-05-01,62.08
1960-06-01,63.00
1960-07-01,62.96
1960-08-01,62.69
1960-09-01,62.44
1960-10-01,62.05
1960-11-01,61.73
1960-12-01,60.60
1961-01-01,59.17
1961-02-01,59.18
1961-03-01,59.90
1961-04-01,60.17
1961-05-01,60.94
1961-06-01,62.14
1961-07-01,61.96
1961-08-01,62.11
1961-09-01,61.15
1961-10-01,61.77
1961-11-01,61.44
1961-12-01,60.61
1962-01-01,59.34
1962-02-01,59.85
1962-03-01,60.26
1962-04-01,60.98
1962-05-01,61.90
1962-06-01,62.70
1962-07-01,62.73
1962-08-01,62.86
1962-09-01,62.14
1962-10-01,62.32
1962-11-01,61.55
1962-12-01,61.10
1963-01-01,59.69
1963-02-01,59.88
1963-03-01,60.49
1963-04-01,61.27
1963-05-01,61.78
1963-06-01,62.41
1963-07-01,62.70
1963-08-01,62.49
1963-09-01,61.92
1963-10-01,62.25
1963-11-01,61.76
1963-12-01,61.15
1964-01-01,59.79
1964-02-01,60.28
1964-03-01,60.61
1964-04-01,61.58
1964-05-01,62.36
1964-06-01,62.84
1964-07-01,63.12
1964-08-01,62.98
1964-09-01,62.13
1964-10-01,62.28
1964-11-01,61.98
1964-12-01,61.60
1965-01-01,60.35
1965-02-01,60.58
1965-03-01,61.08
1965-04-01,61.77
1965-05-01,62.56
1965-06-01,63.43
1965-07-01,64.20
1965-08-01,63.78
1965-09-01,62.48
1965-10-01,63.07
1965-11-01,62.85
1965-12-01,62.79
1966-01-01,61.49
1966-02-01,61.67
1966-03-01,61.95
1966-04-01,62.72
1966-05-01,63.20
1966-06-01,64.41
1966-07-01,64.97
1966-08-01,64.88
1966-09-01,63.53
1966-10-01,63.92
1966-11-01,64.06
1966-12-01,63.78
1967-01-01,62.39
1967-02-01,62.62
1967-03-01,62.64
1967-04-01,63.26
1967-05-01,63.33
1967-06-01,64.68
1967-07-01,65.41
1967-08-01,65.26
1967-09-01,63.74
1967-10-01,64.09
1967-11-01,64.06
1967-12-01,64.13
1968-01-01,62.35
1968-02-01,62.96
1968-03-01,63.26
1968-04-01,63.67
1968-05-01,64.15
1968-06-01,65.23
1968-07-01,65.64
1968-08-01,65.32
1968-09-01,63.86
1968-10-01,64.10
1968-11-01,64.21
1968-12-01,64.22
1969-01-01,63.06
1969-02-01,63.57
1969-03-01,63.72
1969-04-01,64.08
1969-05-01,64.14
1969-06-01,65.54
1969-07-01,66.09
1969-08-01,66.00
1969-09-01,64.45
1969-10-01,64.94
1969-11-01,64.88
1969-12-01,64.90
1970-01-01,63.55
1970-02-01,63.52
1970-03-01,63.75
1970-04-01,63.99
1970-05-01,63.86
1970-06-01,64.66
1970-07-01,65.38
1970-08-01,64.93
1970-09-01,63.41
1970-10-01,63.84
1970-11-01,63.64
1970-12-01,63.37
1971-01-01,62.23
1971-02-01,62.22
1971-03-01,62.26
1971-04-01,62.65
1971-05-01,62.91
1971-06-01,63.47
1971-07-01,64.40
1971-08-01,64.26
1971-09-01,63.02
1971-10-01,63.55
1971-11-01,63.62
1971-12-01,63.51
1972-01-01,62.27
1972-02-01,62.36
1972-03-01,62.86
1972-04-01,63.15
1972-05-01,63.51
1972-06-01,64.53
1972-07-01,65.10
1972-08-01,65.07
1972-09-01,63.73
1972-10-01,64.18
1972-11-01,64.21
1972-12-01,64.30
1973-01-01,62.87
