Date,XTIMVA01USM667S
1960-01-01,1246600000.00
1960-02-01,1352800000.00
1960-03-01,1291000000.00
1960-04-01,1353100000.00
1960-05-01,1278200000.00
1960-06-01,1275500000.00
1960-07-01,1267500000.00
1960-08-01,1245200000.00
1960-09-01,1209800000.00
1960-10-01,1196600000.00
1960-11-01,1161600000.00
1960-12-01,1142400000.00
1961-01-01,1153800000.00
1961-02-01,1153600000.00
1961-03-01,1164100000.00
1961-04-01,1157700000.00
1961-05-01,1162200000.00
1961-06-01,1180000000.00
1961-07-01,1359400000.00
1961-08-01,1242900000.00
1961-09-01,1266100000.00
1961-10-01,1298500000.00
1961-11-01,1304800000.00
1961-12-01,1325500000.00
1962-01-01,1319700000.00
1962-02-01,1325000000.00
1962-03-01,1339100000.00
1962-04-01,1368300000.00
1962-05-01,1395500000.00
1962-06-01,1354600000.00
1962-07-01,1341100000.00
1962-08-01,1347300000.00
1962-09-01,1478900000.00
1962-10-01,1315900000.00
1962-11-01,1419300000.00
1962-12-01,1380500000.00
1963-01-01,1088600000.00
1963-02-01,1510400000.00
1963-03-01,1484800000.00
1963-04-01,1411600000.00
1963-05-01,1409100000.00
1963-06-01,1432400000.00
1963-07-01,1446600000.00
1963-08-01,1506600000.00
1963-09-01,1454600000.00
1963-10-01,1458800000.00
1963-11-01,1459400000.00
1963-12-01,1488200000.00
1964-01-01,1421100000.00
1964-02-01,1461800000.00
1964-03-01,1518000000.00
1964-04-01,1525100000.00
1964-05-01,1534800000.00
1964-06-01,1524300000.00
1964-07-01,1576400000.00
1964-08-01,1584800000.00
1964-09-01,1558700000.00
1964-10-01,1550500000.00
1964-11-01,1687700000.00
1964-12-01,1655000000.00
1965-01-01,1199000000.00
1965-02-01,1606000000.00
1965-03-01,1860900000.00
1965-04-01,1811300000.00
1965-05-01,1796600000.00
1965-06-01,1848200000.00
1965-07-01,1741800000.00
1965-08-01,1825300000.00
1965-09-01,1858000000.00
1965-10-01,1884800000.00
1965-11-01,1940600000.00
