Date,SUUR0000SA0
1999-12-01,100.00
2000-01-01,100.30
2000-02-01,100.90
2000-03-01,101.60
2000-04-01,101.60
2000-05-01,101.70
2000-06-01,102.10
2000-07-01,102.30
2000-08-01,102.30
2000-09-01,102.80
2000-10-01,102.90
2000-11-01,102.80
2000-12-01,102.60
2001-01-01,103.30
2001-02-01,103.70
2001-03-01,103.90
2001-04-01,104.20
2001-05-01,104.60
2001-06-01,104.80
2001-07-01,104.50
2001-08-01,104.60
2001-09-01,104.90
2001-10-01,104.70
2001-11-01,104.40
2001-12-01,103.90
2002-01-01,104.20
2002-02-01,104.50
2002-03-01,105.10
2002-04-01,105.60
2002-05-01,105.60
2002-06-01,105.60
2002-07-01,105.70
2002-08-01,106.00
2002-09-01,106.30
2002-10-01,106.40
2002-11-01,106.30
2002-12-01,106.00
2003-01-01,106.50
2003-02-01,107.30
2003-03-01,107.90
2003-04-01,107.70
2003-05-01,107.50
2003-06-01,107.60
2003-07-01,107.70
2003-08-01,108.20
2003-09-01,108.50
2003-10-01,108.40
2003-11-01,108.00
2003-12-01,107.80
2004-01-01,108.50
2004-02-01,109.10
2004-03-01,109.70
2004-04-01,110.00
2004-05-01,110.60
2004-06-01,110.80
2004-07-01,110.70
2004-08-01,110.70
2004-09-01,111.00
2004-10-01,111.60
2004-11-01,111.60
2004-12-01,111.20
2005-01-01,111.30
2005-02-01,111.90
2005-03-01,112.60
2005-04-01,113.40
2005-05-01,113.30
2005-06-01,113.20
2005-07-01,113.70
2005-08-01,114.30
2005-09-01,115.60
2005-10-01,115.70
2005-11-01,114.90
2005-12-01,114.40
2006-01-01,115.20
2006-02-01,115.40
2006-03-01,116.00
2006-04-01,116.90
2006-05-01,117.50
2006-06-01,117.70
2006-07-01,118.10
2006-08-01,118.30
2006-09-01,117.80
2006-10-01,117.10
2006-11-01,116.90
2006-12-01,117.00
2007-01-01,117.33
2007-02-01,117.88
2007-03-01,118.91
2007-04-01,119.67
2007-05-01,120.29
2007-06-01,120.44
2007-07-01,120.38
2007-08-01,120.29
2007-09-01,120.64
2007-10-01,120.89
2007-11-01,121.48
2007-12-01,121.30
2008-01-01,121.87
2008-02-01,122.25
2008-03-01,123.32
2008-04-01,124.12
2008-05-01,125.17
2008-06-01,126.31
2008-07-01,126.92
2008-08-01,126.59
2008-09-01,126.55
2008-10-01,125.50
2008-11-01,123.04
2008-12-01,121.56
2009-01-01,122.10
2009-02-01,122.60
2009-03-01,122.80
2009-04-01,123.05
2009-05-01,123.43
2009-06-01,124.49
2009-07-01,124.29
2009-08-01,124.62
2009-09-01,124.71
2009-10-01,124.79
2009-11-01,124.79
2009-12-01,124.54
2010-01-01,124.99
2010-02-01,124.97
2010-03-01,125.44
2010-04-01,125.62
2010-05-01,125.68
2010-06-01,125.52
2010-07-01,125.54
2010-08-01,125.76
2010-09-01,125.83
2010-10-01,125.97
2010-11-01,125.92
2010-12-01,126.14
2011-01-01,126.78
2011-02-01,127.36
2011-03-01,128.59
2011-04-01,129.48
2011-05-01,130.00
2011-06-01,129.85
2011-07-01,129.98
2011-08-01,130.35
2011-09-01,130.64
2011-10-01,130.37
2011-11-01,130.20
2011-12-01,129.84
2012-01-01,130.44
2012-02-01,130.95
2012-03-01,131.91
2012-04-01,132.28
2012-05-01,132.15
2012-06-01,131.96
2012-07-01,131.73
2012-08-01,132.43
2012-09-01,132.99
2012-10-01,132.89
2012-11-01,132.21
2012-12-01,131.77
2013-01-01,132.14
2013-02-01,133.20
2013-03-01,133.56
2013-04-01,133.42
2013-05-01,133.63
2013-06-01,133.90
2013-07-01,133.92
2013-08-01,134.10
2013-09-01,134.26
2013-10-01,133.88
2013-11-01,133.60
2013-12-01,133.51
2014-01-01,134.02
2014-02-01,134.54
2014-03-01,135.38
2014-04-01,135.77
2014-05-01,136.22
2014-06-01,136.43
2014-07-01,136.39
2014-08-01,136.13
2014-09-01,136.21
2014-10-01,135.89
2014-11-01,135.11
2014-12-01,134.21
2015-01-01,133.49
2015-02-01,134.05
2015-03-01,134.97
2015-04-01,135.22
2015-05-01,135.98
2015-06-01,136.39
2015-07-01,136.37
2015-08-01,136.13
2015-09-01,135.84
2015-10-01,135.74
2015-11-01,135.39
2015-12-01,134.79
2016-01-01,134.97
2016-02-01,134.95
2016-03-01,135.66
2016-04-01,136.33
2016-05-01,136.90
2016-06-01,137.33
2016-07-01,137.01
2016-08-01,137.03
2016-09-01,137.33
2016-10-01,137.54
2016-11-01,137.25
2016-12-01,137.22
2017-01-01,138.04
2017-02-01,138.40
2017-03-01,138.46
2017-04-01,138.81
2017-05-01,138.92
2017-06-01,138.99
2017-07-01,138.82
2017-08-01,139.27
2017-09-01,140.12
2017-10-01,139.95
2017-11-01,139.95
2017-12-01,139.81
2018-01-01,140.54
2018-02-01,141.16
2018-03-01,141.48
2018-04-01,142.02
2018-05-01,142.56
