Date,WHLSLRIMNSA
1992-01-01,192050000000.00
1992-02-01,191913000000.00
1992-03-01,191112000000.00
1992-04-01,190734000000.00
1992-05-01,187881000000.00
1992-06-01,190430000000.00
1992-07-01,190818000000.00
1992-08-01,189098000000.00
1992-09-01,190099000000.00
1992-10-01,195109000000.00
1992-11-01,197245000000.00
1992-12-01,197793000000.00
1993-01-01,201184000000.00
1993-02-01,199589000000.00
1993-03-01,199312000000.00
1993-04-01,200598000000.00
1993-05-01,198107000000.00
1993-06-01,197118000000.00
1993-07-01,198500000000.00
1993-08-01,197901000000.00
1993-09-01,199397000000.00
1993-10-01,203564000000.00
1993-11-01,205161000000.00
1993-12-01,205815000000.00
1994-01-01,208811000000.00
1994-02-01,209004000000.00
1994-03-01,206179000000.00
1994-04-01,207610000000.00
1994-05-01,208651000000.00
1994-06-01,207155000000.00
1994-07-01,211125000000.00
1994-08-01,209742000000.00
1994-09-01,211506000000.00
1994-10-01,219651000000.00
1994-11-01,221505000000.00
1994-12-01,222826000000.00
1995-01-01,228346000000.00
1995-02-01,228535000000.00
1995-03-01,228999000000.00
1995-04-01,232309000000.00
1995-05-01,230423000000.00
1995-06-01,230411000000.00
1995-07-01,234602000000.00
1995-08-01,231513000000.00
1995-09-01,232735000000.00
1995-10-01,240026000000.00
1995-11-01,240240000000.00
1995-12-01,239275000000.00
1996-01-01,244457000000.00
1996-02-01,242337000000.00
1996-03-01,240010000000.00
1996-04-01,244254000000.00
1996-05-01,240520000000.00
1996-06-01,238076000000.00
1996-07-01,240877000000.00
1996-08-01,237489000000.00
1996-09-01,236402000000.00
1996-10-01,242824000000.00
1996-11-01,242781000000.00
1996-12-01,241396000000.00
1997-01-01,247376000000.00
1997-02-01,245892000000.00
1997-03-01,245647000000.00
1997-04-01,246824000000.00
1997-05-01,244939000000.00
1997-06-01,248157000000.00
1997-07-01,249197000000.00
1997-08-01,247140000000.00
1997-09-01,249692000000.00
1997-10-01,256466000000.00
1997-11-01,258341000000.00
1997-12-01,258900000000.00
1998-01-01,262681000000.00
1998-02-01,263903000000.00
1998-03-01,264171000000.00
