Date,PRMNTO01USQ661N
1955-01-01,20.16
1955-04-01,21.04
1955-07-01,20.81
1955-10-01,21.97
1956-01-01,21.83
1956-04-01,21.84
1956-07-01,21.16
1956-10-01,22.52
1957-01-01,22.57
1957-04-01,22.34
1957-07-01,21.98
1957-10-01,21.48
1958-01-01,19.98
1958-04-01,19.85
1958-07-01,20.55
1958-10-01,21.83
1959-01-01,22.70
1959-04-01,24.11
1959-07-01,22.70
1959-10-01,23.09
1960-01-01,24.37
1960-04-01,24.10
1960-07-01,23.14
1960-10-01,22.86
1961-01-01,22.15
1961-04-01,23.64
1961-07-01,23.86
1961-10-01,25.09
1962-01-01,25.18
1962-04-01,26.02
1962-07-01,25.66
1962-10-01,26.28
1963-01-01,26.52
1963-04-01,27.75
1963-07-01,27.03
1963-10-01,28.10
1964-01-01,28.30
1964-04-01,29.46
1964-07-01,29.00
1964-10-01,30.09
1965-01-01,31.25
1965-04-01,32.51
1965-07-01,32.13
1965-10-01,33.56
1966-01-01,34.35
1966-04-01,35.65
1966-07-01,35.06
1966-10-01,36.22
1967-01-01,35.57
1967-04-01,36.03
1967-07-01,35.47
1967-10-01,36.90
1968-01-01,37.16
1968-04-01,38.34
1968-07-01,37.68
1968-10-01,38.88
1969-01-01,39.25
1969-04-01,40.11
1969-07-01,39.66
1969-10-01,39.73
1970-01-01,38.22
1970-04-01,38.73
1970-07-01,37.74
1970-10-01,36.97
1971-01-01,37.55
1971-04-01,38.75
1971-07-01,38.22
1971-10-01,39.51
1972-01-01,40.57
1972-04-01,42.74
1972-07-01,42.24
1972-10-01,44.54
1973-01-01,44.99
1973-04-01,46.75
1973-07-01,46.06
1973-10-01,47.57
1974-01-01,46.17
1974-04-01,47.39
1974-07-01,46.42
1974-10-01,45.03
1975-01-01,40.35
1975-04-01,40.91
1975-07-01,41.34
1975-10-01,42.88
1976-01-01,43.51
1976-04-01,45.45
1976-07-01,45.10
1976-10-01,46.38
1977-01-01,46.78
1977-04-01,49.81
1977-07-01,49.16
1977-10-01,50.20
1978-01-01,49.54
1978-04-01,52.81
1978-07-01,51.87
1978-10-01,53.61
1979-01-01,53.16
1979-04-01,54.25
1979-07-01,53.13
1979-10-01,53.65
1980-01-01,53.14
1980-04-01,51.50
1980-07-01,49.68
1980-10-01,52.22
1981-01-01,51.83
1981-04-01,53.21
1981-07-01,52.28
1981-10-01,51.33
1982-01-01,49.62
1982-04-01,50.25
1982-07-01,49.14
1982-10-01,48.27
1983-01-01,48.94
1983-04-01,51.38
1983-07-01,52.38
1983-10-01,54.01
1984-01-01,55.38
1984-04-01,57.31
1984-07-01,56.91
1984-10-01,57.33
1985-01-01,57.10
1985-04-01,58.20
1985-07-01,57.46
1985-10-01,57.84
1986-01-01,58.08
1986-04-01,59.31
1986-07-01,58.71
1986-10-01,59.58
1987-01-01,60.12
1987-04-01,62.09
1987-07-01,62.52
1987-10-01,64.35
1988-01-01,64.29
1988-04-01,66.11
1988-07-01,65.55
1988-10-01,66.32
1989-01-01,65.91
1989-04-01,67.00
1989-07-01,65.70
1989-10-01,65.79
1990-01-01,65.75
1990-04-01,67.33
1990-07-01,67.36
1990-10-01,66.08
1991-01-01,63.75
1991-04-01,65.48
1991-07-01,66.11
1991-10-01,66.11
1992-01-01,65.71
1992-04-01,68.09
1992-07-01,68.36
1992-10-01,69.03
1993-01-01,68.97
1993-04-01,70.36
1993-07-01,70.15
1993-10-01,71.33
1994-01-01,71.44
1994-04-01,74.25
1994-07-01,74.88
1994-10-01,76.82
1995-01-01,76.87
1995-04-01,77.96
1995-07-01,78.48
1995-10-01,79.21
1996-01-01,78.67
1996-04-01,81.69
1996-07-01,83.10
1996-10-01,84.45
1997-01-01,85.27
1997-04-01,88.01
1997-07-01,89.26
1997-10-01,92.92
1998-01-01,93.11
1998-04-01,94.21
1998-07-01,94.52
1998-10-01,97.28
1999-01-01,97.39
1999-04-01,99.50
1999-07-01,99.26
1999-10-01,102.27
2000-01-01,102.26
2000-04-01,104.76
2000-07-01,103.74
2000-10-01,103.93
2001-01-01,101.19
2001-04-01,100.98
2001-07-01,99.12
2001-10-01,98.26
2002-01-01,98.06
2002-04-01,101.37
2002-07-01,101.09
2002-10-01,101.05
2003-01-01,100.67
2003-04-01,101.83
2003-07-01,101.54
2003-10-01,102.87
2004-01-01,102.43
2004-04-01,105.06
2004-07-01,105.47
2004-10-01,106.72
2005-01-01,107.05
2005-04-01,110.05
2005-07-01,109.29
2005-10-01,110.45
2006-01-01,110.13
2006-04-01,112.43
2006-07-01,112.81
2006-10-01,112.64
2007-01-01,112.12
2007-04-01,116.13
2007-07-01,116.27
2007-10-01,115.85
2008-01-01,113.26
2008-04-01,113.57
2008-07-01,109.38
2008-10-01,102.21
2009-01-01,93.83
2009-04-01,92.95
2009-07-01,95.08
2009-10-01,96.10
2010-01-01,96.51
2010-04-01,100.83
2010-07-01,101.51
2010-10-01,101.15
2011-01-01,100.94
2011-04-01,102.79
2011-07-01,103.88
2011-10-01,104.06
2012-01-01,104.45
2012-04-01,106.38
2012-07-01,106.03
2012-10-01,105.46
2013-01-01,105.16
2013-04-01,107.31
2013-07-01,107.04
2013-10-01,106.60
2014-01-01,105.62
2014-04-01,108.62
2014-07-01,108.61
2014-10-01,108.10
2015-01-01,106.39
2015-04-01,108.08
2015-07-01,107.61
2015-10-01,106.54
2016-01-01,105.26
2016-04-01,106.96
2016-07-01,106.47
2016-10-01,106.48
2017-01-01,105.94
2017-04-01,108.28
2017-07-01,107.63
2017-10-01,108.52
2018-01-01,107.81
