Date,U35AUO
1992-01-01,1240000000.00
1992-02-01,1242000000.00
1992-03-01,1225000000.00
1992-04-01,1259000000.00
1992-05-01,1260000000.00
1992-06-01,1225000000.00
1992-07-01,1220000000.00
1992-08-01,1193000000.00
1992-09-01,1161000000.00
1992-10-01,1146000000.00
1992-11-01,1138000000.00
1992-12-01,1157000000.00
1993-01-01,1170000000.00
1993-02-01,1151000000.00
1993-03-01,1140000000.00
1993-04-01,1132000000.00
1993-05-01,1169000000.00
1993-06-01,1141000000.00
1993-07-01,1168000000.00
1993-08-01,1143000000.00
1993-09-01,1140000000.00
1993-10-01,1133000000.00
1993-11-01,1162000000.00
1993-12-01,1172000000.00
1994-01-01,1182000000.00
1994-02-01,1162000000.00
1994-03-01,1160000000.00
1994-04-01,1168000000.00
1994-05-01,1202000000.00
1994-06-01,1243000000.00
1994-07-01,1276000000.00
1994-08-01,1248000000.00
1994-09-01,1259000000.00
1994-10-01,1272000000.00
1994-11-01,1255000000.00
1994-12-01,1276000000.00
1995-01-01,1317000000.00
1995-02-01,1309000000.00
1995-03-01,1301000000.00
1995-04-01,1331000000.00
1995-05-01,1368000000.00
1995-06-01,1350000000.00
1995-07-01,1363000000.00
1995-08-01,1403000000.00
1995-09-01,1348000000.00
1995-10-01,1303000000.00
1995-11-01,1251000000.00
1995-12-01,1295000000.00
1996-01-01,1355000000.00
1996-02-01,1330000000.00
1996-03-01,1326000000.00
1996-04-01,1312000000.00
1996-05-01,1311000000.00
1996-06-01,1326000000.00
1996-07-01,1364000000.00
1996-08-01,1382000000.00
1996-09-01,1360000000.00
1996-10-01,1383000000.00
1996-11-01,1356000000.00
1996-12-01,1408000000.00
1997-01-01,1445000000.00
1997-02-01,1370000000.00
1997-03-01,1300000000.00
1997-04-01,1340000000.00
1997-05-01,1329000000.00
1997-06-01,1305000000.00
1997-07-01,1387000000.00
1997-08-01,1438000000.00
1997-09-01,1371000000.00
1997-10-01,1489000000.00
1997-11-01,1469000000.00
1997-12-01,1489000000.00
1998-01-01,1482000000.00
1998-02-01,1575000000.00
1998-03-01,1557000000.00
1998-04-01,1584000000.00
1998-05-01,1610000000.00
1998-06-01,1606000000.00
1998-07-01,1595000000.00
1998-08-01,1570000000.00
1998-09-01,1488000000.00
1998-10-01,1499000000.00
1998-11-01,1462000000.00
1998-12-01,1527000000.00
1999-01-01,1561000000.00
1999-02-01,1571000000.00
1999-03-01,1552000000.00
1999-04-01,1583000000.00
1999-05-01,1551000000.00
1999-06-01,1627000000.00
1999-07-01,1669000000.00
1999-08-01,1637000000.00
1999-09-01,1543000000.00
1999-10-01,1549000000.00
1999-11-01,1486000000.00
1999-12-01,1480000000.00
2000-01-01,1516000000.00
2000-02-01,1531000000.00
2000-03-01,1473000000.00
2000-04-01,1499000000.00
2000-05-01,1536000000.00
2000-06-01,1478000000.00
2000-07-01,1518000000.00
2000-08-01,1482000000.00
2000-09-01,1382000000.00
2000-10-01,1402000000.00
2000-11-01,1359000000.00
2000-12-01,1424000000.00
2001-01-01,1419000000.00
2001-02-01,1417000000.00
2001-03-01,1405000000.00
2001-04-01,1371000000.00
2001-05-01,1432000000.00
2001-06-01,1449000000.00
2001-07-01,1463000000.00
2001-08-01,1487000000.00
2001-09-01,1316000000.00
2001-10-01,1296000000.00
2001-11-01,1242000000.00
2001-12-01,1227000000.00
2002-01-01,1219000000.00
2002-02-01,1204000000.00
2002-03-01,1178000000.00
2002-04-01,1215000000.00
2002-05-01,1285000000.00
2002-06-01,1263000000.00
2002-07-01,1285000000.00
2002-08-01,1297000000.00
2002-09-01,1415000000.00
2002-10-01,1384000000.00
2002-11-01,1313000000.00
2002-12-01,1269000000.00
2003-01-01,1322000000.00
2003-02-01,1308000000.00
2003-03-01,1268000000.00
2003-04-01,1180000000.00
2003-05-01,1160000000.00
2003-06-01,1183000000.00
2003-07-01,1143000000.00
2003-08-01,1264000000.00
2003-09-01,1209000000.00
2003-10-01,1106000000.00
2003-11-01,1022000000.00
2003-12-01,934000000.00
2004-01-01,900000000.00
2004-02-01,946000000.00
2004-03-01,993000000.00
2004-04-01,1178000000.00
2004-05-01,1278000000.00
2004-06-01,1122000000.00
2004-07-01,1029000000.00
