Date,HOHWMN02USM065N
1970-02-01,39.80
1970-03-01,40.00
1970-04-01,39.70
1970-05-01,39.80
1970-06-01,40.10
1970-07-01,39.90
1970-08-01,39.80
1970-09-01,39.60
1970-10-01,39.60
1970-11-01,39.70
1970-12-01,39.90
1971-01-01,39.50
1971-02-01,39.30
1971-03-01,39.70
1971-04-01,39.50
1971-05-01,39.90
1971-06-01,40.20
1971-07-01,39.80
1971-08-01,39.80
1971-09-01,39.80
1971-10-01,40.00
1971-11-01,40.20
1971-12-01,40.60
1972-01-01,39.80
1972-02-01,40.00
1972-03-01,40.30
1972-04-01,40.50
1972-05-01,40.50
1972-06-01,40.90
1972-07-01,40.40
1972-08-01,40.60
1972-09-01,40.90
1972-10-01,40.80
1972-11-01,40.90
1972-12-01,41.10
1973-01-01,40.00
1973-02-01,40.50
1973-03-01,40.70
1973-04-01,40.70
1973-05-01,40.70
1973-06-01,40.90
1973-07-01,40.60
1973-08-01,40.50
1973-09-01,41.00
1973-10-01,40.70
1973-11-01,40.80
1973-12-01,41.20
1974-01-01,40.00
1974-02-01,40.10
1974-03-01,40.20
1974-04-01,39.10
1974-05-01,40.30
1974-06-01,40.40
1974-07-01,40.00
1974-08-01,40.10
1974-09-01,40.30
1974-10-01,40.10
1974-11-01,39.70
1974-12-01,39.90
1975-01-01,38.80
1975-02-01,38.60
1975-03-01,38.60
1975-04-01,38.90
1975-05-01,39.00
1975-06-01,39.50
1975-07-01,39.20
1975-08-01,39.70
1975-09-01,40.20
1975-10-01,40.00
1975-11-01,40.10
1975-12-01,40.80
1976-01-01,39.90
1976-02-01,40.00
1976-03-01,40.10
1976-04-01,39.20
1976-05-01,40.30
1976-06-01,40.50
1976-07-01,40.10
1976-08-01,40.10
1976-09-01,40.10
1976-10-01,40.00
1976-11-01,40.30
1976-12-01,40.60
1977-01-01,39.10
1977-02-01,39.90
1977-03-01,40.20
1977-04-01,40.00
1977-05-01,40.40
1977-06-01,40.80
1977-07-01,40.10
1977-08-01,40.30
1977-09-01,40.60
1977-10-01,40.60
1977-11-01,40.70
1977-12-01,41.10
1978-01-01,39.10
1978-02-01,39.60
1978-03-01,40.40
1978-04-01,40.50
1978-05-01,40.30
1978-06-01,40.70
1978-07-01,40.30
1978-08-01,40.40
1978-09-01,40.70
1978-10-01,40.60
1978-11-01,40.80
1978-12-01,41.40
1979-01-01,40.10
1979-02-01,40.20
1979-03-01,40.60
1979-04-01,38.90
1979-05-01,40.10
1979-06-01,40.40
1979-07-01,40.00
1979-08-01,40.00
1979-09-01,40.30
1979-10-01,40.20
1979-11-01,40.30
1979-12-01,40.90
1980-01-01,39.80
1980-02-01,39.70
1980-03-01,39.80
1980-04-01,39.40
1980-05-01,39.20
1980-06-01,39.30
1980-07-01,38.80
1980-08-01,39.30
1980-09-01,39.70
1980-10-01,39.80
1980-11-01,40.10
1980-12-01,40.80
1981-01-01,39.90
1981-02-01,39.40
1981-03-01,39.90
1981-04-01,39.70
1981-05-01,40.10
1981-06-01,40.10
1981-07-01,39.60
1981-08-01,39.80
1981-09-01,39.50
1981-10-01,39.60
1981-11-01,39.60
1981-12-01,39.90
1982-01-01,37.10
1982-02-01,39.20
1982-03-01,39.00
1982-04-01,38.70
1982-05-01,39.00
1982-06-01,39.30
1982-07-01,38.90
1982-08-01,38.90
1982-09-01,38.80
1982-10-01,38.90
1982-11-01,39.20
1982-12-01,39.70
1983-01-01,39.20
1983-02-01,38.80
1983-03-01,39.60
1983-04-01,39.80
1983-05-01,39.90
1983-06-01,40.30
1983-07-01,39.90
1983-08-01,40.20
1983-09-01,40.80
1983-10-01,40.70
1983-11-01,40.80
1983-12-01,41.20
1984-01-01,40.50
1984-02-01,40.60
1984-03-01,40.60
1984-04-01,40.80
1984-05-01,40.60
1984-06-01,40.80
1984-07-01,40.30
1984-08-01,40.40
1984-09-01,40.70
1984-10-01,40.50
1984-11-01,40.60
1984-12-01,41.20
1985-01-01,40.30
1985-02-01,39.70
1985-03-01,40.40
1985-04-01,40.10
1985-05-01,40.30
1985-06-01,40.60
1985-07-01,40.00
1985-08-01,40.40
1985-09-01,40.80
1985-10-01,40.70
1985-11-01,40.90
1985-12-01,41.60
1986-01-01,40.70
1986-02-01,40.20
1986-03-01,40.70
1986-04-01,40.50
1986-05-01,40.60
1986-06-01,40.80
1986-07-01,40.10
1986-08-01,40.60
1986-09-01,40.90
1986-10-01,40.70
1986-11-01,41.00
1986-12-01,41.50
1987-01-01,40.70
1987-02-01,40.80
1987-03-01,40.90
1987-04-01,40.40
1987-05-01,40.90
1987-06-01,41.00
1987-07-01,40.60
1987-08-01,40.90
1987-09-01,40.70
1987-10-01,41.20
1987-11-01,41.30
1987-12-01,41.80
1988-01-01,40.90
1988-02-01,40.70
1988-03-01,40.90
1988-04-01,40.90
1988-05-01,40.90
1988-06-01,41.20
1988-07-01,40.60
1988-08-01,40.80
1988-09-01,41.30
1988-10-01,41.30
1988-11-01,41.40
1988-12-01,41.60
1989-01-01,41.00
1989-02-01,40.70
1989-03-01,40.90
1989-04-01,41.00
1989-05-01,40.90
1989-06-01,41.10
1989-07-01,40.50
1989-08-01,40.80
1989-09-01,41.10
1989-10-01,40.90
1989-11-01,41.00
1989-12-01,41.20
1990-01-01,40.30
1990-02-01,40.20
1990-03-01,40.50
1990-04-01,39.50
1990-05-01,40.60
1990-06-01,40.80
1990-07-01,40.20
1990-08-01,40.50
1990-09-01,41.00
1990-10-01,40.60
1990-11-01,40.50
1990-12-01,41.00
1991-01-01,40.00
1991-02-01,39.70
1991-03-01,39.80
1991-04-01,39.90
1991-05-01,40.00
1991-06-01,40.60
1991-07-01,40.10
1991-08-01,40.60
1991-09-01,41.00
1991-10-01,40.80
1991-11-01,41.00
1991-12-01,41.40
1992-01-01,40.30
1992-02-01,40.40
1992-03-01,40.60
1992-04-01,40.10
1992-05-01,40.80
1992-06-01,40.90
1992-07-01,40.40
1992-08-01,40.80
1992-09-01,40.60
1992-10-01,41.00
1992-11-01,41.30
1992-12-01,41.60
1993-01-01,40.90
1993-02-01,40.80
1993-03-01,40.60
1993-04-01,40.60
1993-05-01,41.00
1993-06-01,41.10
1993-07-01,40.70
1993-08-01,41.10
1993-09-01,41.20
1993-10-01,41.50
1993-11-01,41.70
1993-12-01,42.10
1994-01-01,41.30
1994-02-01,40.60
1994-03-01,41.60
1994-04-01,41.70
1994-05-01,41.70
1994-06-01,41.80
1994-07-01,41.20
1994-08-01,41.70
1994-09-01,42.00
1994-10-01,42.00
1994-11-01,42.20
1994-12-01,42.60
1995-01-01,41.70
1995-02-01,41.40
1995-03-01,41.40
1995-04-01,40.10
1995-05-01,41.10
1995-06-01,41.30
1995-07-01,40.50
1995-08-01,41.20
1995-09-01,41.70
1995-10-01,41.40
1995-11-01,41.60
1995-12-01,41.70
1996-01-01,39.60
1996-02-01,41.00
1996-03-01,41.00
1996-04-01,40.90
1996-05-01,41.30
1996-06-01,41.60
1996-07-01,40.80
1996-08-01,41.50
1996-09-01,42.00
1996-10-01,41.60
1996-11-01,41.80
1996-12-01,42.50
1997-01-01,41.20
1997-02-01,41.40
1997-03-01,41.70
1997-04-01,41.50
1997-05-01,41.60
1997-06-01,41.70
1997-07-01,41.00
1997-08-01,41.70
1997-09-01,42.10
1997-10-01,41.90
1997-11-01,42.30
1997-12-01,42.80
1998-01-01,41.60
1998-02-01,41.50
1998-03-01,41.50
1998-04-01,40.50
1998-05-01,41.50
1998-06-01,41.50
1998-07-01,40.80
1998-08-01,41.40
1998-09-01,41.10
1998-10-01,41.60
1998-11-01,41.80
1998-12-01,42.30
1999-01-01,41.00
1999-02-01,41.10
1999-03-01,41.20
1999-04-01,41.30
1999-05-01,41.40
1999-06-01,41.50
1999-07-01,40.90
1999-08-01,41.50
1999-09-01,41.30
1999-10-01,41.60
1999-11-01,41.80
1999-12-01,42.10
2000-01-01,41.30
2000-02-01,41.30
2000-03-01,41.30
2000-04-01,41.50
2000-05-01,41.20
2000-06-01,41.50
2000-07-01,41.00
2000-08-01,41.10
2000-09-01,41.50
2000-10-01,41.30
2000-11-01,41.30
2000-12-01,41.00
2001-01-01,40.50
2001-02-01,40.20
2001-03-01,40.40
2001-04-01,39.60
2001-05-01,40.40
2001-06-01,40.50
2001-07-01,40.10
2001-08-01,40.40
2001-09-01,40.50
2001-10-01,40.20
2001-11-01,40.30
2001-12-01,40.90
2002-01-01,40.00
2002-02-01,39.90
2002-03-01,40.40
2002-04-01,40.40
2002-05-01,40.50
2002-06-01,40.90
2002-07-01,39.90
2002-08-01,40.50
2002-09-01,40.80
2002-10-01,40.50
2002-11-01,40.60
2002-12-01,41.10
2003-01-01,40.10
2003-02-01,40.10
2003-03-01,40.30
2003-04-01,39.90
2003-05-01,40.20
2003-06-01,40.50
2003-07-01,39.60
2003-08-01,40.20
2003-09-01,40.80
2003-10-01,40.70
2003-11-01,41.20
2003-12-01,41.30
2004-01-01,40.70
2004-02-01,40.80
2004-03-01,40.80
2004-04-01,40.60
2004-05-01,41.10
2004-06-01,41.00
2004-07-01,40.30
2004-08-01,40.90
2004-09-01,40.60
2004-10-01,40.70
2004-11-01,40.80
2004-12-01,41.20
2005-01-01,40.60
2005-02-01,40.40
2005-03-01,40.40
2005-04-01,40.30
2005-05-01,40.40
2005-06-01,40.50
2005-07-01,39.90
2005-08-01,40.60
2005-09-01,41.10
2005-10-01,41.20
2005-11-01,41.20
2005-12-01,41.40
2006-01-01,40.90
2006-02-01,40.70
2006-03-01,41.00
2006-04-01,40.40
2006-05-01,41.10
2006-06-01,41.30
2006-07-01,40.90
2006-08-01,41.30
2006-09-01,41.40
2006-10-01,41.30
2006-11-01,41.20
2006-12-01,41.70
2007-01-01,40.80
2007-02-01,40.50
2007-03-01,41.10
2007-04-01,41.00
2007-05-01,41.10
2007-06-01,41.50
2007-07-01,40.90
2007-08-01,41.50
2007-09-01,41.70
2007-10-01,41.40
2007-11-01,41.50
2007-12-01,41.60
2008-01-01,40.90
2008-02-01,40.70
2008-03-01,41.10
2008-04-01,41.00
2008-05-01,40.90
2008-06-01,41.20
2008-07-01,40.60
2008-08-01,41.00
2008-09-01,40.90
2008-10-01,40.70
2008-11-01,40.50
2008-12-01,40.30
2009-01-01,39.50
2009-02-01,39.20
2009-03-01,39.20
2009-04-01,38.90
2009-05-01,39.30
2009-06-01,39.70
2009-07-01,39.60
2009-08-01,40.20
2009-09-01,40.00
2009-10-01,40.40
2009-11-01,40.80
2009-12-01,41.10
2010-01-01,40.60
2010-02-01,40.00
2010-03-01,40.90
2010-04-01,41.10
2010-05-01,41.40
2010-06-01,41.10
2010-07-01,40.80
2010-08-01,41.30
2010-09-01,41.30
2010-10-01,41.50
2010-11-01,41.60
2010-12-01,41.80
2011-01-01,40.80
2011-02-01,41.00
2011-03-01,41.30
2011-04-01,41.30
2011-05-01,41.50
2011-06-01,41.50
2011-07-01,41.10
2011-08-01,41.50
2011-09-01,41.70
2011-10-01,41.70
2011-11-01,41.80
2011-12-01,42.00
2012-01-01,41.50
2012-02-01,41.40
2012-03-01,41.50
2012-04-01,41.60
2012-05-01,41.60
2012-06-01,41.80
2012-07-01,41.30
2012-08-01,41.60
2012-09-01,41.80
2012-10-01,41.60
2012-11-01,41.80
2012-12-01,42.30
2013-01-01,41.40
2013-02-01,41.50
2013-03-01,41.80
2013-04-01,41.70
2013-05-01,41.60
2013-06-01,42.00
2013-07-01,41.30
2013-08-01,42.00
2013-09-01,42.10
2013-10-01,42.00
2013-11-01,42.20
2013-12-01,42.50
2014-01-01,41.40
2014-02-01,41.20
2014-03-01,41.90
2014-04-01,41.80
2014-05-01,42.10
2014-06-01,42.30
2014-07-01,41.60
2014-08-01,42.10
2014-09-01,42.40
2014-10-01,42.20
2014-11-01,42.50
2014-12-01,42.70
2015-01-01,41.80
2015-02-01,41.50
2015-03-01,41.70
2015-04-01,41.70
2015-05-01,41.80
2015-06-01,41.90
2015-07-01,41.40
2015-08-01,41.90
2015-09-01,41.60
2015-10-01,41.90
2015-11-01,42.10
2015-12-01,42.30
2016-01-01,41.70
2016-02-01,41.30
2016-03-01,41.60
2016-04-01,41.70
2016-05-01,41.90
2016-06-01,41.90
2016-07-01,41.70
2016-08-01,41.90
2016-09-01,42.10
2016-10-01,42.20
2016-11-01,42.20
2016-12-01,42.30
2017-01-01,41.70
2017-02-01,41.60
2017-03-01,41.60
2017-04-01,41.30
2017-05-01,41.90
2017-06-01,42.10
2017-07-01,41.70
2017-08-01,42.10
2017-09-01,42.10
2017-10-01,42.20
2017-11-01,42.30
2017-12-01,42.40
2018-01-01,41.60
2018-02-01,42.00
2018-03-01,42.00
2018-04-01,42.30
2018-05-01,42.20
