Date,HOHWMN02USM065N
1960-01-01,40.30
1960-02-01,39.90
1960-03-01,39.70
1960-04-01,39.50
1960-05-01,40.10
1960-06-01,40.20
1960-07-01,39.90
1960-08-01,39.90
1960-09-01,39.70
1960-10-01,39.80
1960-11-01,39.40
1960-12-01,38.70
1961-01-01,39.00
1961-02-01,39.00
1961-03-01,39.20
1961-04-01,39.40
1961-05-01,39.80
1961-06-01,40.20
1961-07-01,40.10
1961-08-01,40.30
1961-09-01,39.80
1961-10-01,40.40
1961-11-01,40.70
1961-12-01,40.70
1962-01-01,39.80
1962-02-01,40.10
1962-03-01,40.40
1962-04-01,40.50
1962-05-01,40.60
1962-06-01,40.80
1962-07-01,40.50
1962-08-01,40.50
1962-09-01,40.70
1962-10-01,40.50
1962-11-01,40.50
1962-12-01,40.60
1963-01-01,40.10
1963-02-01,40.10
1963-03-01,40.30
1963-04-01,40.00
1963-05-01,40.60
1963-06-01,41.00
1963-07-01,40.60
1963-08-01,40.60
1963-09-01,40.80
1963-10-01,40.80
1963-11-01,40.70
1963-12-01,41.00
1964-01-01,39.90
1964-02-01,40.40
1964-03-01,40.50
1964-04-01,40.60
1964-05-01,40.80
1964-06-01,41.00
1964-07-01,40.80
1964-08-01,41.00
1964-09-01,40.80
1964-10-01,40.80
1964-11-01,41.00
1964-12-01,41.50
1965-01-01,40.90
1965-02-01,41.00
1965-03-01,41.20
1965-04-01,40.80
1965-05-01,41.30
1965-06-01,41.40
1965-07-01,41.10
1965-08-01,41.10
1965-09-01,41.10
1965-10-01,41.40
1965-11-01,41.40
1965-12-01,41.70
1966-01-01,41.20
1966-02-01,41.40
1966-03-01,41.40
1966-04-01,41.30
1966-05-01,41.50
1966-06-01,41.60
1966-07-01,41.10
1966-08-01,41.40
1966-09-01,41.50
1966-10-01,41.50
1966-11-01,41.30
1966-12-01,41.30
1967-01-01,40.80
1967-02-01,40.10
1967-03-01,40.40
1967-04-01,40.20
1967-05-01,40.40
1967-06-01,40.60
1967-07-01,40.40
1967-08-01,40.70
1967-09-01,40.90
1967-10-01,40.80
1967-11-01,40.70
1967-12-01,41.10
1968-01-01,40.10
1968-02-01,40.50
1968-03-01,40.60
1968-04-01,39.80
1968-05-01,41.00
1968-06-01,41.10
1968-07-01,40.70
1968-08-01,40.70
1968-09-01,41.20
1968-10-01,41.10
1968-11-01,41.00
1968-12-01,41.10
1969-01-01,40.40
1969-02-01,40.00
1969-03-01,40.70
1969-04-01,40.50
1969-05-01,40.70
1969-06-01,40.90
1969-07-01,40.40
1969-08-01,40.60
1969-09-01,41.00
1969-10-01,40.70
1969-11-01,40.60
1969-12-01,41.00
1970-01-01,40.00
