Date,JTS1000LDL
2000-12-01,1803000.00
2001-01-01,2105000.00
2001-02-01,1757000.00
2001-03-01,2052000.00
2001-04-01,1835000.00
2001-05-01,1920000.00
2001-06-01,1804000.00
2001-07-01,1872000.00
2001-08-01,1757000.00
2001-09-01,1977000.00
2001-10-01,2138000.00
2001-11-01,2054000.00
2001-12-01,1795000.00
2002-01-01,1792000.00
2002-02-01,1889000.00
2002-03-01,1672000.00
2002-04-01,1805000.00
2002-05-01,1855000.00
2002-06-01,1738000.00
2002-07-01,1865000.00
2002-08-01,1743000.00
2002-09-01,1774000.00
2002-10-01,1760000.00
2002-11-01,1804000.00
2002-12-01,1874000.00
2003-01-01,1905000.00
2003-02-01,1871000.00
2003-03-01,1724000.00
2003-04-01,1890000.00
2003-05-01,1858000.00
2003-06-01,1962000.00
2003-07-01,1916000.00
2003-08-01,1880000.00
2003-09-01,1810000.00
2003-10-01,1811000.00
2003-11-01,1724000.00
2003-12-01,1825000.00
2004-01-01,1860000.00
2004-02-01,1740000.00
2004-03-01,1829000.00
2004-04-01,1809000.00
2004-05-01,1753000.00
2004-06-01,1743000.00
2004-07-01,1711000.00
2004-08-01,1840000.00
2004-09-01,1745000.00
2004-10-01,1650000.00
2004-11-01,1823000.00
2004-12-01,1837000.00
2005-01-01,1852000.00
2005-02-01,1877000.00
2005-03-01,1833000.00
2005-04-01,1738000.00
2005-05-01,1775000.00
2005-06-01,1855000.00
2005-07-01,1731000.00
2005-08-01,1775000.00
2005-09-01,1793000.00
2005-10-01,1565000.00
2005-11-01,1584000.00
2005-12-01,1615000.00
2006-01-01,1562000.00
2006-02-01,1564000.00
2006-03-01,1532000.00
2006-04-01,1689000.00
2006-05-01,1778000.00
2006-06-01,1554000.00
2006-07-01,1656000.00
2006-08-01,1525000.00
2006-09-01,1603000.00
2006-10-01,1719000.00
2006-11-01,1765000.00
2006-12-01,1629000.00
2007-01-01,1647000.00
2007-02-01,1648000.00
2007-03-01,1702000.00
2007-04-01,1777000.00
2007-05-01,1649000.00
2007-06-01,1742000.00
2007-07-01,1608000.00
2007-08-01,1702000.00
2007-09-01,1981000.00
2007-10-01,1817000.00
2007-11-01,1831000.00
2007-12-01,1660000.00
2008-01-01,1750000.00
2008-02-01,1825000.00
2008-03-01,1734000.00
2008-04-01,1752000.00
2008-05-01,1750000.00
2008-06-01,1879000.00
2008-07-01,1812000.00
2008-08-01,1981000.00
2008-09-01,1872000.00
2008-10-01,2033000.00
2008-11-01,2086000.00
2008-12-01,2304000.00
2009-01-01,2430000.00
2009-02-01,2372000.00
2009-03-01,2329000.00
2009-04-01,2440000.00
2009-05-01,1956000.00
2009-06-01,1947000.00
2009-07-01,2141000.00
2009-08-01,1949000.00
2009-09-01,1977000.00
2009-10-01,1870000.00
2009-11-01,1712000.00
2009-12-01,1871000.00
2010-01-01,1750000.00
2010-02-01,1679000.00
2010-03-01,1714000.00
2010-04-01,1553000.00
2010-05-01,1585000.00
2010-06-01,1611000.00
2010-07-01,1819000.00
2010-08-01,1511000.00
2010-09-01,1572000.00
2010-10-01,1544000.00
2010-11-01,1610000.00
2010-12-01,1650000.00
2011-01-01,1615000.00
2011-02-01,1551000.00
2011-03-01,1601000.00
2011-04-01,1538000.00
2011-05-01,1581000.00
2011-06-01,1720000.00
2011-07-01,1631000.00
2011-08-01,1593000.00
2011-09-01,1641000.00
2011-10-01,1613000.00
2011-11-01,1646000.00
2011-12-01,1625000.00
2012-01-01,1619000.00
2012-02-01,1669000.00
2012-03-01,1558000.00
2012-04-01,1732000.00
2012-05-01,1722000.00
2012-06-01,1711000.00
2012-07-01,1561000.00
2012-08-01,1727000.00
2012-09-01,1656000.00
2012-10-01,1687000.00
2012-11-01,1693000.00
2012-12-01,1508000.00
2013-01-01,1508000.00
2013-02-01,1505000.00
2013-03-01,1589000.00
2013-04-01,1623000.00
2013-05-01,1628000.00
2013-06-01,1549000.00
2013-07-01,1556000.00
2013-08-01,1634000.00
2013-09-01,1660000.00
2013-10-01,1445000.00
2013-11-01,1466000.00
2013-12-01,1594000.00
2014-01-01,1634000.00
2014-02-01,1579000.00
2014-03-01,1535000.00
2014-04-01,1588000.00
2014-05-01,1558000.00
2014-06-01,1593000.00
2014-07-01,1741000.00
2014-08-01,1595000.00
2014-09-01,1577000.00
2014-10-01,1695000.00
2014-11-01,1584000.00
2014-12-01,1643000.00
2015-01-01,1620000.00
2015-02-01,1580000.00
2015-03-01,1796000.00
2015-04-01,1686000.00
2015-05-01,1549000.00
2015-06-01,1675000.00
2015-07-01,1568000.00
2015-08-01,1578000.00
2015-09-01,1765000.00
2015-10-01,1635000.00
2015-11-01,1578000.00
2015-12-01,1634000.00
2016-01-01,1605000.00
2016-02-01,1736000.00
2016-03-01,1636000.00
2016-04-01,1614000.00
2016-05-01,1634000.00
2016-06-01,1519000.00
2016-07-01,1507000.00
2016-08-01,1542000.00
2016-09-01,1419000.00
2016-10-01,1510000.00
2016-11-01,1578000.00
2016-12-01,1588000.00
2017-01-01,1553000.00
2017-02-01,1538000.00
2017-03-01,1590000.00
2017-04-01,1579000.00
2017-05-01,1580000.00
2017-06-01,1668000.00
2017-07-01,1695000.00
2017-08-01,1686000.00
2017-09-01,1658000.00
2017-10-01,1595000.00
2017-11-01,1627000.00
2017-12-01,1534000.00
2018-01-01,1677000.00
2018-02-01,1516000.00
2018-03-01,1448000.00
2018-04-01,1609000.00
