Date,JTS7000TSL
2000-12-01,877000.00
2001-01-01,995000.00
2001-02-01,867000.00
2001-03-01,953000.00
2001-04-01,995000.00
2001-05-01,914000.00
2001-06-01,871000.00
2001-07-01,929000.00
2001-08-01,877000.00
2001-09-01,962000.00
2001-10-01,912000.00
2001-11-01,847000.00
2001-12-01,784000.00
2002-01-01,798000.00
2002-02-01,892000.00
2002-03-01,762000.00
2002-04-01,862000.00
2002-05-01,774000.00
2002-06-01,801000.00
2002-07-01,817000.00
2002-08-01,821000.00
2002-09-01,768000.00
2002-10-01,741000.00
2002-11-01,767000.00
2002-12-01,792000.00
2003-01-01,832000.00
2003-02-01,809000.00
2003-03-01,760000.00
2003-04-01,832000.00
2003-05-01,848000.00
2003-06-01,777000.00
2003-07-01,756000.00
2003-08-01,783000.00
2003-09-01,790000.00
2003-10-01,793000.00
2003-11-01,803000.00
2003-12-01,813000.00
2004-01-01,817000.00
2004-02-01,774000.00
2004-03-01,841000.00
2004-04-01,832000.00
2004-05-01,834000.00
2004-06-01,848000.00
2004-07-01,846000.00
2004-08-01,886000.00
2004-09-01,819000.00
2004-10-01,845000.00
2004-11-01,838000.00
2004-12-01,825000.00
2005-01-01,892000.00
2005-02-01,806000.00
2005-03-01,824000.00
2005-04-01,790000.00
2005-05-01,889000.00
2005-06-01,904000.00
2005-07-01,863000.00
2005-08-01,879000.00
2005-09-01,948000.00
2005-10-01,923000.00
2005-11-01,912000.00
2005-12-01,877000.00
2006-01-01,929000.00
2006-02-01,963000.00
2006-03-01,907000.00
2006-04-01,823000.00
2006-05-01,871000.00
2006-06-01,901000.00
2006-07-01,871000.00
2006-08-01,860000.00
2006-09-01,850000.00
2006-10-01,897000.00
2006-11-01,945000.00
2006-12-01,937000.00
2007-01-01,895000.00
2007-02-01,936000.00
2007-03-01,901000.00
2007-04-01,933000.00
2007-05-01,901000.00
2007-06-01,945000.00
2007-07-01,894000.00
2007-08-01,882000.00
2007-09-01,861000.00
2007-10-01,901000.00
2007-11-01,896000.00
2007-12-01,895000.00
2008-01-01,895000.00
2008-02-01,959000.00
2008-03-01,842000.00
2008-04-01,843000.00
2008-05-01,897000.00
2008-06-01,826000.00
2008-07-01,807000.00
2008-08-01,805000.00
2008-09-01,825000.00
2008-10-01,803000.00
2008-11-01,731000.00
2008-12-01,736000.00
2009-01-01,728000.00
2009-02-01,728000.00
2009-03-01,695000.00
2009-04-01,700000.00
2009-05-01,645000.00
2009-06-01,684000.00
2009-07-01,670000.00
2009-08-01,696000.00
2009-09-01,609000.00
2009-10-01,639000.00
2009-11-01,665000.00
2009-12-01,643000.00
2010-01-01,663000.00
2010-02-01,602000.00
2010-03-01,633000.00
2010-04-01,618000.00
2010-05-01,633000.00
2010-06-01,649000.00
2010-07-01,688000.00
2010-08-01,631000.00
2010-09-01,620000.00
2010-10-01,649000.00
2010-11-01,610000.00
2010-12-01,593000.00
2011-01-01,634000.00
2011-02-01,601000.00
2011-03-01,685000.00
2011-04-01,631000.00
2011-05-01,683000.00
2011-06-01,684000.00
2011-07-01,707000.00
2011-08-01,708000.00
2011-09-01,731000.00
2011-10-01,667000.00
2011-11-01,704000.00
2011-12-01,684000.00
2012-01-01,714000.00
2012-02-01,710000.00
2012-03-01,755000.00
2012-04-01,739000.00
2012-05-01,751000.00
2012-06-01,712000.00
2012-07-01,713000.00
2012-08-01,723000.00
2012-09-01,683000.00
2012-10-01,741000.00
2012-11-01,697000.00
2012-12-01,700000.00
2013-01-01,743000.00
2013-02-01,734000.00
2013-03-01,747000.00
2013-04-01,830000.00
2013-05-01,759000.00
2013-06-01,739000.00
2013-07-01,749000.00
2013-08-01,729000.00
2013-09-01,823000.00
2013-10-01,765000.00
2013-11-01,727000.00
2013-12-01,754000.00
2014-01-01,794000.00
2014-02-01,843000.00
2014-03-01,775000.00
2014-04-01,815000.00
2014-05-01,830000.00
2014-06-01,848000.00
2014-07-01,874000.00
2014-08-01,828000.00
2014-09-01,877000.00
2014-10-01,880000.00
2014-11-01,860000.00
2014-12-01,877000.00
2015-01-01,875000.00
2015-02-01,859000.00
2015-03-01,924000.00
2015-04-01,949000.00
2015-05-01,886000.00
2015-06-01,914000.00
2015-07-01,898000.00
2015-08-01,964000.00
2015-09-01,942000.00
2015-10-01,961000.00
2015-11-01,919000.00
2015-12-01,990000.00
2016-01-01,897000.00
2016-02-01,1000000.00
2016-03-01,969000.00
2016-04-01,990000.00
2016-05-01,990000.00
2016-06-01,978000.00
2016-07-01,995000.00
2016-08-01,993000.00
2016-09-01,932000.00
2016-10-01,986000.00
2016-11-01,992000.00
2016-12-01,998000.00
2017-01-01,954000.00
2017-02-01,965000.00
2017-03-01,992000.00
2017-04-01,969000.00
2017-05-01,961000.00
2017-06-01,990000.00
2017-07-01,1008000.00
2017-08-01,1005000.00
2017-09-01,1039000.00
2017-10-01,968000.00
2017-11-01,992000.00
2017-12-01,981000.00
2018-01-01,988000.00
2018-02-01,984000.00
2018-03-01,973000.00
2018-04-01,1031000.00
