Date,U34KTI
1992-01-01,8334000000.00
1992-02-01,8526000000.00
1992-03-01,8353000000.00
1992-04-01,8460000000.00
1992-05-01,8557000000.00
1992-06-01,8410000000.00
1992-07-01,8488000000.00
1992-08-01,8526000000.00
1992-09-01,8542000000.00
1992-10-01,8527000000.00
1992-11-01,8388000000.00
1992-12-01,8196000000.00
1993-01-01,8235000000.00
1993-02-01,8282000000.00
1993-03-01,8142000000.00
1993-04-01,8255000000.00
1993-05-01,8298000000.00
1993-06-01,8177000000.00
1993-07-01,8198000000.00
1993-08-01,8214000000.00
1993-09-01,7945000000.00
1993-10-01,7998000000.00
1993-11-01,7974000000.00
1993-12-01,7688000000.00
1994-01-01,7809000000.00
1994-02-01,7909000000.00
1994-03-01,7941000000.00
1994-04-01,7976000000.00
1994-05-01,8120000000.00
1994-06-01,8018000000.00
1994-07-01,8095000000.00
1994-08-01,8216000000.00
1994-09-01,8259000000.00
1994-10-01,8322000000.00
1994-11-01,8410000000.00
1994-12-01,8191000000.00
1995-01-01,8289000000.00
1995-02-01,8409000000.00
1995-03-01,8441000000.00
1995-04-01,8629000000.00
1995-05-01,8662000000.00
1995-06-01,8700000000.00
1995-07-01,8900000000.00
1995-08-01,9024000000.00
1995-09-01,8858000000.00
1995-10-01,9051000000.00
1995-11-01,9094000000.00
1995-12-01,8909000000.00
1996-01-01,9164000000.00
1996-02-01,9405000000.00
1996-03-01,9393000000.00
1996-04-01,9501000000.00
1996-05-01,9522000000.00
1996-06-01,9509000000.00
1996-07-01,9675000000.00
1996-08-01,9769000000.00
1996-09-01,9530000000.00
1996-10-01,9668000000.00
1996-11-01,9522000000.00
1996-12-01,9356000000.00
1997-01-01,9499000000.00
1997-02-01,9549000000.00
1997-03-01,9465000000.00
1997-04-01,9683000000.00
1997-05-01,9718000000.00
1997-06-01,9806000000.00
1997-07-01,9971000000.00
1997-08-01,9983000000.00
1997-09-01,9669000000.00
1997-10-01,9815000000.00
1997-11-01,9947000000.00
1997-12-01,9227000000.00
1998-01-01,9478000000.00
1998-02-01,9606000000.00
1998-03-01,9651000000.00
1998-04-01,9860000000.00
1998-05-01,9981000000.00
1998-06-01,9725000000.00
1998-07-01,9758000000.00
1998-08-01,9832000000.00
1998-09-01,9519000000.00
1998-10-01,9643000000.00
1998-11-01,9774000000.00
1998-12-01,9440000000.00
1999-01-01,9574000000.00
1999-02-01,9673000000.00
1999-03-01,9605000000.00
1999-04-01,9781000000.00
1999-05-01,9775000000.00
1999-06-01,9823000000.00
1999-07-01,10030000000.00
1999-08-01,10292000000.00
1999-09-01,9808000000.00
1999-10-01,9790000000.00
1999-11-01,9769000000.00
1999-12-01,9708000000.00
2000-01-01,9781000000.00
2000-02-01,10080000000.00
2000-03-01,9930000000.00
2000-04-01,10315000000.00
2000-05-01,10533000000.00
2000-06-01,10545000000.00
2000-07-01,10749000000.00
2000-08-01,10959000000.00
2000-09-01,10583000000.00
2000-10-01,11004000000.00
2000-11-01,11145000000.00
2000-12-01,10831000000.00
2001-01-01,11485000000.00
2001-02-01,11639000000.00
2001-03-01,11381000000.00
2001-04-01,11590000000.00
2001-05-01,11913000000.00
2001-06-01,11495000000.00
2001-07-01,11434000000.00
2001-08-01,11430000000.00
2001-09-01,10568000000.00
2001-10-01,10705000000.00
2001-11-01,10632000000.00
2001-12-01,10121000000.00
2002-01-01,10415000000.00
2002-02-01,10326000000.00
2002-03-01,9875000000.00
2002-04-01,10072000000.00
2002-05-01,9967000000.00
2002-06-01,9638000000.00
2002-07-01,9787000000.00
2002-08-01,10008000000.00
2002-09-01,9652000000.00
2002-10-01,9714000000.00
2002-11-01,9683000000.00
2002-12-01,9694000000.00
2003-01-01,9619000000.00
2003-02-01,9758000000.00
2003-03-01,9382000000.00
2003-04-01,9231000000.00
2003-05-01,9354000000.00
2003-06-01,9094000000.00
2003-07-01,9226000000.00
2003-08-01,9411000000.00
2003-09-01,9168000000.00
2003-10-01,9288000000.00
2003-11-01,9424000000.00
2003-12-01,9079000000.00
2004-01-01,8984000000.00
2004-02-01,9287000000.00
2004-03-01,9061000000.00
2004-04-01,9304000000.00
2004-05-01,9330000000.00
2004-06-01,9240000000.00
2004-07-01,9363000000.00
2004-08-01,9550000000.00
2004-09-01,9224000000.00
2004-10-01,9490000000.00
2004-11-01,9668000000.00
2004-12-01,9298000000.00
2005-01-01,9588000000.00
2005-02-01,9784000000.00
2005-03-01,9476000000.00
2005-04-01,9744000000.00
2005-05-01,9949000000.00
2005-06-01,9634000000.00
2005-07-01,9937000000.00
2005-08-01,10108000000.00
2005-09-01,9869000000.00
2005-10-01,10060000000.00
2005-11-01,10291000000.00
2005-12-01,9984000000.00
2006-01-01,10328000000.00
2006-02-01,10609000000.00
2006-03-01,10378000000.00
2006-04-01,10571000000.00
2006-05-01,10919000000.00
2006-06-01,10664000000.00
2006-07-01,11026000000.00
2006-08-01,11652000000.00
2006-09-01,11084000000.00
2006-10-01,11631000000.00
2006-11-01,11932000000.00
2006-12-01,11514000000.00
2007-01-01,12052000000.00
2007-02-01,12369000000.00
2007-03-01,11952000000.00
2007-04-01,12157000000.00
2007-05-01,12466000000.00
2007-06-01,12137000000.00
2007-07-01,11233000000.00
2007-08-01,11577000000.00
2007-09-01,11217000000.00
2007-10-01,11681000000.00
2007-11-01,11847000000.00
2007-12-01,11284000000.00
2008-01-01,11504000000.00
2008-02-01,11589000000.00
2008-03-01,11287000000.00
2008-04-01,11573000000.00
2008-05-01,11559000000.00
2008-06-01,11265000000.00
2008-07-01,11492000000.00
2008-08-01,11551000000.00
2008-09-01,11212000000.00
2008-10-01,11488000000.00
2008-11-01,11526000000.00
2008-12-01,11217000000.00
2009-01-01,11651000000.00
2009-02-01,11713000000.00
2009-03-01,11253000000.00
2009-04-01,11451000000.00
2009-05-01,11396000000.00
2009-06-01,11034000000.00
2009-07-01,11252000000.00
2009-08-01,11349000000.00
2009-09-01,10838000000.00
2009-10-01,10981000000.00
2009-11-01,11025000000.00
2009-12-01,10491000000.00
2010-01-01,11038000000.00
2010-02-01,11110000000.00
2010-03-01,10970000000.00
2010-04-01,11214000000.00
2010-05-01,11292000000.00
2010-06-01,11346000000.00
2010-07-01,11501000000.00
2010-08-01,11905000000.00
2010-09-01,11672000000.00
2010-10-01,12032000000.00
2010-11-01,12341000000.00
2010-12-01,11975000000.00
2011-01-01,12517000000.00
2011-02-01,12820000000.00
2011-03-01,12648000000.00
2011-04-01,13040000000.00
2011-05-01,13443000000.00
2011-06-01,13287000000.00
2011-07-01,13569000000.00
2011-08-01,13804000000.00
2011-09-01,13353000000.00
2011-10-01,13471000000.00
2011-11-01,13668000000.00
2011-12-01,13046000000.00
2012-01-01,13415000000.00
2012-02-01,13590000000.00
2012-03-01,13315000000.00
2012-04-01,13620000000.00
2012-05-01,13745000000.00
2012-06-01,12819000000.00
2012-07-01,13145000000.00
2012-08-01,13383000000.00
2012-09-01,13050000000.00
2012-10-01,13326000000.00
2012-11-01,13794000000.00
2012-12-01,13271000000.00
2013-01-01,13870000000.00
2013-02-01,14030000000.00
2013-03-01,13669000000.00
2013-04-01,14144000000.00
2013-05-01,14375000000.00
2013-06-01,14062000000.00
2013-07-01,14500000000.00
2013-08-01,14717000000.00
2013-09-01,14089000000.00
2013-10-01,14423000000.00
2013-11-01,14664000000.00
2013-12-01,13916000000.00
2014-01-01,14316000000.00
2014-02-01,14561000000.00
2014-03-01,14247000000.00
2014-04-01,14673000000.00
2014-05-01,14908000000.00
2014-06-01,14482000000.00
2014-07-01,14838000000.00
2014-08-01,15054000000.00
2014-09-01,14307000000.00
2014-10-01,14588000000.00
2014-11-01,14734000000.00
2014-12-01,13810000000.00
2015-01-01,14250000000.00
2015-02-01,14754000000.00
2015-03-01,14334000000.00
2015-04-01,14754000000.00
2015-05-01,15017000000.00
2015-06-01,14631000000.00
2015-07-01,14889000000.00
2015-08-01,15085000000.00
2015-09-01,14475000000.00
2015-10-01,14756000000.00
2015-11-01,14897000000.00
2015-12-01,14205000000.00
2016-01-01,14134000000.00
2016-02-01,14494000000.00
2016-03-01,14343000000.00
2016-04-01,14603000000.00
2016-05-01,14838000000.00
2016-06-01,14399000000.00
2016-07-01,14732000000.00
2016-08-01,14965000000.00
2016-09-01,14456000000.00
2016-10-01,14792000000.00
2016-11-01,14882000000.00
2016-12-01,13961000000.00
2017-01-01,14214000000.00
2017-02-01,14454000000.00
2017-03-01,14376000000.00
2017-04-01,14586000000.00
