Date,HSFAVGUSM052N
2017-05-01,295500.00
2017-06-01,305000.00
2017-07-01,300100.00
2017-08-01,295500.00
2017-09-01,290500.00
2017-10-01,288400.00
2017-11-01,290000.00
2017-12-01,288800.00
2018-01-01,282800.00
2018-02-01,281300.00
2018-03-01,290600.00
2018-04-01,298700.00
2018-05-01,304900.00
