Date,SLWHTO02USQ189N
1960-01-01,11251666666.67
1960-04-01,11751333333.33
1960-07-01,11654000000.00
1960-10-01,11965000000.00
1961-01-01,11039333333.33
1961-04-01,11909666666.67
1961-07-01,12137666666.67
1961-10-01,12863333333.33
1962-01-01,11860333333.33
1962-04-01,12713333333.33
1962-07-01,12741333333.33
1962-10-01,13379000000.00
1963-01-01,12226333333.33
1963-04-01,13277666666.67
1963-07-01,13739333333.33
1963-10-01,14282666666.67
1964-01-01,13369666666.67
1964-04-01,14388333333.33
1964-07-01,14797000000.00
1964-10-01,15554666666.67
1965-01-01,14241000000.00
1965-04-01,15594666666.67
1965-07-01,15832000000.00
1965-10-01,16712666666.67
1966-01-01,15991666666.67
1966-04-01,17184666666.67
1966-07-01,17276000000.00
1966-10-01,17464666666.67
1967-01-01,18619333333.33
1967-04-01,19561666666.67
1967-07-01,19533000000.00
1967-10-01,20364000000.00
1968-01-01,19653333333.33
1968-04-01,20771666666.67
1968-07-01,21285333333.33
1968-10-01,21991666666.67
1969-01-01,20444000000.00
1969-04-01,23015666666.67
1969-07-01,23194666666.67
1969-10-01,24120666666.67
1970-01-01,22519333333.33
1970-04-01,24043000000.00
1970-07-01,24455000000.00
1970-10-01,25106666666.67
1971-01-01,24092333333.33
1971-04-01,26693666666.67
1971-07-01,27030000000.00
1971-10-01,27585333333.33
1972-01-01,27368666666.67
1972-04-01,29313333333.33
1972-07-01,29962333333.33
1972-10-01,32135666666.67
1973-01-01,34055000000.00
1973-04-01,37494333333.33
1973-07-01,38302666666.67
1973-10-01,42841333333.33
1974-01-01,44903333333.33
1974-04-01,48436333333.33
1974-07-01,49297666666.67
1974-10-01,49318333333.33
1975-01-01,45848333333.33
1975-04-01,46224333333.33
1975-07-01,47110000000.00
1975-10-01,48029666666.67
1976-01-01,48316666666.67
1976-04-01,51074666666.67
1976-07-01,51611000000.00
1976-10-01,52538333333.33
1977-01-01,52889666666.67
1977-04-01,57441666666.67
1977-07-01,56549333333.33
1977-10-01,58576000000.00
1978-01-01,59345000000.00
1978-04-01,68058333333.33
1978-07-01,67998333333.33
1978-10-01,71275000000.00
1979-01-01,70953666666.67
1979-04-01,79147666666.67
1979-07-01,81161000000.00
1979-10-01,86623666666.67
1980-01-01,87285000000.00
1980-04-01,89237333333.33
1980-07-01,94583333333.33
1980-10-01,103711333333.33
1981-01-01,101606666666.67
1981-04-01,103962666666.67
1981-07-01,100783000000.00
1981-10-01,101701000000.00
1982-01-01,95779000000.00
1982-04-01,99743666666.67
1982-07-01,94700666666.67
1982-10-01,94937000000.00
1983-01-01,92231333333.33
1983-04-01,99089000000.00
1983-07-01,101841000000.00
1983-10-01,108135666666.67
1984-01-01,109154000000.00
1984-04-01,116670333333.33
1984-07-01,112312000000.00
1984-10-01,115436000000.00
1985-01-01,109764333333.33
1985-04-01,117011666666.67
1985-07-01,113809666666.67
1985-10-01,117917333333.33
1986-01-01,109911666666.67
1986-04-01,115397666666.67
1986-07-01,115252333333.33
1986-10-01,119276333333.33
1987-01-01,114640666666.67
1987-04-01,124118000000.00
1987-07-01,124622333333.33
1987-10-01,128490000000.00
1988-01-01,125608000000.00
1988-04-01,134215666666.67
1988-07-01,136828000000.00
1988-10-01,141431333333.33
1989-01-01,138120666666.67
1989-04-01,146011666666.67
1989-07-01,143259000000.00
1989-10-01,147649666666.67
1990-01-01,144196000000.00
1990-04-01,150942000000.00
1990-07-01,150295666666.67
1990-10-01,152590333333.33
1991-01-01,140191000000.00
1991-04-01,149781000000.00
1991-07-01,150912333333.33
1991-10-01,152340000000.00
1992-01-01,140807666666.67
1992-04-01,146515000000.00
1992-07-01,149959000000.00
1992-10-01,151761666666.67
1993-01-01,146280000000.00
1993-04-01,155471000000.00
1993-07-01,156860000000.00
1993-10-01,157460666666.67
1994-01-01,152769333333.33
1994-04-01,162912333333.33
1994-07-01,169072666666.67
1994-10-01,173545333333.33
1995-01-01,171128666666.67
1995-04-01,180802333333.33
1995-07-01,181693666666.67
1995-10-01,186035333333.33
1996-01-01,181310000000.00
1996-04-01,190238666666.67
1996-07-01,193411333333.33
1996-10-01,196487666666.67
1997-01-01,189586333333.33
1997-04-01,199630000000.00
1997-07-01,200810000000.00
1997-10-01,202588666666.67
1998-01-01,194090333333.33
1998-04-01,204719333333.33
1998-07-01,203845000000.00
1998-10-01,206385333333.33
1999-01-01,199502333333.33
1999-04-01,217006666666.67
1999-07-01,221592666666.67
1999-10-01,228284666666.67
2000-01-01,225114666666.67
2000-04-01,237868666666.67
2000-07-01,236680000000.00
2000-10-01,238521333333.33
2001-01-01,230742000000.00
2001-04-01,235906000000.00
2001-07-01,231819666666.67
2001-10-01,229916333333.33
2002-01-01,221619333333.33
2002-04-01,238640666666.67
2002-07-01,241744000000.00
2002-10-01,243172000000.00
2003-01-01,236934666666.67
2003-04-01,246437666666.67
2003-07-01,251089000000.00
2003-10-01,258299333333.33
2004-01-01,260375666666.67
2004-04-01,278193666666.67
2004-07-01,281611333333.33
2004-10-01,289823000000.00
2005-01-01,283668000000.00
2005-04-01,302802000000.00
2005-07-01,310868000000.00
2005-10-01,315494000000.00
2006-01-01,311433000000.00
2006-04-01,334331666666.67
2006-07-01,335277333333.33
2006-10-01,332710333333.33
2007-01-01,327590333333.33
2007-04-01,357053333333.33
2007-07-01,355139666666.67
2007-10-01,368041000000.00
2008-01-01,364500333333.33
2008-04-01,402074666666.67
2008-07-01,398460333333.33
2008-10-01,343083666666.67
2009-01-01,297717666666.67
2009-04-01,316770333333.33
2009-07-01,325311666666.67
2009-10-01,336659666666.67
2010-01-01,334023333333.33
2010-04-01,365194000000.00
2010-07-01,367102333333.33
2010-10-01,379466666666.67
2011-01-01,381809666666.67
2011-04-01,414183666666.67
2011-07-01,415773000000.00
2011-10-01,416592333333.33
2012-01-01,419228666666.67
2012-04-01,442424333333.33
2012-07-01,430633000000.00
2012-10-01,443721666666.67
2013-01-01,425642666666.67
2013-04-01,453730000000.00
2013-07-01,448914000000.00
2013-10-01,461896666666.67
2014-01-01,435275333333.33
2014-04-01,477028666666.67
2014-07-01,472713333333.33
2014-10-01,469709333333.33
2015-01-01,419035666666.67
2015-04-01,454263333333.33
2015-07-01,445777666666.67
2015-10-01,445068666666.67
2016-01-01,407906000000.00
2016-04-01,440641000000.00
2016-07-01,440839666666.67
2016-10-01,452572333333.33
2017-01-01,438637666666.67
2017-04-01,467413333333.33
2017-07-01,467184333333.33
2017-10-01,491272333333.33
2018-01-01,467102000000.00
